uri:/instrument/1.0/VFC/chartdata;type=quote;range=1d/csv
ticker:vfc
Company-Name:V.F. Corporation Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:64.8100
Timestamp:1466602200,1466625600
labels:1466604000,1466607600,1466611200,1466614800,1466618400,1466622000,1466625600
values:Timestamp,close,high,low,open,volume
close:64.4400,65.0700
high:64.4700,65.1000
low:64.4400,65.0700
open:64.4500,65.0800
volume:100,82100
1466602260,64.8000,64.8000,64.7700,64.7700,23500
1466602420,64.8900,64.8900,64.8700,64.8700,1000
1466602440,64.8300,64.9100,64.8300,64.9100,1700
1466602543,64.7700,64.8400,64.7700,64.8400,800
1466602566,64.8100,64.8500,64.7880,64.7880,1800
1466602648,64.8900,64.8900,64.8600,64.8600,500
1466602716,64.8320,64.8320,64.8320,64.8320,100
1466602753,64.8500,64.9000,64.8500,64.9000,300
1466602822,64.9500,64.9500,64.8800,64.8800,700
1466602886,64.9300,64.9700,64.9300,64.9700,2600
1466602979,64.9900,65.0000,64.9500,64.9600,1500
1466603039,64.9800,64.9800,64.9700,64.9800,900
1466603046,64.9700,64.9700,64.9700,64.9700,200
1466603100,64.9300,64.9600,64.9300,64.9600,1300
1466603166,64.9100,64.9100,64.9100,64.9100,200
1466603277,64.8425,64.8760,64.8425,64.8700,400
1466603303,64.8700,64.8700,64.8550,64.8622,1400
1466603356,64.8700,64.8800,64.8500,64.8800,400
1466603444,64.8400,64.8500,64.8400,64.8500,1400
1466603465,64.8600,64.8600,64.8100,64.8100,800
1466603523,64.8300,64.8800,64.8300,64.8700,2300
1466603599,64.8100,64.8399,64.8100,64.8100,800
1466603691,64.8000,64.8200,64.8000,64.8200,700
1466603730,64.8200,64.8200,64.7900,64.8000,1000
1466603770,64.8400,64.8400,64.7800,64.7900,1900
1466603849,64.8300,64.8300,64.8300,64.8300,400
1466603934,64.8300,64.8300,64.8300,64.8300,100
1466603950,64.8700,64.8700,64.8300,64.8300,1900
1466604018,64.8800,64.8800,64.8600,64.8700,2000
1466604064,64.8300,64.8800,64.8300,64.8700,2600
1466604130,64.8500,64.8800,64.8400,64.8400,1400
1466604183,64.8700,64.8700,64.8300,64.8300,600
1466604243,64.8100,64.8400,64.8100,64.8300,1600
