uri:/instrument/1.0/VNO/chartdata;type=quote;range=1d/csv
ticker:vno
Company-Name:Vornado Realty Trust Common Sto
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:102.1400
Timestamp:1472131800,1472155200
labels:1472133600,1472137200,1472140800,1472144400,1472148000,1472151600,1472155200
values:Timestamp,close,high,low,open,volume
close:101.8900,103.2100
high:102.1100,103.2100
low:101.8400,103.1850
open:101.9300,103.1850
volume:100,39900
1472132032,102.1800,102.2700,102.1800,102.2700,4500
1472132076,101.8900,102.2100,101.8900,102.2100,700
1472132104,101.9100,102.1100,101.8400,101.9300,2500
1472132185,102.2500,102.2700,102.1200,102.1800,1400
1472132301,102.1900,102.1900,102.1900,102.1900,300
1472132397,102.2900,102.2900,102.1400,102.1400,900
1472132400,102.3100,102.3200,102.1201,102.3200,1400
1472132493,102.2600,102.2600,102.1300,102.1300,1200
1472132520,102.3100,102.3100,102.1800,102.2001,2800
1472132591,102.3600,102.3700,102.3600,102.3700,700
1472132687,102.3100,102.3400,102.2600,102.2700,900
1472132700,102.3550,102.3800,102.3450,102.3800,500
1472132819,102.3600,102.3900,102.2900,102.3000,4200
1472132867,102.3600,102.4400,102.3500,102.4300,1100
1472132891,102.3201,102.3900,102.3200,102.3550,1800
1472132997,102.3400,102.3400,102.3400,102.3400,300
1472133042,102.3100,102.3900,102.3100,102.3900,1100
1472133064,102.3000,102.4000,102.3000,102.3600,700
1472133131,102.4600,102.4600,102.3300,102.3600,1000
1472133247,102.4300,102.4300,102.3900,102.3900,400
1472133313,102.4900,102.4900,102.4700,102.4700,500
1472133507,102.5000,102.5000,102.5000,102.5000,500
1472133577,102.4700,102.4700,102.4700,102.4700,100
1472133645,102.4500,102.5100,102.4500,102.4700,1300
1472133665,102.5100,102.5100,102.5000,102.5100,600
1472133730,102.5100,102.5100,102.5100,102.5100,200
1472133799,102.5100,102.5100,102.5100,102.5100,500
1472133937,102.5600,102.5600,102.5400,102.5400,200
1472134006,102.5100,102.5100,102.5100,102.5100,200
1472134031,102.5700,102.5700,102.5200,102.5200,1000
1472134197,102.6300,102.6300,102.6300,102.6300,100
1472134230,102.6700,102.6700,102.6350,102.6500,900
1472134264,102.7000,102.7100,102.6700,102.6800,1000
1472134329,102.7500,102.7600,102.7200,102.7500,800
1472134393,102.8700,102.9113,102.7800,102.7800,800
1472134476,102.8650,102.8650,102.8300,102.8300,300
1472134544,102.8000,102.8000,102.8000,102.8000,600
1472134594,102.7700,102.7700,102.7700,102.7700,100
1472134670,102.7400,102.7400,102.7400,102.7400,200
1472134717,102.6400,102.7100,102.6200,102.7100,1300
1472134748,102.7400,102.7400,102.6500,102.6500,700
1472134813,102.7500,102.7500,102.7300,102.7300,300
1472134908,102.7700,102.8100,102.7700,102.7800,1700
