uri:/instrument/1.0/VRTX/chartdata;type=quote;range=1d/csv
ticker:vrtx
Company-Name:Vertex Pharmaceuticals Incorpor
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:99.7000
Timestamp:1470922200,1470945600
labels:1470924000,1470927600,1470931200,1470934800,1470938400,1470942000,1470945600
values:Timestamp,close,high,low,open,volume
close:99.6600,101.2300
high:99.6700,101.2800
low:99.5900,101.2100
open:99.6700,101.2300
volume:0,143000
1470922235,99.7000,100.2850,99.7000,100.2850,9800
1470922328,100.1086,100.1086,100.1086,100.1086,200
1470922389,99.8100,99.9100,99.8100,99.9100,300
1470922505,100.1800,100.1800,99.8650,99.8650,3100
1470922569,100.0100,100.0200,99.9600,100.0100,5400
1470922754,100.3000,100.3000,99.9500,99.9500,500
1470922812,100.1500,100.3800,100.1300,100.3000,5100
1470922877,100.0800,100.1600,100.0800,100.1600,600
1470922950,100.0200,100.0200,100.0200,100.0200,100
1470923019,99.7400,99.9300,99.7400,99.9300,1000
1470923095,99.8400,99.8400,99.8400,99.8400,100
1470923102,99.9500,100.1200,99.9500,99.9500,3500
1470923179,100.1500,100.1500,100.0300,100.0300,1200
1470923267,100.1700,100.1800,100.1700,100.1800,400
1470923372,100.1000,100.2300,100.0800,100.2300,1500
1470923401,99.8441,100.2100,99.8441,100.1600,13400
1470923494,100.0700,100.0700,99.9900,100.0200,800
1470923529,99.9900,100.1800,99.9900,100.1650,1400
1470923619,100.0600,100.0600,100.0600,100.0600,300
1470923686,100.0900,100.1400,100.0900,100.1400,700
1470923732,100.1300,100.1300,100.1300,100.1300,300
1470923765,100.1800,100.2500,100.1800,100.2400,900
1470923824,100.2350,100.2350,100.1300,100.1400,1300
1470923965,100.0400,100.0600,99.9900,100.0600,1400
1470924000,99.8800,99.9987,99.8400,99.9800,2100
1470924117,100.1100,100.1200,99.9300,99.9500,2400
1470924130,100.2200,100.2200,100.1800,100.1800,200
1470924180,100.0600,100.2750,100.0400,100.2750,2700
1470924260,100.0600,100.1000,100.0600,100.1000,1400
1470924341,100.1575,100.1800,100.1100,100.1100,900
1470924400,100.2100,100.2100,100.2100,100.2100,100
1470924425,100.0700,100.1864,99.9900,100.1864,4200
1470924499,99.8600,100.0000,99.8600,100.0000,2600
1470924556,99.8400,99.8400,99.8200,99.8200,600
1470924629,99.8900,99.8900,99.8900,99.8900,300
1470924722,99.7500,99.9700,99.7500,99.9700,2000
1470924809,99.6700,99.6700,99.6700,99.6700,400
1470924882,99.7800,99.7800,99.6700,99.7400,900
1470924916,99.7100,99.7800,99.7100,99.7800,1100
1470925015,99.7700,99.8000,99.7000,99.7600,2200
1470925060,99.8600,99.8800,99.8600,99.8800,200
1470925177,99.8200,99.8800,99.8200,99.8800,1100
1470925293,99.6600,99.7900,99.6600,99.7800,1700
1470925322,99.6700,99.7400,99.6700,99.7400,300
1470925411,99.7200,99.7200,99.7200,99.7200,300
1470925446,99.7400,99.7700,99.7300,99.7600,700
1470925540,99.8200,99.8900,99.8200,99.8900,1200
1470925676,99.8400,99.9500,99.7800,99.9200,4600
1470925682,99.7500,99.8600,99.7500,99.8600,3100
1470925797,99.6900,99.7550,99.5900,99.7550,1700
1470925859,99.7500,99.7500,99.6800,99.6900,2000
1470925861,99.7400,99.7700,99.6900,99.7100,1500
1470925957,99.6800,99.7300,99.6800,99.7300,1000
1470925997,99.7200,99.7200,99.7200,99.7200,300
1470926109,99.9000,99.9200,99.8200,99.8200,800
1470926198,100.0300,100.0300,99.9500,99.9500,700
1470926242,100.0600,100.2500,100.0600,100.0600,3500
1470926308,100.0400,100.0500,100.0200,100.0200,500
1470926340,100.1400,100.1700,100.0900,100.1100,1200
1470926476,100.0600,100.2200,100.0600,100.2200,1900
1470926522,100.1050,100.1050,100.0800,100.0800,200
1470926595,100.1200,100.1200,100.0800,100.0800,300
1470926653,100.2700,100.2700,100.1900,100.1900,1200
1470926783,100.2800,100.3200,100.2700,100.3200,1500
1470926866,100.1700,100.1700,100.1700,100.1700,100
1470926930,100.1013,100.2000,100.1013,100.2000,1000
1470926942,100.1400,100.1900,100.1400,100.1900,700
1470927001,100.2400,100.2600,100.1500,100.1600,1300
1470927085,100.2050,100.2300,100.2050,100.2200,1300
1470927134,100.2100,100.2100,100.1850,100.2100,900
1470927196,100.1700,100.1700,100.1300,100.1700,900
1470927291,100.0500,100.1500,100.0500,100.1300,2500
1470927304,100.0700,100.0700,100.0500,100.0600,1600
1470927378,100.0400,100.0550,100.0400,100.0500,1700
1470927477,100.0500,100.0800,100.0500,100.0700,300
1470927533,99.9200,100.0500,99.9200,100.0500,4400
1470927541,99.9900,100.0550,99.9900,99.9900,2000
1470927657,99.9100,99.9500,99.8650,99.9300,1200
