uri:/instrument/1.0/VTR/chartdata;type=quote;range=1d/csv
ticker:vtr
Company-Name:Ventas, Inc. Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:73.2000
Timestamp:1468330200,1468353600
labels:1468332000,1468335600,1468339200,1468342800,1468346400,1468350000,1468353600
values:Timestamp,close,high,low,open,volume
close:71.6500,73.2900
high:71.6800,73.3400
low:71.6400,73.2600
open:71.6500,73.2860
volume:500,149800
1468330250,73.2800,73.3200,73.2600,73.2860,31900
1468330298,73.2900,73.3400,73.2400,73.2400,2800
1468330327,73.1600,73.2400,73.1300,73.2400,2700
1468330385,73.0400,73.1400,73.0400,73.1400,1500
1468330463,73.0500,73.1200,73.0400,73.0900,3200
1468330554,72.9500,73.0300,72.9500,73.0300,3100
1468330561,72.9473,72.9800,72.9400,72.9400,4400
1468330626,72.9199,72.9600,72.8700,72.9600,2700
1468330738,72.8560,72.8900,72.8000,72.8700,5600
1468330743,72.8500,72.9200,72.8400,72.9200,9000
1468330822,72.8100,72.8100,72.8100,72.8100,3300
1468330907,72.6400,72.7800,72.6363,72.7800,2200
1468330920,72.6900,72.6900,72.5600,72.6100,2300
1468331034,72.5700,72.6800,72.5700,72.6800,3600
1468331040,72.4900,72.5700,72.4900,72.5700,1900
1468331155,72.5000,72.5499,72.5000,72.5499,500
1468331161,72.4600,72.5300,72.4600,72.4900,10600
1468331278,72.4400,72.4600,72.4100,72.4200,6800
1468331285,72.4100,72.4100,72.3300,72.3600,6100
1468331399,72.3750,72.3900,72.3500,72.3800,7000
1468331456,72.3000,72.3900,72.3000,72.3900,10300
1468331517,72.1500,72.2805,72.1500,72.2805,4900
1468331525,72.1300,72.2100,72.1200,72.1900,5400
1468331639,72.1900,72.2000,72.0800,72.1100,6600
1468331640,72.2400,72.2600,72.1400,72.1700,8800
1468331713,72.2300,72.2600,72.2000,72.2400,5000
1468331805,72.2100,72.2600,72.2100,72.2300,3700
1468331860,72.0900,72.1700,72.0900,72.1700,15400
1468331920,72.0200,72.1500,72.0200,72.1500,5700
1468331999,72.0300,72.0900,72.0000,72.0400,6500
1468332058,72.0000,72.0700,72.0000,72.0400,4600
1468332061,71.9200,72.0000,71.9100,72.0000,12100
1468332126,71.8500,71.9250,71.8500,71.9100,16000
1468332236,71.8450,71.9200,71.8000,71.8400,29100
1468332249,71.8100,71.8700,71.8000,71.8500,14800
1468332302,71.7500,71.8300,71.7500,71.8300,16100
1468332363,71.7500,71.7800,71.7400,71.7500,9100
1468332423,71.7900,71.8000,71.7120,71.7300,13300
1468332539,71.8700,71.8700,71.7700,71.7700,8800
1468332543,71.9100,71.9100,71.7800,71.8700,8100
1468332659,71.8885,71.9650,71.8700,71.8700,7100
1468332679,71.8900,71.8900,71.8700,71.8700,8100
1468332778,72.0100,72.0100,71.8900,71.8900,6300
1468332785,72.0600,72.0700,72.0100,72.0150,14000
1468332899,72.1250,72.1400,72.0600,72.0600,6100
1468332954,72.1900,72.2000,72.1400,72.1400,5200
1468332960,72.0700,72.1800,72.0700,72.1700,5700
1468333072,72.0300,72.0900,71.9800,72.0900,5700
1468333137,71.9300,72.0100,71.8900,72.0000,9000
1468333140,71.8900,71.9750,71.8700,71.9400,23900
1468333201,71.9200,71.9500,71.8400,71.8400,8100
1468333316,71.9500,71.9600,71.9150,71.9200,6500
1468333320,71.9100,71.9300,71.8900,71.9200,7300
1468333396,71.9600,71.9600,71.9100,71.9100,7100
1468333483,71.9920,72.0100,71.9500,71.9600,11100
1468333556,71.9900,72.0100,71.9800,72.0000,7700
1468333562,72.0100,72.0500,71.9800,71.9800,13300
1468333670,71.9800,72.0050,71.9700,71.9900,6700
1468333680,71.9550,71.9800,71.9500,71.9700,5600
1468333743,72.0200,72.0200,71.9600,71.9600,16000
1468333857,72.0000,72.0230,71.9900,71.9900,6100
1468333919,72.0000,72.0100,71.9800,72.0100,6700
1468333978,71.9800,72.0000,71.9600,72.0000,8100
1468333982,71.9900,71.9900,71.9700,71.9800,8200
1468334098,71.9500,71.9900,71.9200,71.9900,6300
1468334158,72.0000,72.0100,71.9500,71.9500,16600
1468334218,71.9900,72.0000,71.9800,72.0000,7500
1468334220,72.0400,72.0400,71.9900,71.9900,5200
1468334302,72.0800,72.0800,72.0500,72.0500,2800
1468334393,72.0200,72.0800,72.0200,72.0800,6300
1468334403,72.0000,72.0600,72.0000,72.0400,9500
1468334469,71.9900,72.0000,71.9700,72.0000,6500
1468334529,72.0000,72.0100,71.9800,71.9900,10100
1468334587,72.0350,72.0400,72.0050,72.0100,7500
1468334646,72.0200,72.0400,72.0000,72.0400,5400
1468334759,72.0200,72.0700,72.0000,72.0186,23100
1468334760,72.0500,72.0600,72.0100,72.0300,5400
1468334855,72.0600,72.0600,72.0574,72.0574,1500
1468334906,72.0100,72.0500,72.0100,72.0500,4700
1468334996,72.0200,72.0200,71.9800,72.0150,10400
1468335002,72.0600,72.0600,72.0112,72.0200,4100
1468335069,72.0600,72.0600,72.0400,72.0500,1600
1468335121,72.0500,72.0500,72.0200,72.0500,5900
1468335238,72.0450,72.0500,72.0300,72.0400,6400
1468335240,72.0400,72.0600,72.0300,72.0500,7300
1468335301,72.0400,72.0500,72.0250,72.0400,6300
1468335418,72.0250,72.0499,72.0200,72.0499,6100
1468335424,72.0200,72.0300,72.0100,72.0300,2600
1468335489,71.9900,72.0150,71.9900,72.0150,10200
1468335541,71.9600,71.9900,71.9500,71.9900,6800
1468335611,71.9650,71.9800,71.9600,71.9700,6300
1468335661,71.9850,71.9900,71.9550,71.9700,7400
1468335730,71.9800,71.9900,71.9800,71.9800,2200
1468335782,71.9800,72.0300,71.9800,71.9900,12200
1468335841,71.9900,72.0100,71.9800,72.0000,5400
1468335957,71.9700,71.9999,71.9550,71.9999,5000
1468335964,71.9500,71.9800,71.9500,71.9800,3200
1468336076,71.9473,71.9700,71.9400,71.9700,8000
1468336137,71.9700,71.9700,71.9500,71.9500,3600
1468336143,71.9500,71.9800,71.9500,71.9800,2900
1468336205,71.9450,71.9650,71.9450,71.9500,3300
1468336263,71.9700,71.9700,71.9500,71.9500,3400
1468336322,71.9900,72.0000,71.9650,71.9675,7700
1468336388,72.0000,72.0300,72.0000,72.0000,7300
1468336465,71.9900,72.0100,71.9850,72.0000,3600
1468336559,72.0300,72.0300,71.9900,71.9900,5100
1468336560,72.0400,72.0600,72.0250,72.0250,4000
1468336626,72.0580,72.0580,72.0238,72.0300,5200
1468336685,72.0500,72.0650,72.0400,72.0600,3600
1468336742,72.0300,72.0400,72.0200,72.0400,3300
1468336803,72.0400,72.0400,72.0300,72.0400,3300
1468336869,72.0500,72.0500,72.0350,72.0400,4500
1468336938,72.0500,72.0550,72.0400,72.0500,3400
1468336980,72.0600,72.0600,72.0550,72.0600,7500
1468337045,72.0500,72.0600,72.0300,72.0600,7800
1468337106,72.0000,72.0500,72.0000,72.0450,7900
1468337215,72.0000,72.0100,71.9700,71.9900,5000
1468337222,72.0000,72.0000,71.9950,72.0000,2000
1468337283,72.0200,72.0200,71.9850,71.9900,3300
1468337347,72.0700,72.0700,72.0200,72.0200,7000
1468337402,72.1050,72.1050,72.0600,72.0650,17900
1468337460,72.1400,72.1500,72.1050,72.1050,4000
