uri:/instrument/1.0/WDC/chartdata;type=quote;range=1d/csv
ticker:wdc
Company-Name:Western Digital Corporation
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:43.1700
Timestamp:1470922200,1470945600
labels:1470924000,1470927600,1470931200,1470934800,1470938400,1470942000,1470945600
values:Timestamp,close,high,low,open,volume
close:43.3000,44.2700
high:43.3300,44.2700
low:43.2900,44.2500
open:43.3000,44.2600
volume:0,226300
1470922256,43.3800,43.3950,43.3800,43.3950,103500
1470922318,43.7699,43.7800,43.3800,43.4000,34600
1470922322,43.7100,43.7700,43.6400,43.7004,16300
1470922437,43.7816,43.8300,43.6900,43.7300,50900
1470922497,43.7300,43.7700,43.6500,43.7700,13300
1470922559,43.9900,44.0600,43.7700,43.7799,32400
1470922560,43.8906,44.0700,43.8500,43.9900,27300
1470922679,43.8100,43.9200,43.7677,43.9100,12900
1470922681,43.7899,43.8450,43.7400,43.8199,16100
1470922742,44.0000,44.0000,43.7900,43.7900,33100
1470922858,43.9600,44.0000,43.9200,43.9700,26100
1470922919,44.0000,44.0100,43.9400,43.9900,12600
1470922978,44.0001,44.0700,43.9700,44.0300,18200
1470922983,43.9800,44.0500,43.9700,44.0300,13900
1470923099,44.0300,44.0300,43.9800,44.0000,7900
1470923159,44.0700,44.1500,44.0300,44.0400,25900
1470923215,44.0200,44.0800,43.9800,44.0800,29900
1470923278,44.0100,44.0499,43.9400,44.0399,18200
1470923338,43.9500,44.0299,43.9500,44.0200,12600
1470923399,43.9400,43.9700,43.9104,43.9400,10400
1470923401,43.9400,43.9500,43.8800,43.9500,8500
1470923460,43.9500,43.9500,43.9200,43.9499,18600
1470923520,43.9000,43.9550,43.8800,43.9550,8300
1470923639,43.8600,43.9100,43.8550,43.9100,11000
1470923697,43.9000,43.9200,43.8400,43.8600,7600
1470923701,43.8800,43.9200,43.8600,43.8900,9200
1470923761,43.9600,43.9699,43.8800,43.8800,18800
1470923825,44.0000,44.0100,43.9700,43.9700,19400
1470923881,44.0100,44.0300,44.0041,44.0100,7100
1470923944,43.9100,44.0000,43.8800,44.0000,16400
1470924000,43.8200,43.8900,43.8050,43.8900,14400
1470924060,43.8100,43.8600,43.8100,43.8200,27200
1470924126,43.8150,43.8300,43.8000,43.8100,9300
1470924189,43.8100,43.8250,43.8100,43.8200,6700
1470924247,43.8165,43.8300,43.8100,43.8200,6600
1470924356,43.8500,43.8500,43.8100,43.8150,18600
1470924369,43.8500,43.8800,43.8300,43.8450,16200
1470924420,43.8500,43.8800,43.8500,43.8600,13700
1470924481,43.7900,43.8700,43.7700,43.8600,18400
1470924599,43.7000,43.8150,43.7000,43.8100,20400
1470924654,43.7199,43.7200,43.6700,43.7100,18400
1470924663,43.6600,43.7100,43.6600,43.7100,6500
1470924775,43.6099,43.6500,43.6099,43.6500,5300
1470924839,43.5900,43.6200,43.5899,43.6100,12300
1470924840,43.5900,43.6000,43.5600,43.5900,12300
1470924956,43.6000,43.6100,43.5600,43.5800,14000
1470924965,43.6200,43.6490,43.6000,43.6000,12000
1470925021,43.6000,43.6150,43.5800,43.6150,6700
1470925199,43.5300,43.5611,43.5300,43.5611,13900
1470925200,43.5450,43.5500,43.5300,43.5400,8600
1470925262,43.6150,43.6150,43.5400,43.5400,20400
1470925325,43.6256,43.6400,43.6200,43.6350,4500
1470925437,43.6200,43.6300,43.5850,43.6200,31600
1470925498,43.6280,43.6400,43.6280,43.6293,5600
1470925502,43.6400,43.6400,43.6200,43.6200,10900
1470925619,43.6500,43.6600,43.6350,43.6400,8300
1470925624,43.6000,43.6500,43.6000,43.6500,30500
1470925739,43.6299,43.6300,43.6000,43.6150,6800
1470925799,43.6200,43.6500,43.6200,43.6300,11000
1470925802,43.6299,43.6299,43.6000,43.6200,14000
1470925862,43.6399,43.6500,43.6300,43.6300,7700
1470925979,43.5900,43.6350,43.5800,43.6300,22500
1470925980,43.5300,43.6000,43.5300,43.5999,25000
1470926096,43.4700,43.5200,43.4700,43.5200,13900
1470926159,43.4448,43.4600,43.3900,43.4600,33700
1470926163,43.4500,43.4624,43.4050,43.4500,12300
1470926279,43.5299,43.5299,43.4550,43.4600,15200
1470926281,43.4613,43.5200,43.4613,43.5200,11800
1470926399,43.4200,43.4650,43.4200,43.4600,14100
1470926457,43.4600,43.4700,43.4150,43.4200,9900
1470926519,43.4200,43.4582,43.4200,43.4582,5900
1470926521,43.3600,43.4100,43.3600,43.4100,11600
1470926584,43.3200,43.3500,43.3135,43.3500,10000
1470926692,43.4100,43.4200,43.3300,43.3399,10800
1470926758,43.3600,43.4250,43.3600,43.4200,9600
1470926819,43.3500,43.3600,43.3250,43.3500,11200
1470926871,43.3500,43.3600,43.3480,43.3500,4300
1470926880,43.3000,43.3500,43.3000,43.3500,14700
1470926998,43.3125,43.3300,43.2900,43.3000,10000
1470927000,43.4300,43.4300,43.3100,43.3150,11200
1470927117,43.4008,43.4700,43.3900,43.4200,18800
1470927167,43.4000,43.4100,43.3800,43.4000,5100
1470927239,43.4800,43.4800,43.3900,43.3900,18900
1470927244,43.5200,43.5200,43.4800,43.4800,8000
1470927302,43.5690,43.5799,43.5200,43.5200,11300
1470927411,43.5699,43.5700,43.5400,43.5699,7200
1470927476,43.6299,43.6299,43.5698,43.5698,5600
1470927484,43.7000,43.7000,43.6300,43.6300,13100
1470927596,43.6935,43.7300,43.6900,43.7000,18300
1470927600,43.7000,43.7100,43.6900,43.7000,13000
1470927714,43.7000,43.7100,43.6800,43.7000,6800
1470927733,43.7900,43.7900,43.6912,43.6920,12800
1470927787,43.8000,43.8029,43.7800,43.7900,5100
1470927897,43.8000,43.8299,43.8000,43.8000,2600
1470927902,43.8000,43.8299,43.7900,43.8299,4700
1470928012,43.8099,43.8100,43.7800,43.8002,7300
1470928079,43.8000,43.8000,43.7800,43.7900,9600
1470928139,43.8000,43.8100,43.7900,43.7900,2700
1470928144,43.8300,43.8300,43.8000,43.8000,7700
1470928200,43.8600,43.8800,43.8500,43.8599,9500
1470928293,43.8500,43.8600,43.8500,43.8500,2600
1470928379,43.8499,43.8500,43.8400,43.8400,3500
1470928386,43.8900,43.8900,43.8400,43.8451,5300
1470928495,43.8800,43.9000,43.8789,43.8900,6400
1470928502,43.8701,43.8899,43.8700,43.8800,6300
1470928615,43.8699,43.8800,43.8600,43.8800,2900
1470928621,43.9200,43.9300,43.8600,43.8611,12600
1470928680,43.9200,43.9300,43.9200,43.9200,2200
1470928797,43.8800,43.9200,43.8700,43.9200,8400
1470928800,43.8500,43.8800,43.8500,43.8800,3600
1470928919,43.8300,43.8600,43.8200,43.8500,6600
1470928974,43.8500,43.8500,43.8200,43.8400,6500
1470928981,43.8665,43.8800,43.8500,43.8500,7200
1470929040,43.8800,43.8899,43.8500,43.8700,8300
1470929109,43.8600,43.8899,43.8500,43.8899,5100
1470929167,43.8500,43.8700,43.8500,43.8603,1800
1470929234,43.8700,43.8799,43.8400,43.8500,2200
1470929336,43.8900,43.8900,43.8665,43.8799,6800
