uri:/instrument/1.0/WEC/chartdata;type=quote;range=1d/csv
ticker:wec
Company-Name:WEC Energy Group, Inc. Common S
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:63.3200
Timestamp:1467034200,1467057600
labels:1467036000,1467039600,1467043200,1467046800,1467050400,1467054000,1467057600
values:Timestamp,close,high,low,open,volume
close:63.5600,64.6200
high:63.5600,64.6250
low:63.5600,64.6000
open:63.5600,64.6100
volume:200,233800
1467034228,63.5600,63.5600,63.5600,63.5600,49200
1467034310,63.6100,63.6100,63.6100,63.6100,200
1467034327,63.7150,63.7150,63.6200,63.6200,8400
1467034381,63.6300,63.6300,63.6300,63.6300,1300
1467034452,63.6900,63.6900,63.6300,63.6500,4000
1467034557,63.6300,63.7000,63.6200,63.7000,4500
1467034563,63.7100,63.7200,63.6500,63.6600,1900
1467034674,63.6800,63.7300,63.6600,63.7200,11700
1467034736,63.6300,63.6800,63.6300,63.6400,4600
1467034766,63.6100,63.6700,63.6000,63.6700,4600
1467034806,63.5800,63.5900,63.5800,63.5900,6700
1467034870,63.6600,63.6600,63.6084,63.6200,7700
1467034979,63.6800,63.6900,63.6600,63.6600,14700
1467034987,63.7300,63.7300,63.6900,63.6900,7000
1467035083,63.8000,63.8400,63.7300,63.7400,13600
1467035158,63.8600,63.9040,63.7800,63.7850,10700
1467035218,63.8000,63.8700,63.7900,63.8500,25200
1467035244,63.7700,63.8100,63.7500,63.8100,9100
1467035339,63.7100,63.7700,63.6900,63.7500,22900
1467035396,63.5900,63.7100,63.5700,63.7100,21100
1467035450,63.6000,63.6150,63.5900,63.5900,11900
1467035460,63.6000,63.6300,63.5900,63.5900,12400
1467035568,63.6100,63.6200,63.6000,63.6000,4400
1467035639,63.6400,63.6614,63.6300,63.6450,9600
1467035643,63.6200,63.6400,63.6000,63.6400,6900
1467035704,63.6300,63.6500,63.5900,63.6200,8600
1467035771,63.6500,63.6500,63.6200,63.6400,7300
1467035823,63.6900,63.7000,63.6290,63.6300,9100
1467035890,63.7200,63.7200,63.6800,63.7000,6300
1467035998,63.7800,63.7900,63.7100,63.7200,8800
1467036001,63.8250,63.8400,63.7700,63.7700,10500
1467036068,63.7800,63.8200,63.7700,63.8100,15100
1467036125,63.7500,63.8300,63.7500,63.8200,32300
1467036181,63.7300,63.7800,63.7100,63.7500,5400
1467036295,63.7000,63.7500,63.7000,63.7300,11000
1467036300,63.7100,63.7500,63.6900,63.6900,25200
1467036418,63.7900,63.7900,63.7400,63.7400,3500
1467036478,63.8250,63.8500,63.7850,63.7900,5800
1467036481,63.7800,63.8250,63.7700,63.8250,7700
1467036547,63.7850,63.8000,63.7750,63.7900,11100
1467036659,63.7500,63.7800,63.7500,63.7800,4900
1467036667,63.7750,63.7800,63.7275,63.7600,7800
1467036765,63.7750,63.7900,63.7750,63.7800,6000
1467036839,63.7700,63.7900,63.7700,63.7700,16000
1467036899,63.7500,63.7800,63.7500,63.7700,6900
1467036958,63.7300,63.7600,63.7300,63.7600,4400
1467036967,63.7300,63.7300,63.7000,63.7200,5000
1467037079,63.7100,63.7450,63.6950,63.7350,5000
1467037139,63.6950,63.7100,63.6900,63.7100,4300
1467037194,63.6575,63.6950,63.6400,63.6950,8000
1467037258,63.6975,63.7075,63.6600,63.6600,8500
1467037261,63.7500,63.7550,63.6975,63.7000,7500
1467037379,63.7800,63.7800,63.7500,63.7500,12000
1467037384,63.7800,63.8000,63.7700,63.7850,6900
1467037442,63.7500,63.7800,63.7500,63.7800,7500
1467037559,63.7500,63.7500,63.7300,63.7500,3400
1467037566,63.7500,63.7550,63.7400,63.7400,2700
1467037679,63.7875,63.7875,63.7550,63.7700,20600
1467037739,63.7500,63.7850,63.7450,63.7800,8900
1467037796,63.7500,63.7600,63.7401,63.7500,4900
1467037813,63.7500,63.7600,63.7450,63.7500,4900
1467037864,63.7300,63.7400,63.7250,63.7400,4000
1467037950,63.7875,63.7875,63.7300,63.7300,6500
1467038036,63.8000,63.8000,63.7800,63.8000,12800
1467038052,63.7900,63.7900,63.7800,63.7900,3400
1467038107,63.8600,63.8600,63.8000,63.8000,4500
1467038219,63.8700,63.8700,63.8300,63.8500,9700
1467038229,63.8500,63.8700,63.8500,63.8700,11700
1467038285,63.8600,63.8600,63.8500,63.8500,6700
1467038399,63.8900,63.8900,63.8575,63.8575,8500
1467038401,63.9400,63.9500,63.8800,63.8900,12300
1467038508,63.8500,63.9200,63.8500,63.9200,4000
1467038520,63.8700,63.8700,63.8400,63.8500,6500
1467038639,63.9000,63.9200,63.8600,63.8600,7800
1467038640,63.8750,63.9100,63.8600,63.9000,15300
1467038758,63.7800,63.8700,63.7800,63.8650,8000
1467038817,63.7350,63.7450,63.7350,63.7400,7000
1467038822,63.7600,63.7600,63.7400,63.7400,3100
1467038880,63.7300,63.7400,63.7165,63.7400,4000
1467038942,63.7350,63.7500,63.7200,63.7500,3900
1467039003,63.7400,63.7500,63.7200,63.7350,3100
1467039102,63.7100,63.7400,63.7100,63.7400,6800
1467039179,63.7100,63.7200,63.7000,63.7100,4600
1467039180,63.7250,63.7300,63.7000,63.7100,8600
1467039299,63.7550,63.7800,63.7550,63.7700,2600
1467039302,63.7900,63.7900,63.7600,63.7600,1200
1467039373,63.7800,63.8000,63.7800,63.8000,3300
1467039420,63.7600,63.7700,63.7400,63.7700,3400
1467039497,63.7800,63.8000,63.7750,63.7800,3900
1467039599,63.7950,63.8050,63.7500,63.7800,39400
1467039611,63.7550,63.7750,63.7500,63.7750,41000
1467039718,63.7600,63.7700,63.7300,63.7700,102900
1467039724,63.7800,63.7900,63.7600,63.7600,15600
1467039839,63.7950,63.8300,63.7800,63.7800,33600
1467039841,63.7650,63.7900,63.7500,63.7900,14800
1467039934,63.7800,63.7900,63.7650,63.7900,2800
1467039962,63.7700,63.7900,63.7700,63.7800,6900
1467040020,63.7400,63.7750,63.7400,63.7750,26600
1467040080,63.7100,63.7400,63.7000,63.7400,5100
1467040148,63.6900,63.7100,63.6800,63.7000,2700
1467040202,63.6900,63.7000,63.6700,63.6900,85200
