uri:/instrument/1.0/WY/chartdata;type=quote;range=1d/csv
ticker:wy
Company-Name:Weyerhaeuser Company Common Sto
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:32.0400
Timestamp:1468589400,1468612800
labels:1468591200,1468594800,1468598400,1468602000,1468605600,1468609200,1468612800
values:Timestamp,close,high,low,open,volume
close:31.9900,32.2401
high:31.9950,32.2500
low:31.9800,32.2400
open:31.9900,32.2475
volume:200,344200
1468589450,32.1400,32.1400,32.1400,32.1400,221700
1468589512,32.1000,32.1100,32.0700,32.1000,7900
1468589575,32.0740,32.1000,32.0400,32.1000,5600
1468589582,32.0900,32.0900,32.0700,32.0700,1600
1468589657,32.0700,32.1000,32.0700,32.1000,3900
1468589720,32.0400,32.0700,32.0400,32.0500,2400
1468589760,32.0700,32.0700,32.0200,32.0400,10400
1468589823,32.0200,32.0400,32.0196,32.0400,4200
1468589886,32.0400,32.0800,32.0300,32.0300,18700
1468589951,32.0300,32.0400,32.0200,32.0300,7700
1468590055,32.0500,32.0700,32.0300,32.0300,6800
1468590061,32.0310,32.0700,32.0300,32.0500,11600
1468590121,32.0200,32.0500,32.0100,32.0300,7700
1468590237,32.0300,32.0400,32.0200,32.0300,7100
1468590240,32.0300,32.0500,32.0200,32.0500,19300
1468590308,32.0200,32.0300,32.0200,32.0300,15900
1468590362,32.0575,32.0575,32.0200,32.0400,13400
1468590423,32.0400,32.0500,32.0200,32.0500,9500
1468590539,32.0600,32.0600,32.0200,32.0400,10400
1468590597,32.0600,32.0600,32.0500,32.0600,4700
1468590651,32.1090,32.1090,32.0700,32.0900,13100
1468590660,32.1100,32.1200,32.1000,32.1000,7200
1468590775,32.1200,32.1450,32.1090,32.1200,12700
1468590832,32.0733,32.1110,32.0733,32.1110,9800
1468590840,32.0550,32.0901,32.0500,32.0800,19600
1468590948,32.0500,32.0500,32.0400,32.0500,4500
1468591018,32.0100,32.0600,32.0100,32.0600,9100
1468591020,32.0400,32.0400,32.0050,32.0050,5500
1468591138,32.0600,32.0700,32.0400,32.0400,11500
1468591140,32.0850,32.0950,32.0550,32.0600,11800
1468591256,32.1000,32.1050,32.0700,32.0750,19100
1468591261,32.1300,32.1350,32.1000,32.1000,10000
1468591321,32.1100,32.1300,32.1100,32.1200,5900
1468591437,32.1100,32.1250,32.1000,32.1200,5600
1468591441,32.1100,32.1500,32.1100,32.1200,11100
1468591545,32.1250,32.1300,32.1000,32.1000,2400
1468591616,32.1300,32.1400,32.1100,32.1300,5200
1468591675,32.1200,32.1300,32.1100,32.1300,6500
1468591684,32.1400,32.1500,32.1200,32.1200,6400
