uri:/instrument/1.0/ADS/chartdata;type=quote;range=1d/csv
ticker:ads
Company-Name:Alliance Data Systems Corporati
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:213.1700
Timestamp:1468416600,1468440000
labels:1468418400,1468422000,1468425600,1468429200,1468432800,1468436400,1468440000
values:Timestamp,close,high,low,open,volume
close:208.9060,214.6900
high:208.9100,214.6900
low:208.7100,214.6900
open:208.7300,214.6900
volume:100,38700
1468416662,214.6900,214.6900,214.6900,214.6900,7100
1468416802,213.4360,213.4360,213.4360,213.4360,400
1468416975,213.8000,214.2600,213.7500,213.9700,4400
1468417068,213.8500,213.8500,213.8200,213.8400,1900
1468417084,213.3400,213.5800,213.0700,213.5800,3100
1468417198,212.9700,213.3600,212.8300,213.3100,2300
1468417252,212.7400,212.7400,212.5800,212.5800,1800
1468417306,212.3900,212.7800,212.3300,212.7500,1000
1468417340,212.3300,212.3400,212.3200,212.3400,800
1468417437,212.2700,212.4100,212.2150,212.2150,700
1468417445,212.2300,212.5050,212.2300,212.2700,2200
1468417523,212.4700,212.6500,212.4550,212.4550,900
1468417586,212.4550,212.4550,212.4550,212.4550,600
1468417678,212.1700,212.6600,211.9400,212.4700,21000
1468417691,212.0600,212.1250,211.9500,212.1250,1200
1468417799,211.4600,211.4600,211.3800,211.3800,700
1468417834,211.6900,212.0400,211.6850,211.6850,2000
1468417920,211.7400,211.7400,211.7400,211.7400,200
1468418022,211.8050,211.8800,211.7100,211.7100,300
1468418056,212.0000,212.0099,211.8500,211.8500,11500
1468418132,212.0050,212.0050,211.9900,212.0000,1100
1468418214,211.6150,212.0000,211.5500,212.0000,3400
1468418229,211.7300,211.7300,211.3900,211.3900,2400
1468418327,211.9300,211.9300,211.9200,211.9300,400
1468418374,212.0000,212.0100,211.9100,211.9100,2000
1468418459,212.0000,212.0650,211.9400,211.9400,300
1468418462,212.1200,212.1200,212.0800,212.0800,400
1468418529,211.9500,212.1000,211.9500,212.1000,200
1468418616,212.1200,212.1200,212.1200,212.1200,100
1468418656,211.9900,211.9900,211.9700,211.9900,1800
1468418730,212.0000,212.0000,211.9000,211.9000,500
1468418815,212.0000,212.0500,212.0000,212.0000,1900
1468418822,211.7300,211.9900,211.7300,211.9900,2000
1468418928,211.8300,211.8300,211.8300,211.8300,100
1468419054,211.9500,212.0700,211.8900,211.9100,8000
