uri:/instrument/1.0/AET/chartdata;type=quote;range=1d/csv
ticker:aet
Company-Name:Aetna Inc. Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:117.2500
Timestamp:1469626200,1469649600
labels:1469628000,1469631600,1469635200,1469638800,1469642400,1469646000,1469649600
values:Timestamp,close,high,low,open,volume
close:114.5700,117.1000
high:115.1100,117.1300
low:114.3000,116.9600
open:114.3700,117.0700
volume:200,121600
1469626247,116.3500,116.3600,116.3500,116.3600,2400
1469626319,115.4900,116.2600,115.1900,116.1550,78000
1469626334,115.1500,115.5883,115.0800,115.4100,15400
1469626419,115.2300,115.4500,115.1300,115.2100,7600
1469626497,114.5700,115.1650,114.3000,115.1100,88600
1469626500,115.0250,115.1100,114.3200,114.3700,32300
1469626566,115.0000,115.2800,114.9000,114.9900,25300
1469626628,115.0000,115.1100,114.9300,115.0000,1300
1469626690,115.4449,115.5300,114.9900,114.9900,15000
1469626799,115.6100,115.6200,115.4856,115.5300,4500
1469626800,115.6300,115.7600,115.5200,115.6100,7800
1469626863,115.4489,115.5700,115.4100,115.5700,2900
1469626979,115.6650,115.6900,115.5300,115.5400,3400
1469626980,115.9700,115.9900,115.5600,115.6800,17400
1469627069,116.0400,116.1400,115.9900,116.0412,3600
1469627157,115.9800,116.0699,115.9100,116.0000,8900
1469627160,116.1400,116.1400,115.9500,116.0300,12200
1469627222,116.3500,116.3700,116.2290,116.2290,6100
1469627280,116.2500,116.3600,116.2000,116.3500,7400
1469627358,116.2362,116.2700,116.2362,116.2600,2100
1469627456,116.5400,116.6200,116.2800,116.2800,11900
1469627518,116.6300,116.7100,116.5500,116.5500,22800
1469627524,116.7000,116.7000,116.6300,116.6700,13600
1469627631,116.8000,116.8000,116.6600,116.7400,7300
1469627699,116.7000,116.7900,116.6300,116.7500,8700
1469627758,116.7000,116.7250,116.6700,116.7000,3800
1469627762,116.6600,116.7500,116.6500,116.7000,14800
1469627834,117.0200,117.1200,116.6800,116.7200,121600
1469627938,117.1000,117.1200,116.9205,116.9500,41500
1469627946,117.1000,117.1300,116.9600,117.0700,15000
1469628054,116.8800,117.0900,116.8800,117.0500,7700
1469628118,116.9500,116.9800,116.9000,116.9200,9800
1469628122,116.9300,117.0500,116.9100,116.9500,23400
1469628180,116.6200,116.9700,116.6200,116.9300,11100
1469628243,116.4700,116.6200,116.4700,116.6200,5400
1469628327,116.4800,116.5100,116.4800,116.5100,700
1469628360,116.4500,116.4500,116.3800,116.4500,2600
1469628478,116.4000,116.4200,116.2400,116.4100,6500
1469628490,116.3400,116.3600,116.3000,116.3600,1700
1469628599,116.2500,116.3000,116.2300,116.3000,1200
1469628601,116.1500,116.3100,116.1100,116.2600,9500
1469628718,116.2450,116.3100,116.1400,116.1500,6700
