uri:/instrument/1.0/BK/chartdata;type=quote;range=1d/csv
ticker:bk
Company-Name:Bank of New York Mellon Corpora
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:39.0500
Timestamp:1469539800,1469563200
labels:1469541600,1469545200,1469548800,1469552400,1469556000,1469559600,1469563200
values:Timestamp,close,high,low,open,volume
close:39.1100,39.6700
high:39.1400,39.6800
low:39.1000,39.6600
open:39.1390,39.6750
volume:500,166800
1469539813,39.2450,39.2500,39.2100,39.2200,51900
1469539860,39.1100,39.2400,39.1000,39.2400,17700
1469539979,39.1400,39.1400,39.1000,39.1390,5300
1469540026,39.2200,39.2200,39.1600,39.1600,15100
1469540040,39.2800,39.2800,39.2100,39.2100,26000
1469540102,39.2700,39.3300,39.2700,39.2800,24600
1469540166,39.2300,39.2800,39.2300,39.2600,9200
1469540276,39.2000,39.2700,39.2000,39.2300,17500
1469540327,39.2300,39.2300,39.2100,39.2100,10100
1469540389,39.2600,39.2700,39.2300,39.2300,15400
1469540451,39.2950,39.3100,39.2575,39.2700,23300
1469540510,39.3100,39.3300,39.2800,39.3000,16700
1469540521,39.3000,39.3300,39.3000,39.3000,14700
1469540580,39.3100,39.3200,39.2900,39.3000,18500
1469540692,39.3400,39.3600,39.3100,39.3200,17300
1469540749,39.3450,39.3600,39.3200,39.3600,9600
1469540818,39.3600,39.3700,39.3400,39.3400,17500
1469540877,39.3300,39.3600,39.3300,39.3600,13100
1469540934,39.3700,39.3700,39.3300,39.3400,10200
1469540992,39.3700,39.3800,39.3600,39.3700,8200
1469541053,39.3650,39.3700,39.3600,39.3600,9300
1469541062,39.3300,39.3700,39.3300,39.3700,12800
1469541176,39.3200,39.3300,39.3200,39.3300,9500
1469541227,39.3400,39.3400,39.3250,39.3300,8900
1469541242,39.3400,39.3400,39.3300,39.3400,61100
1469541351,39.3400,39.3800,39.3400,39.3700,12500
1469541416,39.3500,39.3600,39.3450,39.3500,75000
1469541451,39.3600,39.3600,39.3350,39.3400,37100
1469541481,39.3850,39.3900,39.3600,39.3650,32700
1469541542,39.3801,39.3900,39.3750,39.3884,14800
1469541653,39.4100,39.4100,39.3850,39.3900,9900
1469541710,39.4600,39.4600,39.4100,39.4100,14900
1469541773,39.4300,39.4700,39.4250,39.4600,21000
1469541786,39.4400,39.4500,39.4100,39.4100,16500
1469541899,39.4500,39.4700,39.4350,39.4400,12000
1469541958,39.4400,39.4600,39.4400,39.4500,18700
1469542018,39.4475,39.4600,39.4400,39.4450,84100
1469542078,39.5300,39.5300,39.4450,39.4500,79600
1469542138,39.5000,39.5400,39.5000,39.5300,31300
1469542199,39.4900,39.5000,39.4800,39.5000,18700
1469542253,39.4900,39.4950,39.4800,39.4900,4700
1469542264,39.4950,39.5000,39.4900,39.4950,7500
1469542329,39.4950,39.5000,39.4900,39.4900,7900
1469542434,39.5000,39.5000,39.4900,39.4900,5600
1469542490,39.4950,39.5000,39.4900,39.5000,5200
1469542553,39.5150,39.5200,39.4900,39.4900,14000
1469542612,39.5400,39.5400,39.5200,39.5200,17100
1469542621,39.5700,39.5700,39.5400,39.5400,79100
1469542686,39.5800,39.5900,39.5700,39.5700,24300
1469542798,39.5900,39.6100,39.5800,39.5800,14100
1469542850,39.5900,39.6100,39.5900,39.6000,15300
1469542917,39.5900,39.6200,39.5900,39.6000,27700
1469542973,39.5800,39.6000,39.5800,39.5900,7400
1469542989,39.5900,39.5901,39.5800,39.5800,7800
1469543096,39.6300,39.6500,39.5950,39.5950,53700
1469543157,39.6300,39.6400,39.6200,39.6400,11700
1469543219,39.6450,39.6500,39.6300,39.6300,13800
1469543279,39.6600,39.6600,39.6500,39.6500,6700
1469543312,39.6500,39.6700,39.6500,39.6600,20300
1469543343,39.6400,39.6500,39.6400,39.6450,3800
1469543400,39.6550,39.6600,39.6400,39.6450,21400
1469543517,39.6700,39.6750,39.6500,39.6500,8100
1469543579,39.6300,39.6800,39.6050,39.6700,41800
1469543635,39.6100,39.6300,39.6000,39.6300,18800
