uri:/instrument/1.0/C/chartdata;type=quote;range=1d/csv
ticker:c
Company-Name:Citigroup, Inc. Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:44.5700
Timestamp:1468935000,1468958400
labels:1468936800,1468940400,1468944000,1468947600,1468951200,1468954800,1468958400
values:Timestamp,close,high,low,open,volume
close:44.1050,44.6850
high:44.1500,44.6900
low:44.0632,44.6700
open:44.1000,44.6800
volume:100,397100
1468935008,44.2100,44.2100,44.2100,44.2100,50300
1468935119,44.1300,44.2000,44.1100,44.1800,397100
1468935179,44.1450,44.1600,44.0900,44.1337,130200
1468935238,44.1050,44.1500,44.0632,44.1450,72900
1468935299,44.2300,44.2300,44.1000,44.1000,56800
1468935359,44.2700,44.2800,44.2208,44.2300,120900
1468935360,44.3300,44.3300,44.2600,44.2700,120400
1468935479,44.2600,44.3800,44.2600,44.3299,124500
1468935481,44.2000,44.2900,44.1800,44.2600,80700
1468935599,44.2000,44.2450,44.1880,44.2100,154200
1468935659,44.1700,44.2000,44.1350,44.2000,50900
1468935660,44.3237,44.3400,44.1700,44.1700,159200
1468935778,44.2350,44.3300,44.2237,44.3300,161100
1468935780,44.3100,44.3100,44.2200,44.2300,82600
1468935841,44.2400,44.3100,44.2050,44.3000,81300
1468935900,44.2500,44.2600,44.2300,44.2350,41400
1468936019,44.2500,44.2700,44.2300,44.2600,49300
1468936079,44.2500,44.2500,44.1800,44.2500,61900
1468936080,44.3000,44.3100,44.2500,44.2500,55300
1468936198,44.2800,44.3200,44.2700,44.2900,183100
1468936259,44.2700,44.2850,44.2300,44.2800,64800
1468936261,44.2700,44.2900,44.2600,44.2700,24800
1468936320,44.3150,44.3400,44.2784,44.2800,65300
1468936381,44.3600,44.3800,44.3100,44.3190,54500
1468936499,44.3300,44.3650,44.3250,44.3600,24300
1468936500,44.3850,44.3900,44.3299,44.3299,70600
1468936564,44.3200,44.3900,44.3200,44.3900,37800
1468936679,44.3400,44.3600,44.3137,44.3150,41500
1468936681,44.3500,44.3500,44.3210,44.3337,63600
1468936741,44.3900,44.4100,44.3300,44.3500,72000
1468936859,44.3300,44.3900,44.3136,44.3850,39800
1468936918,44.3350,44.3400,44.3200,44.3300,24300
1468936923,44.3200,44.3400,44.3050,44.3300,48800
1468936983,44.3150,44.3300,44.3100,44.3200,12300
1468937041,44.3000,44.3200,44.2850,44.3110,54100
1468937103,44.3750,44.3900,44.3000,44.3000,75600
1468937216,44.3600,44.3790,44.3400,44.3790,28100
1468937220,44.3500,44.3700,44.3400,44.3600,49900
1468937339,44.4600,44.4650,44.3450,44.3500,101700
1468937399,44.4500,44.4800,44.4500,44.4600,56500
1468937400,44.5000,44.5100,44.4410,44.4550,73100
1468937519,44.5850,44.5950,44.4850,44.5000,148000
1468937579,44.5500,44.6000,44.5500,44.5900,38800
1468937639,44.5950,44.6000,44.5000,44.5400,59700
1468937640,44.6200,44.6300,44.5700,44.5900,87800
1468937700,44.6200,44.6500,44.6200,44.6200,48600
1468937819,44.5850,44.6210,44.5800,44.6200,66500
1468937879,44.5600,44.6000,44.5450,44.5850,77600
1468937939,44.5700,44.5850,44.5200,44.5600,48200
1468937999,44.5500,44.5885,44.5400,44.5700,27800
1468938054,44.5700,44.5800,44.5400,44.5500,43200
1468938117,44.5300,44.5800,44.5170,44.5800,38500
1468938179,44.5400,44.5400,44.5100,44.5300,37900
1468938236,44.5900,44.6000,44.5400,44.5400,21300
1468938291,44.6000,44.6070,44.5900,44.5900,42300
1468938303,44.6100,44.6150,44.5900,44.6000,36600
1468938414,44.6010,44.6100,44.5900,44.6044,23800
1468938421,44.5900,44.6300,44.5900,44.6000,33000
1468938536,44.6000,44.6200,44.5900,44.6000,23600
1468938598,44.6400,44.6400,44.5838,44.6050,66400
1468938659,44.6100,44.6500,44.6100,44.6400,64500
1468938716,44.5699,44.6200,44.5600,44.6150,31600
1468938720,44.5590,44.5700,44.5400,44.5700,27200
1468938780,44.5390,44.5550,44.5100,44.5550,42800
1468938899,44.5375,44.5400,44.5200,44.5350,31900
1468938900,44.5500,44.5600,44.5323,44.5400,37300
1468939019,44.5500,44.5600,44.5400,44.5500,26800
1468939028,44.5400,44.5600,44.5300,44.5400,26900
1468939139,44.5200,44.5600,44.5200,44.5500,27900
1468939199,44.5100,44.5300,44.5000,44.5236,67900
