uri:/instrument/1.0/DTE/chartdata;type=quote;range=1d/csv
ticker:dte
Company-Name:DTE Energy Company Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:99.1200
Timestamp:1467379800,1467403200
labels:1467381600,1467385200,1467388800,1467392400,1467396000,1467399600,1467403200
values:Timestamp,close,high,low,open,volume
close:98.2700,99.8400
high:98.2900,100.0000
low:98.2700,99.7450
open:98.2700,99.8700
volume:100,64900
1467379820,99.6100,99.6100,99.6100,99.6100,10700
1467379938,99.8400,99.8400,99.6300,99.6400,3300
1467380021,99.6900,99.7100,99.6822,99.6822,400
1467380045,99.6900,100.0000,99.6200,99.8700,10200
1467380110,99.4900,99.6900,99.4150,99.6400,15700
1467380160,99.5000,99.5100,99.2701,99.4300,9400
1467380226,99.6100,99.7400,99.4200,99.4800,5700
1467380285,99.6450,99.7000,99.5700,99.6300,8500
1467380390,99.5600,99.6600,99.4000,99.6400,6200
1467380446,99.5200,99.5450,99.4700,99.4800,3800
1467380517,99.5600,99.6850,99.5100,99.5200,7900
1467380575,99.5350,99.6400,99.5350,99.5800,3800
1467380639,99.5900,99.7000,99.5900,99.5950,10600
1467380641,99.6250,99.6500,99.6000,99.6200,10100
1467380756,99.6700,99.7800,99.6500,99.6600,4700
1467380770,99.7450,99.7450,99.6500,99.7200,6100
1467380834,99.7100,99.8500,99.7100,99.7800,4800
1467380884,99.7200,99.7600,99.6600,99.6900,2600
1467380996,99.7400,99.7400,99.6800,99.6800,2000
1467381053,99.7500,99.7700,99.7250,99.7400,1300
1467381060,99.6700,99.7500,99.6600,99.7400,4900
1467381121,99.7500,99.7900,99.7450,99.7700,4500
1467381194,99.7500,99.7900,99.7200,99.7300,5000
1467381291,99.7100,99.7500,99.7100,99.7500,1600
1467381302,99.6900,99.6900,99.6600,99.6700,1600
1467381361,99.7000,99.7000,99.5900,99.5900,2000
1467381430,99.6600,99.7350,99.6500,99.7350,12300
1467381481,99.6100,99.6700,99.5700,99.6650,3300
1467381590,99.6000,99.6000,99.6000,99.6000,600
1467381600,99.5900,99.6850,99.5300,99.6500,8500
1467381676,99.5400,99.5700,99.5400,99.5700,1100
1467381720,99.4000,99.5400,99.4000,99.4600,3100
1467381781,99.4000,99.4000,99.3750,99.3750,1700
1467381885,99.3600,99.4300,99.3300,99.4300,6100
1467381900,99.4100,99.4100,99.3200,99.3500,7300
1467381965,99.4500,99.4500,99.3900,99.4300,2500
1467382079,99.3100,99.4200,99.3100,99.4200,3500
1467382080,99.3250,99.3700,99.3000,99.3100,3100
1467382176,99.3000,99.3000,99.3000,99.3000,300
1467382257,99.2200,99.2550,99.2100,99.2100,2200
1467382317,99.1400,99.2800,99.1400,99.2800,15100
1467382378,99.1225,99.2100,99.1225,99.1700,3300
1467382438,99.1200,99.1500,99.0800,99.1225,3500
1467382442,99.0100,99.1500,98.9900,99.1500,3500
1467382546,98.9600,99.0100,98.9500,99.0000,2400
1467382565,98.9400,98.9825,98.8700,98.9825,4600
1467382622,98.8350,98.9800,98.8350,98.9800,2000
1467382727,98.8200,98.8900,98.8200,98.8900,3100
1467382794,98.7050,98.8700,98.7050,98.8300,5800
1467382857,98.7799,98.7799,98.6500,98.7550,3200
1467382919,98.7900,98.8600,98.7000,98.7800,4100
1467382923,98.8400,98.8600,98.7500,98.7900,4000
1467382982,98.8100,98.8500,98.8100,98.8300,2100
1467383099,98.8500,98.8700,98.8200,98.8200,1200
1467383159,98.7300,98.8600,98.7300,98.8600,1800
1467383188,98.7400,98.7400,98.7400,98.7400,200
1467383250,98.7700,98.7900,98.7700,98.7900,700
1467383300,98.8200,98.8200,98.8200,98.8200,300
1467383346,98.9600,98.9600,98.8600,98.8700,1700
1467383425,98.9500,98.9800,98.9300,98.9700,1400
1467383507,98.9200,98.9500,98.9100,98.9400,900
1467383534,98.9500,98.9500,98.8800,98.8800,1700
1467383588,98.9200,98.9800,98.9000,98.9800,4100
1467383727,98.8800,98.9300,98.8400,98.9300,1400
1467383819,98.8300,98.8600,98.7800,98.8600,2700
1467383820,98.7700,98.8200,98.7700,98.8100,1200
1467383898,98.7100,98.7300,98.7100,98.7200,800
1467383999,98.6300,98.7100,98.6300,98.6800,2100
1467384058,98.5800,98.6700,98.5600,98.6700,4400
1467384110,98.6100,98.6100,98.5500,98.5800,4900
1467384125,98.6200,98.6700,98.6200,98.6300,6600
1467384237,98.6250,98.6300,98.5900,98.6100,5300
1467384293,98.5100,98.6300,98.5100,98.6250,11100
1467384353,98.4700,98.5200,98.4500,98.4700,3400
1467384364,98.4000,98.4800,98.4000,98.4800,1000
