uri:/instrument/1.0/ESS/chartdata;type=quote;range=1d/csv
ticker:ess
Company-Name:Essex Property Trust, Inc. Comm
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:226.3500
Timestamp:1469107800,1469131200
labels:1469109600,1469113200,1469116800,1469120400,1469124000,1469127600,1469131200
values:Timestamp,close,high,low,open,volume
close:224.3500,226.4600
high:224.3500,226.5100
low:224.2800,226.4600
open:224.2800,226.4700
volume:100,7800
1469107907,225.8100,225.8100,225.8100,225.8100,3200
1469108099,224.9900,224.9900,224.9900,224.9900,400
1469108134,224.3500,224.9900,224.3400,224.9900,1800
1469108172,224.3500,224.3600,224.3500,224.3500,400
1469108225,224.3700,224.6800,224.3500,224.3500,600
1469108365,224.4300,224.4300,224.4300,224.4300,100
1469108403,224.3500,224.3500,224.2800,224.2800,300
1469108470,224.6900,224.6900,224.5800,224.5800,500
1469108576,224.3900,224.3900,224.3900,224.3900,100
1469108601,224.4800,224.4800,224.4200,224.4600,500
1469108658,224.5200,224.5200,224.5200,224.5200,100
1469108712,225.0950,225.0950,225.0950,225.0950,200
1469108785,224.9000,224.9000,224.7700,224.7700,700
1469108875,224.7900,224.7900,224.7900,224.7900,200
1469108942,225.2400,225.2400,224.6100,224.8200,1300
1469109072,225.0400,225.0400,225.0400,225.0400,300
1469109158,225.0100,225.0100,225.0100,225.0100,300
1469109275,224.9700,225.0600,224.9500,225.0600,500
1469109327,224.9200,224.9900,224.9200,224.9900,400
1469109415,224.8850,224.9200,224.6900,224.9200,1800
1469109451,224.8600,225.0700,224.7000,224.8700,2200
1469109534,225.1450,225.1450,224.8800,224.8800,4400
1469109548,224.7000,225.1300,224.7000,225.1300,1400
1469109600,224.8400,225.0000,224.8200,224.9800,1500
1469109660,224.6400,224.8200,224.6400,224.8200,1000
1469109737,224.5900,224.7700,224.5900,224.6800,1800
1469109968,224.5650,224.6300,224.5650,224.6300,1100
1469110024,224.6300,224.7000,224.6100,224.6100,600
1469110145,224.5650,224.5650,224.5650,224.5650,400
1469110205,224.6300,225.0100,224.6300,225.0100,500
1469110276,224.6300,224.6500,224.6300,224.6500,800
1469110331,224.7200,224.7200,224.7200,224.7200,300
1469110450,224.9300,224.9300,224.7500,224.8250,600
1469110613,224.9200,224.9200,224.9200,224.9200,100
1469110634,225.3300,225.3300,225.3300,225.3300,300
1469110702,224.9300,225.1100,224.9300,225.1100,700
1469110799,225.2400,225.2400,225.2400,225.2400,100
1469110806,225.4300,225.4300,225.0900,225.0900,1100
1469110949,225.2700,225.5700,225.2700,225.5700,600
1469111097,225.6200,225.6200,225.6100,225.6100,200
1469111125,225.7300,225.8100,225.7300,225.8000,800
1469111189,225.7900,225.8400,225.7900,225.8400,800
1469111264,225.7800,225.7800,225.7800,225.7800,400
1469111294,225.8900,225.9900,225.8900,225.9900,1000
1469111374,225.7700,225.7700,225.7700,225.7700,200
1469111423,225.6900,225.6900,225.6900,225.6900,300
1469111507,225.7300,225.8200,225.7300,225.8200,400
1469111551,225.8900,225.8900,225.8900,225.8900,300
1469111625,226.0600,226.0600,226.0600,226.0600,200
1469111669,225.8800,225.8800,225.8800,225.8800,300
1469111738,225.8400,225.8600,225.7900,225.7900,800
1469111766,226.0000,226.0000,225.6800,225.7700,7800
1469111820,225.8400,225.9200,225.8400,225.9200,600
1469112032,225.9600,225.9600,225.9600,225.9600,600
1469112065,225.9400,225.9400,225.9400,225.9400,100
1469112212,225.9300,225.9300,225.9300,225.9300,100
1469112314,225.9400,225.9400,225.9400,225.9400,300
1469112380,225.9200,225.9200,225.9200,225.9200,100
1469112431,226.1100,226.1100,225.8400,225.8400,1800
1469112598,225.9301,225.9301,225.9301,225.9301,200
1469112676,226.2100,226.2100,226.0000,226.0000,600
1469112826,226.3000,226.3000,226.3000,226.3000,400
1469112842,226.4200,226.4200,226.3100,226.3100,2100
1469112903,226.3600,226.3600,226.3600,226.3600,100
1469113017,226.2500,226.2500,226.2500,226.2500,400
