uri:/instrument/1.0/EXPE/chartdata;type=quote;range=1d/csv
ticker:expe
Company-Name:Expedia, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:115.5300
Timestamp:1468935000,1468958400
labels:1468936800,1468940400,1468944000,1468947600,1468951200,1468954800,1468958400
values:Timestamp,close,high,low,open,volume
close:114.2800,116.2800
high:114.5800,116.2900
low:114.2800,116.2600
open:114.3500,116.2800
volume:100,104000
1468935064,114.5800,114.8500,114.5700,114.8500,12400
1468935137,114.8650,114.8650,114.8650,114.8650,100
1468935208,114.2800,114.8600,114.2800,114.7900,3500
1468935248,114.6550,114.6700,114.3500,114.3500,1800
1468935355,115.0600,115.1200,114.6950,114.7900,12300
1468935384,115.0450,115.1200,114.9700,115.1100,600
1468935475,114.8800,115.0000,114.8800,115.0000,900
1468935529,115.0500,115.2300,114.8800,114.8800,13700
1468935585,115.0925,115.2000,115.0000,115.0620,14200
1468935602,115.1900,115.2300,115.0300,115.0900,4700
1468935700,115.4699,115.4699,115.2500,115.2500,1600
1468935722,115.3800,115.8700,115.3800,115.4900,13600
1468935816,115.8100,115.8100,115.5800,115.5900,1300
1468935911,115.4400,115.5900,115.2200,115.5900,2500
1468936019,115.2605,115.5900,115.2110,115.3800,9500
1468936020,115.2100,115.4800,115.1000,115.2100,12600
1468936080,114.9800,115.2450,114.9800,115.2450,2800
1468936277,114.7650,114.8300,114.7650,114.8300,300
1468936373,114.7301,114.8000,114.7301,114.7900,1300
1468936421,114.8200,114.8300,114.7200,114.8000,1700
1468936481,114.8300,114.8300,114.7740,114.8200,1200
1468936544,114.7800,114.8100,114.7800,114.8100,1600
1468936577,114.7050,114.8240,114.7050,114.8240,500
1468936677,114.5900,114.7900,114.5900,114.6750,3700
1468936726,114.6700,114.6700,114.5400,114.5800,1700
1468936743,114.9200,114.9200,114.7200,114.7200,5100
1468936827,114.8850,114.8900,114.8850,114.8900,200
1468936918,114.7350,114.9400,114.7300,114.9200,2500
1468936924,114.5800,114.7900,114.5800,114.6910,4000
1468936984,114.5200,114.5800,114.4500,114.5800,5100
1468937090,114.5850,114.5880,114.5100,114.5500,3100
1468937102,114.6200,114.6500,114.5400,114.5600,2600
1468937167,114.5900,114.6350,114.5900,114.6350,900
1468937221,114.5100,114.6900,114.5100,114.6450,3500
1468937291,114.7000,114.7000,114.4900,114.5200,5900
1468937357,114.7200,114.7600,114.7100,114.7100,1500
1468937446,114.9100,114.9100,114.7450,114.7450,1800
1468937464,114.8800,114.8900,114.8800,114.8800,500
1468937550,114.9000,114.9300,114.8950,114.8950,1200
1468937600,114.8200,114.8800,114.8200,114.8800,600
1468937693,114.8700,114.8800,114.8600,114.8600,1000
1468937707,115.0000,115.0000,114.8600,114.8800,2200
1468937812,114.9700,115.0500,114.9600,115.0300,1700
1468937840,114.9600,114.9700,114.9100,114.9700,2700
1468937886,114.9800,115.0190,114.9600,114.9600,900
1468937996,115.0000,115.1500,114.9580,114.9580,4600
1468938052,115.1200,115.1200,115.0400,115.1000,2000
1468938068,115.1800,115.2200,115.0700,115.1000,8800
1468938177,115.2000,115.2500,115.1500,115.2300,7300
1468938195,115.2100,115.2700,115.1500,115.2700,5700
1468938251,115.3076,115.3300,115.2500,115.2500,1000
1468938311,115.3800,115.3800,115.2950,115.2950,1100
1468938413,115.3100,115.4700,115.3100,115.3800,10600
1468938478,115.2500,115.3500,115.2500,115.3100,6800
1468938492,115.1974,115.2550,115.1900,115.2300,1000
1468938598,115.0000,115.2250,115.0000,115.2250,6000
1468938635,115.0700,115.1000,115.0000,115.0300,2200
1468938682,115.0200,115.1190,115.0200,115.0600,800
1468938724,115.0500,115.0500,114.9800,114.9800,6900
1468938786,115.0500,115.0500,115.0100,115.0300,9300
1468938888,115.0700,115.1050,115.0700,115.1050,1600
1468938959,115.0800,115.0900,115.0400,115.0800,7400
1468938962,115.0800,115.1100,115.0700,115.0700,3800
1468939078,115.1400,115.1700,115.0400,115.0800,8300
1468939081,115.0800,115.1450,115.0700,115.1100,1400
1468939199,115.1100,115.1600,115.0200,115.0600,4800
1468939226,115.2300,115.2300,115.1200,115.1200,1100
1468939277,115.1000,115.2000,115.1000,115.2000,3200
1468939364,115.1200,115.1200,115.0800,115.0825,400
1468939445,115.0600,115.1090,115.0400,115.1090,700
1468939558,115.0600,115.0800,115.0600,115.0600,1100
1468939619,114.9300,115.0600,114.9300,115.0600,8000
1468939620,114.8800,114.9700,114.8800,114.9428,4100
1468939695,114.9000,114.9000,114.8700,114.8700,400
1468939764,114.8600,114.9000,114.8600,114.9000,200
1468939858,114.9500,115.0000,114.8601,114.8650,8800
1468939870,114.9400,114.9650,114.9400,114.9650,300
1468939923,114.8801,114.9400,114.8700,114.9400,800
1468940019,114.9100,114.9100,114.9100,114.9100,100
1468940094,114.8850,114.9400,114.8800,114.8850,2000
1468940109,114.9282,114.9800,114.8850,114.8850,1700
1468940211,114.9500,114.9500,114.9500,114.9500,100
