uri:/instrument/1.0/FDX/chartdata;type=quote;range=1d/csv
ticker:fdx
Company-Name:FedEx Corporation Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:157.8900
Timestamp:1466775000,1466798400
labels:1466776800,1466780400,1466784000,1466787600,1466791200,1466794800,1466798400
values:Timestamp,close,high,low,open,volume
close:149.6300,153.9500
high:149.6700,154.0650
low:149.5000,153.8500
open:149.6300,153.9600
volume:100,74200
1466775048,151.7350,152.0000,151.2300,151.9500,74200
1466775079,151.8800,152.0000,151.8290,152.0000,20200
1466775179,152.1200,152.3999,151.9200,152.0000,9900
1466775239,152.9900,153.0000,152.1520,152.1751,8700
1466775240,152.9250,153.0000,152.7500,152.9064,8900
1466775352,152.9350,153.0160,152.8900,153.0160,7500
1466775361,152.8600,153.0700,152.7700,153.0100,25100
1466775479,152.6900,152.9000,152.6700,152.8600,9300
1466775486,152.7800,152.8400,152.6800,152.6800,11400
1466775564,152.9399,153.0400,152.6200,152.6798,14400
1466775627,152.9400,152.9400,152.7500,152.7600,12400
1466775719,153.4700,153.4700,152.8745,152.9300,9800
1466775722,153.3420,153.4599,153.3100,153.3800,7700
1466775787,153.3350,153.4800,153.3350,153.4300,6000
1466775845,153.2300,153.4028,153.1900,153.4028,14600
1466775925,152.9800,153.0699,152.9000,153.0200,15800
1466776004,152.9613,153.2000,152.9613,153.0800,3600
1466776022,152.7880,153.0000,152.7500,152.9600,20800
1466776081,153.2133,153.2133,152.7800,152.8200,10900
1466776196,153.2500,153.2800,153.2500,153.2600,8100
1466776254,153.2500,153.2500,153.2500,153.2500,11200
1466776276,153.4500,153.4500,153.2800,153.4100,3500
1466776379,153.2500,153.4500,153.2500,153.4500,7900
1466776384,153.4300,153.4500,153.2500,153.2500,24200
1466776491,153.6000,153.6000,153.4800,153.5000,6600
1466776504,153.9500,153.9500,153.6000,153.7598,5200
1466776563,153.9000,153.9799,153.8000,153.9100,10700
1466776620,153.7500,153.8850,153.7500,153.8850,10000
1466776683,153.9100,153.9100,153.6300,153.6300,8300
1466776743,153.8800,154.0650,153.8000,153.8550,22100
1466776802,153.7400,153.8413,153.5600,153.8150,33800
1466776864,153.8100,153.8200,153.7198,153.7390,14700
1466776958,153.8200,153.9600,153.8200,153.9600,11600
1466776982,153.8700,153.8700,153.8300,153.8301,12700
1466777081,153.6000,153.7500,153.6000,153.7500,18100
1466777137,153.6300,153.6300,153.5300,153.5800,15200
1466777177,153.5400,153.5600,153.5400,153.5600,1800
1466777228,153.5900,153.7099,153.5800,153.7099,7800
1466777328,153.6900,153.7910,153.6900,153.7600,7900
1466777390,153.8100,153.8100,153.7600,153.8000,8000
1466777457,153.8500,153.9400,153.8000,153.8400,28000
1466777461,153.8000,153.8900,153.7500,153.8400,24100
1466777520,153.7700,153.8599,153.7500,153.8200,16300
1466777604,153.9400,153.9500,153.8400,153.9500,1600
1466777656,153.8500,153.9600,153.8500,153.9100,7400
1466777702,153.6600,153.8547,153.6100,153.8500,6200
1466777761,153.7300,153.7800,153.6600,153.6800,4400
1466777823,153.9400,153.9600,153.7500,153.7500,9900
1466777881,153.9500,154.0000,153.8000,153.9500,7900
1466777947,153.8000,153.8972,153.8000,153.8500,18600
1466778000,153.7500,153.8300,153.7500,153.8000,15000
1466778067,153.5700,153.7900,153.4700,153.7500,26700
1466778175,153.5100,153.5700,153.4800,153.5700,3300
1466778238,153.4900,153.5671,153.4200,153.5000,3700
1466778240,153.7200,153.7400,153.5400,153.5400,6200
1466778322,153.5000,153.6900,153.4100,153.6900,6000
1466778374,153.4200,153.5100,153.4100,153.5000,3600
1466778424,153.6100,153.6100,153.4900,153.5500,2400
1466778486,153.7500,153.7800,153.7050,153.7050,2400
1466778548,153.7725,153.9000,153.6400,153.7800,3700
1466778606,153.7570,153.8800,153.7500,153.7899,9400
1466778664,153.7650,153.8200,153.7600,153.7700,2600
1466778730,153.8512,153.8512,153.7530,153.7700,2400
1466778782,153.6800,153.9000,153.6500,153.8200,6300
1466778873,153.7500,153.8400,153.6400,153.7400,8800
1466778957,153.7500,153.8900,153.7000,153.7300,44600
1466778963,153.7000,153.8100,153.7000,153.8100,2000
1466779024,153.5400,153.7500,153.4900,153.7400,7500
1466779085,153.3500,153.6000,153.2600,153.5700,10200
1466779141,153.6750,153.7300,153.3600,153.3600,8900
1466779207,153.6200,153.9200,153.4850,153.9100,13500
1466779319,153.4000,153.7100,153.3900,153.6800,2800
1466779320,153.5000,153.5900,153.3500,153.4600,4000
1466779380,153.7700,153.7700,153.5000,153.5500,18300
1466779460,153.6900,153.7654,153.6900,153.7400,6400
1466779500,153.5696,153.7500,153.5000,153.7500,14500
1466779567,153.5700,153.5900,153.4600,153.4800,4000
1466779629,153.4200,153.6200,153.4200,153.5600,6800
1466779734,153.3100,153.3100,153.2600,153.2700,1400
1466779741,153.1500,153.2300,153.1100,153.2300,20700
1466779857,153.2525,153.3000,153.2000,153.2001,11600
1466779861,153.0900,153.2700,153.0900,153.2500,29400
1466779969,153.0100,153.0950,152.9850,153.0900,25100
1466779980,153.0300,153.1550,153.0200,153.0901,4000
1466780044,153.2500,153.2900,153.0000,153.0500,7500
1466780106,153.2400,153.3600,153.2400,153.2600,4900
1466780161,153.0300,153.2300,153.0300,153.2300,3300
1466780226,153.0000,153.0800,152.9900,153.0200,17400
1466780289,153.0200,153.1199,153.0000,153.0700,4000
1466780343,152.8200,153.0750,152.8200,152.9850,7200
1466780402,152.6900,152.8600,152.6900,152.8400,6300
1466780518,152.7400,152.7600,152.6400,152.6400,14800
1466780577,152.7436,152.7868,152.6600,152.7200,16400
1466780628,152.7400,152.7900,152.6700,152.7700,9400
1466780699,152.6900,152.7800,152.6500,152.7100,5500
1466780714,152.7100,152.8200,152.7000,152.7400,8600
1466780764,152.8300,152.8300,152.7100,152.7899,3100
1466780820,152.6600,152.8000,152.6600,152.7800,9100
1466780898,152.8600,152.9000,152.7745,152.7800,3400
1466780995,153.0099,153.0099,152.9300,152.9400,5800
1466781002,152.9400,153.0300,152.9200,153.0300,3600
1466781060,153.0500,153.1000,152.8800,152.9799,2500
1466781120,153.0699,153.0700,152.9700,153.0300,5600
1466781189,153.1000,153.1499,152.9900,153.1499,3000
1466781299,153.0900,153.1700,153.0600,153.0900,6000
1466781302,153.0200,153.0900,153.0200,153.0900,2200
1466781366,152.8400,153.0199,152.8400,152.9900,5300
1466781426,152.7200,152.8200,152.7200,152.8200,2700
1466781539,152.7300,152.7800,152.6100,152.7200,7000
1466781541,152.7300,152.7600,152.6900,152.7200,3400
1466781605,152.7000,152.7700,152.7000,152.7200,6600
1466781664,152.7100,152.7100,152.6200,152.6600,3200
1466781778,152.6100,152.7100,152.5300,152.6200,6600
1466781839,152.6800,152.6800,152.5700,152.5700,4000
1466781841,152.6200,152.6500,152.5300,152.6500,6100
1466781911,152.5700,152.6200,152.5500,152.6200,5300
1466781966,152.8000,152.8000,152.5800,152.5900,7500
1466782020,152.8300,152.8900,152.8000,152.8000,4400
1466782090,153.0399,153.0399,152.8100,152.8100,3800
1466782158,153.1300,153.1300,153.0300,153.0399,5600
1466782254,153.1000,153.2100,153.1000,153.1400,7300
1466782263,153.1100,153.1200,153.1000,153.1150,1600
1466782377,153.3301,153.3500,153.1100,153.1100,3700
1466782385,153.2350,153.3625,153.2100,153.3300,5200
1466782446,153.2190,153.2700,153.1700,153.2000,3300
1466782553,153.2600,153.2995,153.2400,153.2400,3000
1466782568,153.3480,153.4000,153.2900,153.3200,4100
1466782626,153.2900,153.3600,153.2700,153.3600,2900
1466782738,153.2900,153.3500,153.2900,153.3400,3100
1466782795,153.3199,153.3500,153.2800,153.3000,7300
1466782859,153.2500,153.3200,153.2175,153.2500,6300
1466782917,153.1600,153.2200,153.1600,153.2200,4200
1466782920,153.1575,153.2000,153.1575,153.2000,2100
1466782981,153.0800,153.2000,153.0400,153.2000,4100
1466783049,153.2800,153.2800,153.1000,153.1100,2500
1466783159,153.5400,153.5400,153.2800,153.2800,2900
1466783166,153.4500,153.5000,153.4000,153.5000,2000
1466783229,153.3300,153.4440,153.2900,153.4440,6700
1466783280,153.1400,153.4000,153.1400,153.3100,2100
1466783344,153.1300,153.1400,153.0800,153.1100,2700
1466783401,153.1036,153.1700,153.1036,153.1700,2900
1466783502,153.1761,153.1900,153.1200,153.1200,1400
1466783523,153.0000,153.1650,153.0000,153.1500,5000
1466783599,153.1100,153.1100,152.9600,152.9700,1700
1466783648,152.9300,153.0600,152.9300,153.0600,2000
1466783704,152.9600,153.0200,152.9500,152.9700,3700
1466783819,153.0150,153.0500,152.9400,152.9500,5700
1466783875,152.9200,152.9800,152.9200,152.9700,3900
1466783936,152.9000,152.9500,152.9000,152.9300,2700
1466783948,152.9500,153.0200,152.8900,152.8901,2800
1466784057,152.9501,152.9927,152.9400,152.9500,4700
1466784060,152.9600,153.0100,152.9200,152.9600,5200
1466784123,153.0050,153.0200,152.9300,152.9700,9100
1466784238,152.8400,152.9300,152.8400,152.9000,2500
1466784243,152.8100,152.8400,152.7200,152.8400,4100
1466784300,152.7800,152.8200,152.7800,152.8200,3000
1466784362,152.7500,152.8000,152.7300,152.7900,5100
1466784421,152.7300,152.7800,152.7288,152.7500,3600
1466784488,152.8100,152.8200,152.7500,152.7500,1200
1466784543,152.6800,152.8200,152.6800,152.8100,7500
1466784606,152.6900,152.7300,152.6700,152.6800,8700
1466784669,152.7150,152.7600,152.6600,152.6950,14000
1466784723,152.5890,152.7200,152.5800,152.7200,10700
1466784835,152.4740,152.6100,152.4500,152.6100,7500
1466784899,152.5000,152.5100,152.4300,152.4400,7900
1466784907,152.4600,152.5099,152.4500,152.4925,3000
1466784960,152.4900,152.5100,152.4500,152.4500,5000
1466785076,152.3400,152.4800,152.3200,152.4500,14900
1466785081,152.3000,152.3500,152.3000,152.3000,2600
1466785199,152.2800,152.3080,152.2100,152.3080,8200
1466785201,152.2500,152.2700,152.2400,152.2600,5300
1466785268,152.2200,152.2500,152.2200,152.2350,2300
1466785320,152.3100,152.3100,152.1800,152.2326,6100
1466785383,152.1730,152.3100,152.1730,152.3100,3000
1466785449,152.2400,152.2600,152.1900,152.1900,900
1466785502,152.2699,152.2700,152.2137,152.2400,1800
1466785564,152.2100,152.2400,152.2100,152.2400,2900
