uri:/instrument/1.0/GD/chartdata;type=quote;range=1d/csv
ticker:gd
Company-Name:General Dynamics Corporation Co
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:144.5400
Timestamp:1469107800,1469131200
labels:1469109600,1469113200,1469116800,1469120400,1469124000,1469127600,1469131200
values:Timestamp,close,high,low,open,volume
close:142.2143,144.6100
high:142.2300,144.6100
low:142.1800,144.6100
open:142.2200,144.6100
volume:100,18700
1469107831,144.6100,144.6100,144.6100,144.6100,18700
1469107968,144.4178,144.4178,144.3900,144.3900,300
1469108039,144.1100,144.3600,143.9800,144.3600,2400
1469108041,144.2800,144.2800,144.0110,144.1200,2000
1469108110,144.0400,144.2800,144.0400,144.1000,11500
1469108189,143.9200,144.2000,143.9200,144.0200,3300
1469108274,144.0300,144.0300,143.9100,143.9900,1700
1469108293,144.0900,144.0900,144.0500,144.0599,1000
1469108353,144.0500,144.1200,143.9940,144.1100,800
1469108434,144.1300,144.1300,144.0650,144.0700,1400
1469108490,143.9900,144.1100,143.9900,144.1100,1000
1469108577,144.0050,144.1400,143.9500,144.1400,5100
1469108623,143.9600,144.0400,143.9600,144.0400,400
1469108650,143.8500,143.8600,143.7600,143.8600,3300
1469108705,143.7250,143.9300,143.7250,143.8600,3300
1469108777,143.8600,143.8600,143.7700,143.7700,2000
1469108878,143.8101,143.8800,143.7600,143.8800,1900
1469108935,143.7300,143.8100,143.7300,143.8000,5200
1469108991,143.6800,143.8100,143.6800,143.7300,4000
1469109058,143.6325,143.7000,143.5700,143.6850,2100
1469109060,143.6700,143.7300,143.5400,143.5750,5000
1469109173,143.6600,143.6600,143.5500,143.6300,2600
1469109190,143.6900,143.6900,143.6900,143.6900,100
1469109294,143.6700,143.6800,143.5500,143.6800,2800
1469109358,143.5300,143.6900,143.5300,143.6600,6100
1469109415,143.6000,143.6000,143.5500,143.5500,1700
1469109473,143.6900,143.6900,143.5700,143.5800,2200
1469109490,143.6550,143.6900,143.6550,143.6900,1100
1469109571,143.6800,143.6900,143.6400,143.6400,1400
1469109653,143.7490,143.7490,143.6799,143.6799,2400
1469109713,143.7550,143.7900,143.6701,143.7500,2800
1469109776,143.6900,143.7899,143.6900,143.7899,1600
1469109823,143.7127,143.7127,143.7100,143.7100,200
1469109841,143.6400,143.7400,143.5600,143.7400,2400
1469109911,143.6499,143.6500,143.5800,143.6400,1800
1469110019,143.5000,143.5910,143.4700,143.5910,3100
1469110069,143.4790,143.5100,143.4300,143.4900,2800
1469110087,143.4300,143.5100,143.4300,143.4800,2800
1469110143,143.4200,143.4700,143.3700,143.4700,3400
1469110201,143.4800,143.4900,143.4500,143.4600,3600
1469110314,143.4300,143.4800,143.3900,143.4800,1100
1469110366,143.4000,143.4270,143.3400,143.3900,1700
1469110436,143.4050,143.4800,143.3600,143.4200,5700
1469110440,143.4600,143.4600,143.3600,143.3600,6400
1469110530,143.4200,143.4200,143.4200,143.4200,100
1469110616,143.3900,143.4400,143.3900,143.4100,900
1469110677,143.2600,143.4300,143.2600,143.4300,3500
1469110717,143.3700,143.3700,143.2600,143.2600,1900
1469110742,143.2800,143.3800,143.2800,143.3800,3300
1469110852,143.3125,143.3125,143.2800,143.2800,400
1469110911,143.2500,143.3199,143.2500,143.3199,1700
1469110921,143.2500,143.2500,143.2500,143.2500,400
1469110990,143.2600,143.2690,143.2600,143.2600,600
1469111055,143.2500,143.3100,143.2500,143.3000,2300
1469111158,143.3300,143.3600,143.2600,143.2800,6200
1469111166,143.2700,143.3300,143.2700,143.2800,2600
1469111227,143.3100,143.3400,143.2700,143.2775,3100
1469111314,143.2900,143.3600,143.2900,143.3600,1500
1469111347,143.3200,143.3400,143.2800,143.3200,2600
1469111454,143.2950,143.3100,143.2700,143.2700,800
1469111519,143.1600,143.3100,143.1600,143.3100,4700
1469111521,143.1200,143.2100,143.1100,143.2100,2700
1469111582,143.1900,143.2100,143.1000,143.1000,3000
1469111641,143.1550,143.2100,143.1400,143.1900,2400
1469111707,143.1700,143.1700,143.0900,143.1200,5000
1469111760,143.1700,143.2100,143.1700,143.1800,1700
