uri:/instrument/1.0/GOOG/chartdata;type=quote;range=1d/csv
ticker:goog
Company-Name:Alphabet Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:781.7600
Timestamp:1470749400,1470772800
labels:1470751200,1470754800,1470758400,1470762000,1470765600,1470769200,1470772800
values:Timestamp,close,high,low,open,volume
close:780.9900,788.8200
high:781.0650,788.9400
low:780.5700,788.7200
open:780.6600,788.8200
volume:0,203100
1470749420,781.1000,781.1000,780.5700,780.6600,17400
1470749498,781.0650,781.0650,780.7500,780.9000,3100
1470749520,780.9900,781.6000,780.9900,781.0650,5100
1470749636,781.7000,781.7000,781.7000,781.7000,100
1470749645,782.1000,782.3750,781.7300,781.9100,6300
1470749710,782.8800,782.9440,782.1800,782.1800,4000
1470749766,782.0650,782.7000,782.0300,782.7000,3200
1470749839,782.0000,782.3300,782.0000,782.2148,1200
1470749881,781.9000,782.3400,781.7700,782.0000,2600
1470749945,782.1860,782.2000,781.7800,781.9900,2100
1470750001,782.4496,782.8100,781.9501,781.9501,2300
1470750060,782.9800,782.9800,782.6600,782.8700,3100
1470750125,783.3800,783.3800,782.8700,783.0000,5600
1470750183,783.6000,783.6000,783.0000,783.3600,5100
1470750255,783.5500,783.5500,783.2800,783.4300,3100
1470750328,784.0000,784.0600,783.8000,783.8300,3800
1470750360,784.2290,784.4800,784.0000,784.0000,2800
1470750470,784.7686,784.9200,784.1100,784.4200,10500
1470750480,784.5700,784.9700,784.3100,784.7950,5400
1470750553,784.7350,784.7600,784.4301,784.7100,2400
1470750602,784.7800,785.0000,784.6700,784.8900,10200
1470750660,784.9350,785.2000,784.7800,785.0000,16500
1470750723,785.0792,785.3900,784.9500,785.1800,5900
1470750780,785.3500,785.3500,785.2450,785.3172,2400
1470750840,785.3300,785.3500,785.2000,785.3400,2300
1470750900,785.4056,785.6000,785.3100,785.5000,7000
1470750980,785.3900,785.4200,785.2400,785.3700,3100
1470751030,785.4700,785.4750,785.2400,785.3600,6500
1470751138,785.6092,785.6092,785.4300,785.5900,4400
1470751143,785.4200,785.6600,785.3000,785.6100,3700
1470751218,784.9000,785.3100,784.8990,785.3100,3800
1470751261,784.3400,785.0100,784.3400,785.0100,1600
1470751323,784.4950,784.7000,784.4584,784.6010,1300
1470751382,784.4900,784.7500,784.4900,784.5090,1100
1470751440,785.2400,785.2400,784.5900,784.7553,4500
1470751516,785.2300,785.3099,784.9800,785.1000,2800
1470751560,785.3150,785.4800,785.2550,785.3100,2900
1470751626,785.3300,785.3900,785.1810,785.1810,3600
1470751738,784.8250,785.5700,784.3500,785.5550,16100
1470751742,785.2900,785.2900,784.9600,785.0800,5600
1470751802,785.9800,786.0000,785.2300,785.2300,9800
1470751861,785.9900,786.0300,785.8600,785.9011,9000
1470751936,786.3800,786.4700,786.0912,786.0912,4300
1470751981,786.0800,786.3300,786.0600,786.3300,2300
1470752067,786.0400,786.2800,785.9700,786.2800,2000
1470752124,786.2600,786.3500,786.0000,786.1375,3400
1470752178,786.4900,786.5000,786.2600,786.3100,4100
1470752231,786.7100,786.7500,786.4500,786.4746,6800
