uri:/instrument/1.0/HD/chartdata;type=quote;range=1d/csv
ticker:hd
Company-Name:Home Depot, Inc. (The) Common S
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:127.5300
Timestamp:1467207000,1467230400
labels:1467208800,1467212400,1467216000,1467219600,1467223200,1467226800,1467230400
values:Timestamp,close,high,low,open,volume
close:127.0000,128.3000
high:127.0800,128.4700
low:126.9301,128.2000
open:127.0550,128.4500
volume:1100,404900
1467207049,128.1900,128.1900,128.1000,128.1000,130800
1467207119,128.2549,128.4700,128.2000,128.4500,18800
1467207128,127.7900,128.1640,127.7430,128.1640,28800
1467207182,127.8300,127.8300,127.5000,127.7700,59100
1467207297,127.7000,128.0600,127.6800,127.8150,38400
1467207303,127.4400,127.8200,127.2900,127.7600,55200
1467207375,127.0900,127.4300,127.0200,127.4300,53000
1467207479,127.1550,127.1700,126.9301,127.0800,35100
1467207482,127.2500,127.3800,127.1000,127.1500,15100
1467207542,127.5100,127.5100,127.1900,127.2200,14000
1467207659,127.3300,127.5800,127.2900,127.5000,18400
1467207719,127.1500,127.3800,127.1000,127.3300,30000
1467207720,127.0000,127.1300,126.9900,127.1200,26600
1467207839,127.1000,127.1300,127.0200,127.0600,18800
1467207841,127.3350,127.4400,127.1600,127.1600,30500
1467207906,127.6150,127.6700,127.3900,127.6100,48100
1467208012,127.7900,127.7900,127.5720,127.6150,21800
1467208021,127.7800,127.9500,127.7616,127.7616,15300
1467208137,127.9250,127.9250,127.7800,127.7900,11100
1467208140,127.9500,128.0700,127.9300,127.9700,15200
1467208259,128.0200,128.0800,127.9500,127.9750,15400
1467208267,128.2800,128.2800,127.9900,127.9900,39400
1467208378,128.3000,128.3500,128.1346,128.2500,15700
1467208434,128.2000,128.3500,128.0800,128.3200,22400
1467208499,128.0700,128.1900,128.0500,128.1900,18800
1467208555,128.1800,128.1800,128.0700,128.0700,8400
1467208619,128.0900,128.1700,128.0900,128.1500,9000
1467208621,128.0400,128.1499,128.0300,128.1100,12500
1467208739,127.8700,128.0900,127.8500,128.0400,16200
1467208741,127.8200,127.8700,127.7200,127.8100,16200
1467208859,127.7500,127.8100,127.5900,127.7600,37700
1467208919,127.6000,127.8100,127.5600,127.7650,40300
1467208920,127.6350,127.7400,127.5700,127.6600,51100
1467209033,127.6000,127.6710,127.6000,127.6000,9100
1467209099,127.3200,127.6700,127.3000,127.6400,43200
1467209103,127.2720,127.4600,127.2500,127.4200,22400
1467209218,127.2400,127.3000,127.1800,127.3000,60600
1467209276,127.1300,127.3000,127.1200,127.2100,21800
1467209283,127.0520,127.2700,127.0000,127.1400,60100
1467209340,127.1000,127.1200,127.0300,127.0550,43300
1467209409,127.0630,127.1300,127.0600,127.1100,13900
1467209518,127.3200,127.3200,127.1500,127.1700,17800
1467209520,127.3500,127.3600,127.2700,127.2850,22700
1467209584,127.4400,127.4900,127.3500,127.3500,19800
1467209697,127.4193,127.4600,127.4096,127.4500,11100
1467209700,127.4300,127.4500,127.4000,127.4300,5600
