uri:/instrument/1.0/HSIC/chartdata;type=quote;range=1d/csv
ticker:hsic
Company-Name:Henry Schein, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:179.0100
Timestamp:1469712600,1469736000
labels:1469714400,1469718000,1469721600,1469725200,1469728800,1469732400,1469736000
values:Timestamp,close,high,low,open,volume
close:178.3150,180.2100
high:178.3750,180.2200
low:178.3150,180.2100
open:178.3700,180.2100
volume:0,67600
1469712664,179.2300,179.5050,178.8100,179.5050,5600
1469712732,179.3400,179.3400,179.3400,179.3400,500
1469712960,179.0801,179.4700,179.0500,179.4650,900
1469713129,179.2900,179.2900,179.2100,179.2200,500
1469713175,178.9260,178.9260,178.9260,178.9260,200
1469713263,178.6601,178.9850,178.6601,178.9850,600
1469713511,179.1600,179.1600,179.1600,179.1600,200
1469713561,178.8250,178.8250,178.8250,178.8250,200
1469713631,178.8100,178.8200,178.8100,178.8101,600
1469713753,178.7700,179.0400,178.7700,179.0400,400
1469713936,179.0200,179.0900,178.9000,179.0100,1300
1469714039,178.9400,178.9500,178.9400,178.9500,300
1469714093,178.9601,179.3590,178.9601,179.3590,1900
1469714337,179.1500,179.1500,179.0600,179.0800,1000
1469714347,178.9700,179.0500,178.9700,179.0500,800
1469714443,179.0500,179.1600,179.0500,179.0900,400
1469714503,179.0600,179.0900,179.0600,179.0900,300
1469714538,179.1600,179.1900,179.1300,179.1800,800
1469714621,179.2200,179.2200,179.2200,179.2200,100
1469714673,179.1000,179.1000,179.1000,179.1000,100
1469714788,179.3900,179.3900,179.1500,179.2600,900
1469714834,179.3000,179.3000,179.3000,179.3000,200
1469714954,179.4400,179.4400,179.4400,179.4400,100
1469715059,179.2100,179.3950,179.2100,179.3600,1200
1469715118,178.9300,179.4300,178.9300,179.2000,1500
1469715129,178.8500,178.8500,178.8500,178.8500,200
1469715190,178.8220,178.8220,178.8220,178.8220,200
1469715269,178.6700,178.8300,178.5200,178.8161,1800
1469715305,178.6200,178.7400,178.6200,178.7400,400
1469715418,178.6000,178.6100,178.5400,178.6100,700
1469715478,178.5101,178.5101,178.5101,178.5101,100
1469715572,178.7200,178.7200,178.5900,178.6100,900
1469715623,178.7500,178.8200,178.7300,178.7300,200
1469715735,178.8800,179.0700,178.8800,179.0700,900
1469715862,178.6400,178.8300,178.6300,178.8300,500
1469716182,178.5201,178.7250,178.5201,178.7250,200
1469716266,178.5700,178.8400,178.5700,178.8000,500
1469716405,178.7600,178.7600,178.7600,178.7600,200
1469716544,178.5501,178.5501,178.5501,178.5501,100
1469716669,178.6800,178.6800,178.5800,178.5800,500
1469716706,178.5100,178.5400,178.5100,178.5400,500
1469716769,178.5000,178.5000,178.5000,178.5000,400
1469716806,178.4600,178.5300,178.3500,178.5276,1400
1469716971,178.5900,178.6100,178.5900,178.6100,500
1469717076,178.6600,178.6600,178.6600,178.6600,100
1469717134,178.6500,178.6500,178.6500,178.6500,100
1469717191,178.7000,178.7000,178.7000,178.7000,100
1469717246,178.7950,178.8000,178.6500,178.6600,400
1469717293,178.8400,178.8800,178.7900,178.8000,900
1469717447,178.7500,178.8100,178.7500,178.8100,700
1469717520,178.5700,178.5700,178.5700,178.5700,100
1469717622,178.6600,178.7269,178.6600,178.7269,300
1469717652,178.6400,178.6400,178.6400,178.6400,900
1469717715,178.6850,178.6900,178.6100,178.6400,1000
1469717840,178.6200,178.6200,178.6200,178.6200,200
1469717939,178.5400,178.5400,178.5200,178.5200,400
1469717945,178.5500,178.5500,178.5500,178.5500,300
1469718006,178.4000,178.4600,178.4000,178.4600,800
1469718082,178.3300,178.3750,178.3300,178.3750,1100
1469718128,178.3150,178.3800,178.3150,178.3800,500
1469718275,178.3900,178.3900,178.3700,178.3700,200
1469718340,178.4200,178.4200,178.3400,178.3900,400
1469718368,178.4600,178.4600,178.4600,178.4600,100
1469718445,178.5400,178.5400,178.4000,178.4044,1000
1469718558,178.6500,178.7100,178.5900,178.7100,300
1469718634,178.5400,178.5800,178.5400,178.5700,500
1469718704,178.5550,178.5550,178.5550,178.5550,300
1469718767,178.5600,178.6300,178.5600,178.6300,400
1469718948,178.5101,178.5101,178.5101,178.5101,100
1469719141,178.6300,178.7200,178.6300,178.7200,700
1469719262,178.7600,178.7600,178.7000,178.7000,200
1469719363,178.9900,178.9900,178.9900,178.9900,100
1469719385,179.0100,179.0100,178.9200,178.9200,500
1469719505,179.1225,179.1225,179.1225,179.1225,200
1469719650,179.1100,179.1750,179.1100,179.1750,200
1469719694,179.0500,179.1000,179.0500,179.1000,1000
1469719900,178.9201,178.9201,178.9201,178.9201,100
1469719943,179.0600,179.0600,179.0600,179.0600,400
1469719997,178.9300,178.9400,178.9300,178.9400,400
1469720080,178.9100,179.0000,178.9100,179.0000,400
1469720115,178.9100,178.9300,178.9100,178.9300,500
1469720207,179.0100,179.0100,178.9900,178.9900,200
1469720223,178.9800,178.9800,178.9800,178.9800,100
1469720334,178.9400,179.0250,178.9400,179.0250,200
1469720383,178.9700,178.9900,178.9500,178.9900,1500
1469720557,179.0400,179.0400,179.0400,179.0400,100
1469720668,178.9400,178.9800,178.9400,178.9800,400
1469720711,179.1700,179.1700,179.0200,179.0700,500
1469720787,179.1495,179.1495,179.1000,179.1000,1600
1469720849,179.1900,179.1900,179.1300,179.1900,500
1469721000,179.2400,179.2400,179.2400,179.2400,100
1469721083,179.2500,179.2650,179.2500,179.2650,400
1469721126,179.2000,179.2000,179.2000,179.2000,300
1469721277,179.2800,179.2800,179.1800,179.2400,600
1469721342,179.3590,179.3590,179.3590,179.3590,100
1469721360,179.4600,179.4700,179.2300,179.2300,900
1469721434,179.4100,179.4100,179.4100,179.4100,100
1469721502,179.5500,179.5500,179.5500,179.5500,100
1469721597,179.3700,179.4750,179.3500,179.3801,1500
1469721601,179.3300,179.3300,179.3300,179.3300,0
1469722498,179.4800,179.4800,179.4800,179.4800,100
1469722503,179.5000,179.5000,179.4900,179.5000,300
