uri:/instrument/1.0/ITW/chartdata;type=quote;range=1d/csv
ticker:itw
Company-Name:Illinois Tool Works Inc. Common
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:115.7500
Timestamp:1469712600,1469736000
labels:1469714400,1469718000,1469721600,1469725200,1469728800,1469732400,1469736000
values:Timestamp,close,high,low,open,volume
close:114.2700,115.7300
high:114.3500,115.7300
low:114.2700,115.6515
open:114.3200,115.6800
volume:0,425800
1469712725,115.5150,115.5150,115.5150,115.5150,14900
1469712786,115.5900,115.5900,115.5900,115.5900,400
1469712894,115.7300,115.7300,115.6515,115.6800,600
1469712904,115.5000,115.6300,115.5000,115.5910,2100
1469713014,115.3450,115.3450,115.2900,115.3200,2000
1469713063,115.3500,115.3500,115.2300,115.2300,4200
1469713119,115.4000,115.4000,115.3100,115.3200,500
1469713143,115.3300,115.4000,115.2300,115.3410,2700
1469713259,115.1950,115.2500,115.1700,115.2300,7400
1469713274,115.2100,115.2100,115.2100,115.2100,900
1469713372,115.1560,115.2200,115.1400,115.2100,8700
1469713417,115.1320,115.1320,115.1320,115.1320,100
1469713474,115.1450,115.1450,115.1450,115.1450,500
1469713536,115.2500,115.2500,115.1450,115.1450,4000
1469713637,115.2740,115.3200,115.2600,115.3200,3900
1469713737,115.3200,115.3200,115.2500,115.2500,1700
1469713752,115.3900,115.5100,115.3700,115.3700,3400
1469713833,115.3900,115.3900,115.3900,115.3900,100
1469713903,115.4000,115.4300,115.4000,115.4300,2200
1469713944,115.4400,115.4400,115.4350,115.4400,800
1469714030,115.4100,115.4100,115.4100,115.4100,300
1469714047,115.4600,115.4600,115.4600,115.4600,3300
1469714112,115.4100,115.4700,115.4100,115.4700,1400
1469714193,115.3800,115.4000,115.3600,115.3600,2300
1469714246,115.3700,115.4190,115.3700,115.4000,1800
1469714305,115.3624,115.3700,115.3400,115.3700,1400
1469714346,115.4200,115.4200,115.3200,115.3300,2900
1469714439,115.5300,115.5300,115.4839,115.5000,700
1469714516,115.4650,115.5300,115.4600,115.5200,2600
1469714578,115.4056,115.4700,115.4056,115.4700,2300
1469714602,115.4300,115.4600,115.4300,115.4400,800
1469714651,115.4090,115.4200,115.3800,115.4000,2400
1469714724,115.3600,115.4000,115.3400,115.3950,2900
1469714816,115.3700,115.3900,115.3600,115.3600,3500
1469714821,115.2000,115.3700,115.2000,115.3700,5400
1469714913,115.2900,115.3141,115.2600,115.2600,500
1469714940,115.2300,115.3100,115.2300,115.2900,1500
1469715054,115.3000,115.3000,115.2500,115.2500,1400
1469715066,115.1600,115.2740,115.1600,115.2700,2300
1469715168,115.1700,115.1700,115.1200,115.1600,3400
1469715186,115.1700,115.2100,115.1700,115.1900,900
1469715257,114.9500,115.0900,114.9500,115.0900,2400
1469715309,115.0600,115.0600,114.9400,115.0090,2100
1469715363,114.9700,114.9900,114.9400,114.9800,2600
1469715477,114.9900,114.9900,114.9400,114.9700,1400
1469715533,114.8300,114.9400,114.8300,114.9400,7000
1469715596,114.8500,114.8700,114.8300,114.8300,6900
1469715600,114.7900,114.8500,114.7500,114.8500,7300
1469715717,114.7600,114.7800,114.7500,114.7700,4600
1469715721,114.8300,114.8300,114.7950,114.8000,1500
1469715836,114.8850,114.9200,114.8350,114.8400,6300
1469715862,114.8400,114.9200,114.8400,114.8900,3200
1469715900,114.8500,114.8700,114.8200,114.8200,1400
1469716019,114.7800,114.8500,114.7800,114.8500,4600
1469716033,114.7300,114.8100,114.7300,114.8100,3800
1469716092,114.7400,114.7600,114.7100,114.7300,3400
1469716191,114.7700,114.7700,114.7300,114.7500,1600
1469716205,114.7200,114.8100,114.7200,114.8000,5500
1469716266,114.7500,114.8000,114.7400,114.7400,6700
1469716329,114.7700,114.7700,114.7500,114.7700,1300
1469716382,114.7300,114.7800,114.7300,114.7800,3800
1469716444,114.7500,114.7800,114.7200,114.7700,7500
1469716518,114.7600,114.7600,114.7400,114.7500,2300
1469716563,114.7100,114.7400,114.6800,114.7400,6200
1469716679,114.6400,114.7100,114.6400,114.7050,3600
1469716688,114.6200,114.6400,114.6200,114.6300,2200
1469716750,114.6050,114.6550,114.5500,114.6375,5600
1469716846,114.6835,114.7350,114.6700,114.6700,2400
1469716887,114.6650,114.6700,114.6600,114.6600,400
1469716921,114.6300,114.7200,114.6100,114.6650,3300
1469716991,114.6500,114.6600,114.6400,114.6400,2800
1469717043,114.6950,114.7000,114.6500,114.6500,2100
1469717159,114.6400,114.7100,114.6100,114.7100,2900
1469717166,114.6000,114.6500,114.6000,114.6320,2000
1469717224,114.6000,114.6500,114.6000,114.6200,6400
1469717331,114.6090,114.6300,114.5900,114.6200,16300
1469717341,114.5400,114.5700,114.4900,114.5700,6000
1469717451,114.5500,114.5700,114.5400,114.5500,3700
1469717460,114.4880,114.5500,114.4880,114.5400,3500
1469717522,114.4900,114.5100,114.4800,114.5100,7900
1469717591,114.5100,114.5100,114.5000,114.5000,500
1469717678,114.4900,114.5400,114.4900,114.5400,3700
1469717704,114.3800,114.4800,114.3800,114.4800,5700
1469717811,114.2700,114.3500,114.2700,114.3500,2700
1469717825,114.4100,114.4100,114.2900,114.3200,5300
1469717894,114.4000,114.4300,114.4000,114.4300,900
1469717951,114.3700,114.4400,114.3400,114.4200,4300
1469718051,114.3700,114.4300,114.3700,114.4150,3000
1469718112,114.4150,114.4200,114.3700,114.3700,2800
1469718127,114.4350,114.4500,114.4200,114.4200,400
1469718193,114.4500,114.4600,114.4500,114.4500,1400
1469718244,114.4000,114.4600,114.3800,114.4600,8700
1469718358,114.4211,114.4500,114.4211,114.4225,1900
1469718361,114.4100,114.4700,114.4100,114.4300,4800
1469718420,114.4800,114.4800,114.3900,114.4100,1600
1469718492,114.5200,114.5200,114.4750,114.4900,1400
1469718568,114.5200,114.5350,114.5200,114.5350,900
1469718602,114.4900,114.5100,114.4600,114.5100,3900
1469718718,114.4450,114.4800,114.4400,114.4800,1900
1469718721,114.4400,114.4700,114.4100,114.4500,7600
1469718781,114.4300,114.4300,114.4000,114.4300,2500
1469718855,114.4375,114.4375,114.4375,114.4375,200
1469718904,114.4500,114.4700,114.4300,114.4400,7400
1469719017,114.4200,114.4500,114.3800,114.4500,9800
1469719038,114.4300,114.4300,114.4000,114.4000,1000
1469719094,114.5038,114.5038,114.4400,114.4400,5100
1469719198,114.4485,114.5200,114.4300,114.5200,2500
1469719200,114.4200,114.4600,114.4200,114.4600,3800
1469719265,114.4650,114.4650,114.4200,114.4300,1300
1469719323,114.4700,114.4700,114.4400,114.4500,1600
1469719397,114.4900,114.4900,114.4500,114.4500,1600
1469719493,114.5000,114.5395,114.5000,114.5395,200
1469719558,114.5500,114.5500,114.5200,114.5400,1000
1469719569,114.6500,114.6500,114.5400,114.5600,2700
1469719644,114.6600,114.6600,114.6600,114.6600,500
1469719756,114.7100,114.7100,114.6800,114.6800,400
1469719800,114.6800,114.6850,114.6700,114.6700,1800
1469719940,114.7100,114.7200,114.7100,114.7200,1700
1469720038,114.6700,114.6900,114.6700,114.6704,3600
1469720041,114.6600,114.6900,114.6600,114.6900,2400
1469720106,114.5900,114.5900,114.5600,114.5600,900
1469720163,114.6000,114.6000,114.5700,114.5800,1700
1469720233,114.6100,114.6100,114.6100,114.6100,200
1469720320,114.5900,114.6100,114.5900,114.6100,800
1469720397,114.6035,114.6200,114.5950,114.5950,500
1469720441,114.6000,114.6000,114.6000,114.6000,700
