uri:/instrument/1.0/MCHP/chartdata;type=quote;range=1d/csv
ticker:mchp
Company-Name:Microchip Technology Incorporat
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:55.7500
Timestamp:1470403800,1470427200
labels:1470405600,1470409200,1470412800,1470416400,1470420000,1470423600,1470427200
values:Timestamp,close,high,low,open,volume
close:55.8800,56.5600
high:55.8850,56.5700
low:55.8400,56.5600
open:55.8800,56.5600
volume:200,93900
1470403852,56.0100,56.0100,56.0000,56.0100,36500
1470403874,56.0600,56.0700,56.0100,56.0600,4000
1470403986,55.9900,56.0100,55.9600,56.0100,2100
1470404042,55.9800,56.0100,55.9500,55.9500,3400
1470404153,55.9600,55.9600,55.9600,55.9600,800
1470404168,56.0300,56.0300,55.9500,55.9700,5000
1470404236,56.0350,56.0500,56.0350,56.0500,400
1470404293,56.0400,56.0700,56.0300,56.0300,1800
1470404399,55.9200,56.0200,55.8800,56.0200,9800
1470404406,56.0200,56.0200,55.8500,55.9000,3600
1470404460,55.8800,55.9900,55.8800,55.9600,2000
1470404529,55.8800,55.8850,55.8500,55.8800,4000
1470404583,55.9700,55.9800,55.9000,55.9000,6200
1470404698,55.9200,55.9900,55.9200,55.9695,2300
1470404759,55.9300,55.9450,55.8800,55.9300,4200
1470404766,55.9000,55.9450,55.9000,55.9300,2500
1470404876,55.8800,55.8950,55.8400,55.8900,3500
1470404937,56.0300,56.1000,55.8600,55.9100,16200
1470404940,56.0200,56.0500,56.0000,56.0400,4700
1470405002,56.1100,56.1100,56.0300,56.0400,3000
1470405116,56.0800,56.1600,56.0800,56.1140,2300
1470405169,56.0500,56.0900,56.0300,56.0900,2100
1470405230,55.9900,56.0500,55.9900,56.0200,800
1470405294,56.0000,56.0000,55.9750,55.9900,1600
1470405359,56.0600,56.0600,56.0000,56.0200,5500
1470405360,56.0216,56.0600,56.0200,56.0600,3500
1470405475,56.0100,56.0100,55.9600,55.9700,3100
1470405538,55.9800,56.0000,55.9600,56.0000,900
1470405543,55.9600,55.9700,55.9100,55.9600,4300
1470405616,55.9600,56.0000,55.9500,55.9800,2900
1470405669,55.9100,55.9700,55.9000,55.9700,2600
1470405779,55.9600,56.0100,55.9200,55.9200,8000
1470405787,55.9625,55.9700,55.9300,55.9700,9500
1470405897,55.9600,55.9800,55.9500,55.9700,6000
1470405957,56.0200,56.0300,55.9800,55.9800,3700
1470406010,55.9900,56.0200,55.9700,56.0100,2300
1470406030,56.0100,56.0200,56.0000,56.0000,2200
1470406085,56.0000,56.0400,55.9900,56.0100,55100
1470406145,55.9800,55.9900,55.9800,55.9900,3400
1470406202,56.0000,56.0100,55.9600,55.9600,6300
1470406309,55.9700,56.0000,55.9700,55.9900,2700
1470406320,55.9700,55.9700,55.9500,55.9700,4700
1470406381,55.9800,56.0100,55.9650,55.9800,5500
1470406499,56.0000,56.0000,55.9800,55.9800,4400
1470406539,55.9900,56.0000,55.9800,56.0000,3700
1470406619,55.9800,56.0100,55.9650,56.0000,9100
1470406626,55.9800,56.0100,55.9700,55.9700,3800
1470406739,55.9500,55.9800,55.9500,55.9700,5300
1470406792,55.9850,55.9900,55.9400,55.9500,19400
1470406842,55.9900,56.0300,55.9900,55.9900,7300
1470406871,55.9800,55.9900,55.9800,55.9800,1800
1470406924,55.9600,55.9700,55.9550,55.9650,1500
1470407034,55.9700,55.9700,55.9500,55.9600,500
1470407058,55.9600,55.9700,55.9500,55.9500,2600
1470407154,55.9500,56.0000,55.9300,55.9700,20400
1470407208,55.9500,55.9750,55.9500,55.9600,3800
1470407220,55.9600,55.9600,55.9500,55.9600,1100
1470407305,55.9600,55.9600,55.9500,55.9600,1800
1470407353,55.9400,55.9800,55.9300,55.9700,4400
1470407458,55.9900,55.9900,55.9500,55.9500,1200
