uri:/instrument/1.0/MDT/chartdata;type=quote;range=1d/csv
ticker:mdt
Company-Name:Medtronic plc. Ordinary Shares
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:86.7600
Timestamp:1470403800,1470427200
labels:1470405600,1470409200,1470412800,1470416400,1470420000,1470423600,1470427200
values:Timestamp,close,high,low,open,volume
close:86.7400,87.1300
high:86.7950,87.1400
low:86.7400,87.1150
open:86.7500,87.1200
volume:200,105300
1470403857,86.8800,86.9000,86.7800,86.7800,71400
1470403861,86.9250,86.9250,86.9250,86.9250,2900
1470403932,86.9300,86.9400,86.7900,86.8500,8000
1470404039,86.9500,86.9800,86.9100,86.9800,3300
1470404092,86.9450,86.9700,86.8800,86.9500,7100
1470404100,86.9900,87.0000,86.9000,86.9400,8900
1470404213,86.9500,86.9800,86.9200,86.9800,5300
1470404268,87.0400,87.0590,86.9700,86.9700,6300
1470404334,87.0200,87.0300,86.9100,87.0200,7800
1470404397,87.0400,87.0600,87.0000,87.0100,3300
1470404402,86.9850,87.0400,86.9600,87.0400,8400
1470404463,86.9600,87.0000,86.9400,87.0000,4500
1470404532,86.9900,87.0000,86.9350,87.0000,5200
1470404639,87.0000,87.0400,86.9400,87.0000,105300
1470404640,86.9500,87.0000,86.9400,87.0000,4200
1470404748,86.9900,87.0000,86.9400,86.9500,5600
1470404812,86.9200,87.0400,86.9200,87.0100,12700
1470404838,86.9600,87.0200,86.9500,86.9500,5300
1470404936,86.8200,86.9500,86.8200,86.9500,16200
1470404995,86.8704,86.8900,86.8300,86.8300,4800
1470405059,86.9000,86.9200,86.8600,86.8800,11100
1470405112,86.8600,86.9092,86.8400,86.9000,7700
1470405126,86.8400,86.8700,86.8100,86.8700,10800
1470405238,86.8300,86.8600,86.8000,86.8400,7500
1470405240,86.8100,86.8800,86.7850,86.8300,17800
1470405309,86.9400,86.9400,86.8200,86.8200,9500
1470405418,86.9900,86.9900,86.9350,86.9350,4700
1470405420,87.0000,87.0400,86.9800,86.9965,12800
1470405537,86.9800,87.0000,86.9700,87.0000,9000
1470405545,86.9000,86.9900,86.8650,86.9800,23000
1470405600,86.9100,86.9300,86.8900,86.9000,12400
1470405715,86.8400,86.9100,86.8200,86.9100,6700
1470405721,86.8500,86.8900,86.8150,86.8600,7500
1470405783,86.8700,86.8700,86.8200,86.8400,4900
1470405840,86.7800,86.8600,86.7800,86.8600,10900
1470405954,86.7400,86.7950,86.7400,86.7900,6300
1470406013,86.8100,86.8100,86.7500,86.7500,5900
1470406024,86.8521,86.8521,86.8100,86.8100,6200
1470406138,86.9050,86.9100,86.8400,86.8600,19000
1470406140,86.9100,86.9100,86.9000,86.9000,3600
1470406212,86.9500,86.9600,86.8800,86.8800,7900
1470406318,86.9400,86.9500,86.9100,86.9500,5200
1470406373,86.9200,86.9400,86.9100,86.9300,3300
1470406439,86.8600,86.9300,86.8500,86.9300,15500
1470406490,86.8200,86.8800,86.8150,86.8700,6000
1470406553,86.8300,86.8500,86.7800,86.8200,10100
1470406563,86.8700,86.8800,86.8250,86.8300,4200
1470406629,86.8100,86.8700,86.8050,86.8700,4700
1470406686,86.8400,86.8500,86.8100,86.8100,7500
1470406795,86.8600,86.8800,86.8400,86.8400,3600
1470406800,86.8750,86.8750,86.8548,86.8600,1500
1470406881,86.8590,86.8700,86.8500,86.8700,2100
1470406920,86.8500,86.8600,86.8300,86.8600,4000
1470407039,86.8800,86.9000,86.8400,86.8400,7800
1470407099,86.8600,86.8800,86.8600,86.8800,1900
1470407150,86.8850,86.9000,86.8300,86.8500,4500
1470407217,86.9100,86.9200,86.8850,86.8850,3100
1470407223,86.9300,86.9300,86.9100,86.9250,3200
1470407281,86.8450,86.9300,86.8400,86.9300,11300
1470407345,86.8700,86.8700,86.8300,86.8400,5200
1470407459,86.8600,86.8750,86.8450,86.8700,12000
1470407519,86.8300,86.8500,86.8050,86.8500,5000
1470407522,86.8200,86.8400,86.8200,86.8400,3600
1470407632,86.8350,86.8350,86.8300,86.8300,1700
1470407699,86.8700,86.8700,86.8300,86.8400,6600
1470407752,86.9330,86.9330,86.8700,86.8700,6400
1470407817,86.9500,86.9500,86.9300,86.9350,5900
1470407823,86.9100,86.9500,86.9100,86.9500,5400
1470407936,86.9000,86.9200,86.8900,86.9100,3100
1470407945,86.9400,86.9400,86.9000,86.9000,2300
1470408001,86.9500,86.9500,86.9400,86.9400,3100
1470408118,86.9700,86.9700,86.9500,86.9599,5300
1470408172,86.9650,86.9700,86.9550,86.9700,6800
1470408180,86.9425,86.9650,86.9400,86.9600,6500
1470408299,86.9300,86.9600,86.9250,86.9450,5700
1470408300,86.9150,86.9300,86.9000,86.9300,3400
1470408419,86.8800,86.9100,86.8800,86.9100,4500
1470408476,86.8800,86.8900,86.8600,86.8800,4400
1470408505,86.8900,86.8900,86.8700,86.8700,1200
1470408591,86.9000,86.9000,86.8800,86.8825,2000
1470408603,86.9200,86.9200,86.8910,86.9000,4800
1470408716,86.9500,86.9500,86.9200,86.9200,2500
1470408776,86.9700,86.9700,86.9500,86.9500,2200
1470408782,86.9300,86.9700,86.9300,86.9700,6300
1470408848,86.9300,86.9300,86.9200,86.9250,1900
1470408918,86.9302,86.9302,86.9300,86.9300,700
1470408984,86.9400,86.9400,86.9400,86.9400,3100
1470409023,86.9300,86.9450,86.9300,86.9400,1900
1470409091,86.9666,86.9700,86.9400,86.9400,6500
1470409199,87.0100,87.0100,86.9700,86.9700,7700
1470409258,87.0050,87.0150,86.9950,87.0100,13700
1470409315,87.0300,87.0325,86.9900,87.0100,19100
1470409379,87.0250,87.0300,87.0101,87.0200,3200
1470409439,87.0100,87.0265,87.0000,87.0250,4700
1470409499,87.0200,87.0200,87.0100,87.0100,2400
1470409558,86.9890,87.0350,86.9890,87.0200,10400
1470409618,87.0100,87.0100,86.9800,86.9900,4700
1470409620,87.0100,87.0100,86.9850,87.0100,5800
1470409738,87.0000,87.0100,87.0000,87.0100,4400
1470409745,86.9900,87.0050,86.9800,87.0000,4800
1470409805,86.9900,86.9900,86.9900,86.9900,1100
1470409912,86.9500,86.9950,86.9500,86.9950,3100
1470409935,86.9650,86.9700,86.9600,86.9600,3100
1470409993,86.9600,86.9700,86.9600,86.9700,500
1470410044,86.9900,86.9950,86.9650,86.9700,5900
1470410101,87.0001,87.0050,86.9900,86.9900,4500
1470410214,86.9950,87.0100,86.9850,87.0100,4800
1470410224,86.9634,87.0000,86.9634,86.9950,5400
1470410335,86.9200,86.9700,86.9200,86.9650,8200
1470410341,86.9601,86.9601,86.9200,86.9200,2800
1470410447,86.9500,86.9700,86.9401,86.9700,6900
1470410461,86.9300,86.9400,86.9300,86.9400,3100
1470410571,86.9450,86.9500,86.9350,86.9350,1900
1470410639,86.9500,86.9500,86.9300,86.9400,13500
1470410644,86.9650,86.9700,86.9500,86.9600,2500
1470410703,86.9750,86.9799,86.9600,86.9700,3300
1470410760,86.9900,86.9900,86.9800,86.9800,3600
1470410877,87.0000,87.0000,86.9900,87.0000,1000
1470410882,87.0000,87.0100,87.0000,87.0000,2900
1470410998,87.0100,87.0100,87.0050,87.0100,1300
1470411002,86.9950,87.0050,86.9900,87.0000,8400
1470411115,86.9935,87.0000,86.9800,86.9900,6000
1470411125,87.0000,87.0000,86.9900,86.9950,2200
1470411185,86.9900,87.0000,86.9900,86.9900,1200
1470411297,86.9950,87.0000,86.9900,87.0000,5400
1470411303,86.9950,87.0000,86.9850,86.9900,13400
1470411365,87.0050,87.0100,86.9850,86.9950,5700
1470411479,87.0100,87.0100,86.9900,87.0000,5800
1470411481,86.9950,87.0100,86.9900,87.0050,4600
1470411586,86.9900,87.0000,86.9900,87.0000,2700
1470411603,87.0000,87.0050,86.9900,86.9957,7700
1470411665,86.9750,86.9950,86.9700,86.9935,6300
1470411778,86.9950,86.9950,86.9759,86.9759,3300
1470411836,86.9900,87.0000,86.9850,86.9950,3200
1470411846,86.9702,86.9800,86.9700,86.9800,1800
1470411900,86.9850,86.9900,86.9700,86.9800,12400
1470412015,86.9700,86.9900,86.9700,86.9800,4900
1470412025,86.9700,86.9700,86.9700,86.9700,600
1470412139,86.9950,87.0000,86.9800,86.9800,6300
1470412140,86.9800,87.0000,86.9700,87.0000,7200
1470412222,86.9800,86.9950,86.9800,86.9900,2800
1470412313,86.9550,86.9700,86.9500,86.9700,2100
1470412321,86.9600,86.9700,86.9550,86.9550,2500
1470412386,86.9800,86.9800,86.9600,86.9600,2400
1470412445,86.9850,86.9900,86.9750,86.9800,1700
1470412507,86.9900,86.9950,86.9800,86.9900,2700
1470412560,87.0000,87.0000,86.9940,86.9990,83600
1470412679,86.9200,87.0000,86.9100,87.0000,15800
1470412737,86.9100,86.9250,86.9100,86.9250,2800
1470412796,86.9100,86.9155,86.9000,86.9100,5000
1470412802,86.8900,86.9050,86.8750,86.9000,5900
1470412916,86.8800,86.9000,86.8800,86.9000,9200
1470412926,86.8700,86.8701,86.8700,86.8700,1300
1470413001,86.8624,86.8700,86.8600,86.8700,800
1470413098,86.8895,86.8900,86.8700,86.8700,2500
1470413156,86.9000,86.9100,86.8800,86.8800,3500
1470413160,86.9300,86.9300,86.9050,86.9100,4300
1470413276,86.9400,86.9500,86.9300,86.9300,2900
1470413280,86.9600,86.9600,86.9453,86.9500,4700
1470413396,86.9500,86.9700,86.9500,86.9700,7800
1470413453,86.9432,86.9500,86.9400,86.9450,1400
1470413516,86.9550,86.9700,86.9450,86.9450,5500
1470413526,86.9600,86.9600,86.9500,86.9500,1600
1470413607,86.9400,86.9550,86.9400,86.9550,2100
1470413652,86.9600,86.9700,86.9500,86.9500,5500
1470413703,86.9650,86.9650,86.9500,86.9542,2100
1470413786,86.9900,86.9900,86.9600,86.9600,3100
1470413825,87.0200,87.0200,86.9900,86.9900,2700
1470413891,86.9900,87.0200,86.9900,87.0200,5900
1470413999,86.9800,86.9900,86.9800,86.9800,1000
1470414001,86.9511,86.9865,86.9500,86.9850,5600
1470414119,86.9400,86.9600,86.9300,86.9500,10900
1470414120,86.9300,86.9425,86.9200,86.9400,7800
1470414189,86.9201,86.9350,86.9201,86.9350,5100
1470414295,86.9400,86.9411,86.9200,86.9250,3300
1470414347,86.9300,86.9500,86.9300,86.9400,1200
1470414419,86.9600,86.9600,86.9300,86.9300,3500
1470414426,86.9400,86.9601,86.9400,86.9600,2400
1470414486,86.9450,86.9500,86.9350,86.9400,1100
1470414548,86.9508,86.9550,86.9424,86.9424,2300
1470414658,86.9200,86.9400,86.9099,86.9400,5400
1470414660,86.9200,86.9200,86.9100,86.9100,900
1470414735,86.9200,86.9300,86.9200,86.9300,2100
1470414805,86.9400,86.9400,86.9250,86.9250,3200
