uri:/instrument/1.0/MON/chartdata;type=quote;range=1d/csv
ticker:mon
Company-Name:Monsanto Company Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:106.0200
Timestamp:1469626200,1469649600
labels:1469628000,1469631600,1469635200,1469638800,1469642400,1469646000,1469649600
values:Timestamp,close,high,low,open,volume
close:106.0300,106.9100
high:106.0900,106.9400
low:106.0000,106.8300
open:106.0100,106.8900
volume:100,39600
1469626233,106.1600,106.1600,106.1600,106.1600,20600
1469626318,106.2900,106.3000,106.1920,106.3000,3600
1469626327,106.1000,106.2900,106.0700,106.2900,5200
1469626435,106.0900,106.1000,106.0050,106.1000,6200
1469626495,106.0300,106.0900,106.0000,106.0100,5100
1469626559,106.1420,106.1700,106.0100,106.0600,4800
1469626566,106.1700,106.1700,106.0600,106.1350,4600
1469626628,106.1800,106.2500,106.1550,106.1600,9600
1469626736,106.2400,106.3000,106.2200,106.2500,5200
1469626740,106.4300,106.5100,106.2550,106.2600,20200
1469626859,106.4400,106.5300,106.4000,106.4750,4000
1469626868,106.5400,106.5800,106.4400,106.5500,10000
1469626924,106.6080,106.6100,106.5320,106.5400,9600
1469627039,106.6000,106.7000,106.5300,106.6000,13700
1469627098,106.6200,106.7050,106.5550,106.5900,39600
1469627156,106.6300,106.6900,106.5500,106.6800,17300
1469627218,106.7000,106.7500,106.6300,106.6500,14700
1469627274,106.7500,106.7700,106.6500,106.7300,8300
1469627338,106.7500,106.8200,106.6900,106.7800,20700
1469627385,106.8000,106.8160,106.7500,106.7600,5200
1469627414,106.7000,106.8100,106.7000,106.8000,4400
1469627497,106.7000,106.7299,106.6900,106.7299,2600
1469627523,106.6900,106.7900,106.6900,106.7900,2200
1469627589,106.7700,106.7700,106.6900,106.7500,4100
1469627651,106.6500,106.7200,106.6500,106.7100,9000
1469627702,106.4600,106.6300,106.4600,106.6300,12500
1469627794,106.4700,106.5300,106.4100,106.4500,3500
1469627824,106.6554,106.6554,106.5600,106.5950,1800
1469627895,106.5250,106.7100,106.5250,106.6900,1400
1469627992,106.4507,106.5200,106.4507,106.5200,700
1469628040,106.3800,106.4500,106.3800,106.4500,700
1469628060,106.3700,106.4690,106.3700,106.3700,8700
1469628123,106.4150,106.4400,106.3700,106.3700,1400
1469628235,106.3200,106.4734,106.3100,106.4340,3200
1469628240,106.4100,106.4100,106.3400,106.3900,5100
1469628362,106.4400,106.4400,106.4284,106.4284,500
1469628475,106.2700,106.4000,106.2700,106.3900,2700
1469628507,106.3000,106.3800,106.2600,106.3600,5800
1469628565,106.3500,106.3500,106.2900,106.3000,5100
1469628677,106.3800,106.3800,106.3626,106.3626,1900
1469628724,106.3500,106.3687,106.3500,106.3500,2600
1469628838,106.4000,106.4000,106.2900,106.3500,5200
1469628894,106.6000,106.6000,106.4300,106.4300,6500
1469628910,106.6000,106.6000,106.4741,106.5400,8500
1469629001,106.5380,106.5800,106.5380,106.5700,6100
1469629130,106.5850,106.6000,106.5100,106.5100,4000
1469629145,106.5500,106.6000,106.5500,106.6000,6800
1469629256,106.6150,106.6150,106.5900,106.5900,2900
1469629318,106.4350,106.6150,106.4200,106.6150,6400
1469629329,106.5100,106.5100,106.4600,106.4600,1000
1469629436,106.4900,106.5100,106.4600,106.4850,4500
1469629443,106.5000,106.5000,106.4800,106.4800,10700
1469629503,106.5000,106.5000,106.4800,106.5000,5400
1469629618,106.6700,106.6700,106.4900,106.5000,15100
1469629623,106.6300,106.6700,106.5900,106.6400,9900
1469629733,106.6400,106.6400,106.5900,106.5964,1400
1469629746,106.5500,106.6400,106.5400,106.6400,900
1469629811,106.5500,106.5600,106.4300,106.5000,16000
1469629868,106.6100,106.6100,106.5500,106.5600,2600
1469629921,106.5500,106.6000,106.5000,106.6000,7000
1469630032,106.5500,106.5500,106.5300,106.5500,1700
1469630046,106.5090,106.5600,106.5000,106.5500,3200
1469630106,106.5500,106.5500,106.5200,106.5200,1300
1469630161,106.5000,106.5750,106.4800,106.5600,5900
1469630273,106.5500,106.5500,106.5200,106.5200,300
1469630319,106.5300,106.5300,106.4800,106.5001,7700
1469630340,106.5500,106.5700,106.5500,106.5500,3100
1469630408,106.5000,106.5700,106.5000,106.5601,7800
1469630508,106.5600,106.5700,106.5100,106.5100,1900
1469630556,106.5250,106.5250,106.4900,106.5000,4100
1469630635,106.5500,106.5800,106.5000,106.5000,3200
1469630698,106.5300,106.5300,106.4900,106.4900,3400
1469630748,106.5200,106.5200,106.5000,106.5200,1100
1469630761,106.5800,106.5800,106.5400,106.5400,1100
1469630826,106.5200,106.5500,106.5000,106.5500,3700
1469630881,106.5500,106.5600,106.5300,106.5300,1600
1469630942,106.5100,106.5500,106.5100,106.5500,2800
1469631001,106.5800,106.5800,106.5000,106.5000,3700
1469631116,106.6500,106.6600,106.5520,106.5700,3200
1469631174,106.6700,106.7000,106.6500,106.6700,4800
1469631239,106.6600,106.6800,106.5700,106.6600,35900
1469631241,106.6600,106.6800,106.6400,106.6800,3900
1469631308,106.6200,106.6600,106.6100,106.6600,2300
1469631419,106.6460,106.6460,106.6000,106.6000,1300
1469631479,106.7400,106.7500,106.6200,106.6200,4000
1469631483,106.7300,106.7800,106.7300,106.7550,3100
1469631559,106.6703,106.7200,106.6600,106.7200,2700
1469631602,106.5600,106.6600,106.5600,106.6500,2000
1469631668,106.5700,106.5750,106.5010,106.5400,6500
1469631772,106.5225,106.5333,106.5225,106.5333,2600
1469631785,106.5500,106.5700,106.5450,106.5700,500
1469631856,106.6250,106.6300,106.6050,106.6300,1800
1469631950,106.6300,106.6400,106.6050,106.6300,1000
1469631960,106.7000,106.7000,106.6300,106.6400,13100
1469632032,106.7400,106.7500,106.7000,106.7000,2000
1469632094,106.6900,106.7400,106.6900,106.7231,5400
1469632186,106.7400,106.7400,106.6900,106.7100,2600
