uri:/instrument/1.0/NI/chartdata;type=quote;range=1d/csv
ticker:ni
Company-Name:NiSource Inc Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:26.0700
Timestamp:1468330200,1468353600
labels:1468332000,1468335600,1468339200,1468342800,1468346400,1468350000,1468353600
values:Timestamp,close,high,low,open,volume
close:25.5900,26.0300
high:25.5900,26.0400
low:25.5725,26.0250
open:25.5900,26.0300
volume:100,504800
1468330256,25.8600,25.8800,25.8400,25.8700,36900
1468330268,25.9100,25.9400,25.9100,25.9400,3500
1468330335,25.9000,25.9300,25.9000,25.9300,1000
1468330383,25.8600,25.9000,25.7900,25.9000,18700
1468330462,25.8200,25.8900,25.8200,25.8700,14200
1468330557,25.7700,25.8200,25.7700,25.8200,17300
1468330561,25.7900,25.8000,25.7400,25.7900,9400
1468330632,25.7800,25.7900,25.7750,25.7800,5400
1468330739,25.7700,25.8100,25.7700,25.7900,4300
1468330795,25.7500,25.7800,25.7500,25.7700,12600
1468330800,25.7700,25.7700,25.7500,25.7500,7400
1468330879,25.7200,25.7700,25.7200,25.7600,9500
1468330921,25.7100,25.7201,25.7000,25.7200,20700
1468331037,25.7100,25.7200,25.7100,25.7200,5200
1468331046,25.7000,25.7200,25.7000,25.7000,4900
1468331101,25.7000,25.7000,25.6607,25.6900,8800
1468331219,25.6650,25.7000,25.6600,25.6900,11300
1468331230,25.6600,25.6800,25.6600,25.6700,7500
1468331334,25.7238,25.7238,25.6800,25.6900,6300
1468331342,25.7500,25.7500,25.7200,25.7300,9700
1468331406,25.7400,25.7500,25.7300,25.7500,19800
1468331474,25.7200,25.7500,25.7100,25.7500,8800
1468331521,25.6900,25.7100,25.6900,25.7100,7800
1468331581,25.6800,25.7000,25.6800,25.7000,5300
1468331659,25.6800,25.6800,25.6800,25.6800,2800
1468331721,25.6200,25.6500,25.6200,25.6425,19600
1468331818,25.6600,25.6600,25.6200,25.6200,8100
1468331879,25.6800,25.6800,25.6500,25.6500,9500
1468331937,25.6600,25.6800,25.6600,25.6600,4000
1468331997,25.6550,25.6550,25.6500,25.6500,4000
1468332047,25.6500,25.6600,25.6500,25.6500,4000
1468332117,25.5900,25.6450,25.5800,25.6400,15700
1468332120,25.5900,25.5900,25.5800,25.5900,3100
1468332180,25.6000,25.6100,25.5850,25.5900,4900
1468332243,25.5950,25.6100,25.5800,25.5950,9600
1468332309,25.6000,25.6000,25.5725,25.5900,7300
1468332384,25.5900,25.6000,25.5800,25.6000,7000
