uri:/instrument/1.0/NKE/chartdata;type=quote;range=1d/csv
ticker:nke
Company-Name:Nike, Inc. Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:57.7600
Timestamp:1469107800,1469131200
labels:1469109600,1469113200,1469116800,1469120400,1469124000,1469127600,1469131200
values:Timestamp,close,high,low,open,volume
close:56.5901,57.8756
high:56.5956,57.8756
low:56.5700,57.8650
open:56.5900,57.8652
volume:1100,499800
1469107898,57.8600,57.8600,57.8600,57.8600,126200
1469107965,57.8756,57.8756,57.8650,57.8650,4800
1469108002,57.7915,57.8652,57.7800,57.8652,12400
1469108099,57.7500,57.8185,57.7500,57.8185,12900
1469108100,57.7782,57.8200,57.7599,57.7600,6400
1469108218,57.6499,57.7720,57.6300,57.7700,61300
1469108220,57.6200,57.7300,57.6200,57.6500,30500
1469108280,57.6900,57.6900,57.6300,57.6400,4500
1469108399,57.7600,57.8000,57.6880,57.6880,11700
1469108402,57.7600,57.7800,57.7300,57.7500,13700
1469108460,57.7800,57.8100,57.7600,57.7700,7800
1469108523,57.7400,57.7880,57.7400,57.7880,5100
1469108639,57.7160,57.7500,57.6900,57.7200,8500
1469108641,57.7200,57.7300,57.6900,57.7100,8500
1469108757,57.7400,57.7601,57.7300,57.7300,8300
1469108819,57.7600,57.7800,57.7400,57.7400,6200
1469108879,57.7800,57.7900,57.7600,57.7601,7600
1469108881,57.7900,57.8100,57.7850,57.7900,11300
1469108982,57.7600,57.7900,57.7600,57.7900,4100
1469109002,57.7360,57.7600,57.7300,57.7600,11500
1469109067,57.6400,57.7300,57.6300,57.7300,31700
1469109129,57.6562,57.6562,57.6400,57.6500,5200
1469109237,57.6740,57.6740,57.6400,57.6510,4100
1469109241,57.6580,57.6700,57.6300,57.6700,5400
1469109359,57.6050,57.6650,57.6050,57.6600,13400
1469109360,57.5900,57.6100,57.5790,57.6000,9600
1469109430,57.5510,57.5800,57.5380,57.5800,8800
1469109481,57.5300,57.5550,57.5250,57.5550,7500
1469109547,57.5300,57.5380,57.5100,57.5300,4500
1469109601,57.5300,57.5400,57.5210,57.5300,20400
1469109717,57.5250,57.5350,57.5200,57.5300,9400
1469109778,57.5100,57.5400,57.5000,57.5216,27300
1469109783,57.5456,57.5500,57.5150,57.5200,5400
1469109843,57.5500,57.5600,57.5300,57.5500,3900
1469109900,57.5800,57.5800,57.5453,57.5500,18200
1469109963,57.5545,57.6000,57.5545,57.5900,9500
1469110070,57.5500,57.5500,57.5300,57.5450,3600
1469110080,57.5500,57.5700,57.5500,57.5500,30800
1469110141,57.5500,57.5600,57.5350,57.5500,10700
1469110259,57.5700,57.5700,57.5400,57.5400,14700
1469110260,57.5400,57.5800,57.5350,57.5800,9000
1469110324,57.5400,57.5650,57.5300,57.5500,15900
1469110380,57.5500,57.5800,57.5350,57.5400,6100
1469110441,57.5400,57.5700,57.5400,57.5500,4800
1469110558,57.5300,57.5400,57.5211,57.5400,9500
1469110616,57.5300,57.5310,57.5210,57.5300,3000
1469110675,57.5200,57.5300,57.5100,57.5300,5200
1469110681,57.5000,57.5211,57.5000,57.5200,11200
1469110740,57.4900,57.5100,57.4850,57.5100,16000
1469110800,57.4800,57.4900,57.4750,57.4900,4900
1469110863,57.4700,57.4850,57.4700,57.4800,10100
1469110978,57.4700,57.4850,57.4600,57.4750,16200
1469110981,57.4500,57.4700,57.4400,57.4700,10600
1469111040,57.4850,57.4966,57.4600,57.4600,11300
1469111113,57.4800,57.4850,57.4650,57.4800,7500
