uri:/instrument/1.0/PBI/chartdata;type=quote;range=1d/csv
ticker:pbi
Company-Name:Pitney Bowes Inc. Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:17.9900
Timestamp:1466515800,1466539200
labels:1466517600,1466521200,1466524800,1466528400,1466532000,1466535600,1466539200
values:Timestamp,close,high,low,open,volume
close:17.9100,18.1000
high:17.9200,18.1000
low:17.9000,18.1000
open:17.9100,18.1000
volume:100,35400
1466515969,17.9800,18.0200,17.9800,17.9800,15100
1466516050,18.0100,18.0100,17.9600,17.9600,1000
1466516123,17.9986,18.0216,17.9986,18.0216,1200
1466516227,17.9900,17.9900,17.9800,17.9800,2100
1466516338,17.9300,17.9900,17.9300,17.9900,6000
1466516397,17.9150,17.9200,17.9000,17.9200,5200
1466516401,17.9100,17.9250,17.9000,17.9200,6100
1466516518,17.9600,17.9650,17.9200,17.9200,11700
1466516523,17.9700,17.9700,17.9500,17.9500,3500
1466516597,17.9900,17.9900,17.9800,17.9900,2400
1466516694,17.9863,18.0000,17.9863,18.0000,1600
1466516711,17.9500,17.9800,17.9450,17.9700,2500
1466516777,17.9738,17.9738,17.9600,17.9600,1100
1466516828,17.9600,17.9700,17.9600,17.9700,1500
1466516942,17.9600,17.9600,17.9600,17.9600,1200
1466517003,17.9700,17.9700,17.9700,17.9700,1600
1466517063,17.9800,17.9800,17.9800,17.9800,700
1466517130,17.9800,17.9800,17.9800,17.9800,500
1466517180,17.9600,17.9800,17.9600,17.9800,1800
1466517297,18.0000,18.0000,17.9600,17.9600,3100
1466517353,17.9900,18.0125,17.9900,18.0100,5100
1466517411,17.9800,17.9800,17.9800,17.9800,300
1466517444,17.9800,17.9800,17.9800,17.9800,3500
1466517528,17.9600,17.9700,17.9500,17.9700,2700
1466517596,17.9700,17.9700,17.9600,17.9600,3500
1466517601,17.9650,17.9700,17.9650,17.9700,1300
1466517716,17.9500,17.9600,17.9500,17.9600,1600
1466517767,17.9200,17.9400,17.9200,17.9400,1200
1466517831,17.9200,17.9200,17.9200,17.9200,400
1466517867,17.9300,17.9300,17.9200,17.9200,1700
1466517952,17.9300,17.9300,17.9200,17.9200,7100
1466517964,17.9350,17.9400,17.9250,17.9300,6700
1466518049,17.9700,17.9700,17.9500,17.9500,2200
1466518090,17.9522,17.9750,17.9500,17.9700,4600
1466518196,17.9300,17.9500,17.9300,17.9500,900
1466518224,17.9400,17.9400,17.9400,17.9400,300
1466518261,17.9600,17.9600,17.9500,17.9500,1000
1466518331,17.9800,17.9800,17.9700,17.9700,4800
1466518432,18.0100,18.0200,17.9900,17.9900,3500
1466518445,18.0000,18.0100,18.0000,18.0100,2400
1466518507,18.0000,18.0100,18.0000,18.0100,900
1466518611,17.9950,17.9950,17.9950,17.9950,100
1466518672,17.9700,17.9900,17.9700,17.9900,1200
1466518719,17.9600,17.9753,17.9500,17.9753,6400
1466518748,17.9600,17.9600,17.9500,17.9500,2000
1466518810,17.9500,17.9500,17.9500,17.9500,100
1466518919,17.9300,17.9400,17.9200,17.9400,2000
1466518920,17.9200,17.9300,17.9200,17.9300,500
1466519008,17.9200,17.9200,17.9100,17.9100,2300
1466519042,17.9200,17.9250,17.9100,17.9200,6500
1466519133,17.9200,17.9200,17.9200,17.9200,100
1466519166,17.9300,17.9300,17.9200,17.9200,1000
1466519272,17.9300,17.9300,17.9300,17.9300,100
1466519283,17.9400,17.9400,17.9350,17.9350,1100
1466519353,17.9350,17.9550,17.9200,17.9400,14400
1466519455,17.9262,17.9300,17.9250,17.9250,3400
1466519505,17.9300,17.9300,17.9300,17.9300,300
1466519523,17.9400,17.9400,17.9300,17.9300,4500
1466519609,17.9300,17.9300,17.9300,17.9300,500
1466519659,17.9300,17.9300,17.9300,17.9300,200
1466519700,17.9250,17.9250,17.9250,17.9250,500
1466519769,17.9300,17.9300,17.9200,17.9200,2300
1466519833,17.9450,17.9490,17.9400,17.9400,5400
1466519880,17.9500,17.9500,17.9400,17.9450,300
1466519954,17.9400,17.9400,17.9400,17.9400,1400
1466520038,17.9500,17.9500,17.9500,17.9500,2900
1466520119,17.9500,17.9553,17.9500,17.9500,800
1466520126,17.9400,17.9400,17.9300,17.9400,2300
1466520197,17.9500,17.9500,17.9400,17.9447,1500
1466520248,17.9500,17.9500,17.9447,17.9447,1500
1466520311,17.9600,17.9689,17.9600,17.9689,600
1466520390,17.9600,17.9600,17.9589,17.9600,1200
1466520483,17.9700,17.9700,17.9700,17.9700,500
1466520545,17.9500,17.9600,17.9500,17.9600,2000
1466520616,17.9500,17.9500,17.9500,17.9500,1400
1466520706,17.9500,17.9550,17.9500,17.9500,700
1466520761,17.9500,17.9500,17.9500,17.9500,800
1466520783,17.9600,17.9600,17.9500,17.9500,2100
1466520859,17.9600,17.9600,17.9565,17.9565,1100
1466520916,17.9800,17.9800,17.9700,17.9700,1400
1466520984,17.9800,17.9800,17.9800,17.9800,900
1466521041,17.9700,17.9700,17.9700,17.9700,500
1466521084,17.9800,17.9800,17.9600,17.9600,900
1466521195,17.9600,17.9800,17.9600,17.9800,1100
1466521253,17.9650,17.9700,17.9600,17.9600,900
1466521263,17.9900,17.9900,17.9700,17.9700,3700
1466521366,17.9999,17.9999,17.9900,17.9900,600
1466521430,18.0100,18.0100,18.0000,18.0000,1500
1466521444,18.0100,18.0200,18.0100,18.0200,5000
1466521528,18.0200,18.0300,18.0200,18.0200,3600
1466521579,18.0200,18.0200,18.0200,18.0200,300
1466521658,18.0200,18.0200,18.0200,18.0200,100
1466521766,18.0250,18.0400,18.0200,18.0200,3900
1466521805,18.0100,18.0275,18.0000,18.0275,1800
1466521862,18.0100,18.0100,18.0100,18.0100,500
1466522028,18.0100,18.0150,18.0100,18.0150,300
1466522084,18.0400,18.0400,18.0200,18.0200,4000
1466522146,18.0400,18.0400,18.0350,18.0350,400
1466522209,18.0500,18.0500,18.0350,18.0350,1100
1466522221,18.0500,18.0500,18.0500,18.0500,200
1466522315,18.0350,18.0499,18.0350,18.0499,1000
1466522346,18.0400,18.0400,18.0400,18.0400,400
1466522440,18.0500,18.0500,18.0400,18.0400,1700
1466522469,18.0362,18.0400,18.0350,18.0400,900
1466522561,18.0300,18.0300,18.0300,18.0300,1000
1466522581,18.0200,18.0200,18.0200,18.0200,1600
1466522676,18.0350,18.0350,18.0300,18.0300,700
1466522736,18.0250,18.0335,18.0250,18.0335,2300
1466522816,18.0201,18.0300,18.0200,18.0300,500
1466522820,18.0400,18.0400,18.0300,18.0300,1600
1466522893,18.0400,18.0500,18.0399,18.0399,2100
1466523058,18.0200,18.0300,18.0100,18.0300,3000
1466523060,18.0200,18.0200,18.0200,18.0200,500
1466523155,18.0150,18.0150,18.0150,18.0150,100
1466523184,18.0000,18.0100,17.9900,18.0100,2300
1466523256,17.9900,17.9900,17.9900,17.9900,2000
1466523357,17.9900,17.9900,17.9900,17.9900,200
1466523374,17.9900,17.9900,17.9850,17.9850,900
1466523437,17.9775,17.9900,17.9750,17.9900,3200
1466523485,17.9700,17.9700,17.9700,17.9700,300
1466523583,17.9700,17.9700,17.9700,17.9700,100
1466523643,17.9799,17.9799,17.9799,17.9799,200
1466523699,17.9800,17.9800,17.9800,17.9800,900
1466523750,17.9800,17.9800,17.9800,17.9800,100
1466523800,17.9800,17.9800,17.9800,17.9800,100
1466523852,17.9799,17.9800,17.9799,17.9800,200
1466523936,17.9800,17.9800,17.9700,17.9700,600
1466523997,17.9650,17.9800,17.9650,17.9800,1900
1466524068,17.9700,17.9700,17.9600,17.9600,300
1466524119,17.9650,17.9650,17.9650,17.9650,100
1466524244,17.9650,17.9699,17.9650,17.9650,300
1466524302,17.9699,17.9699,17.9699,17.9699,100
1466524324,17.9500,17.9600,17.9500,17.9600,1000
1466524417,17.9500,17.9500,17.9400,17.9400,200
1466524453,17.9500,17.9500,17.9500,17.9500,100
1466524529,17.9499,17.9499,17.9499,17.9499,200
1466524603,17.9550,17.9550,17.9500,17.9500,1900
1466524656,17.9550,17.9600,17.9550,17.9550,600
1466524702,17.9550,17.9600,17.9550,17.9550,500
1466524792,17.9600,17.9600,17.9500,17.9500,1900
1466524816,17.9550,17.9600,17.9550,17.9600,200
1466524913,17.9500,17.9500,17.9500,17.9500,400
1466524993,17.9600,17.9600,17.9600,17.9600,100
1466525099,17.9550,17.9550,17.9500,17.9500,1600
1466525102,17.9300,17.9599,17.9300,17.9500,3100
1466525212,17.9400,17.9400,17.9400,17.9400,1700
1466525233,17.9500,17.9500,17.9500,17.9500,200
1466525310,17.9500,17.9500,17.9500,17.9500,100
1466525394,17.9300,17.9500,17.9300,17.9500,4500
1466525448,17.9300,17.9350,17.9300,17.9300,2000
1466525500,17.9400,17.9400,17.9370,17.9370,1300
1466525551,17.9401,17.9401,17.9401,17.9401,100
1466525639,17.9500,17.9500,17.9462,17.9462,2700
1466525697,17.9500,17.9600,17.9500,17.9550,1200
1466525716,17.9500,17.9600,17.9500,17.9600,3200
1466525813,17.9550,17.9650,17.9500,17.9500,2200
1466525998,17.9650,17.9700,17.9624,17.9624,1600
1466526112,17.9700,17.9700,17.9700,17.9700,100
1466526206,17.9680,17.9680,17.9680,17.9680,200
1466526243,17.9700,17.9700,17.9700,17.9700,400
1466526366,17.9670,17.9700,17.9670,17.9700,1100
1466526433,17.9700,17.9700,17.9700,17.9700,100
1466526541,17.9700,17.9700,17.9600,17.9650,2000
1466526608,17.9700,17.9700,17.9700,17.9700,900
1466526690,17.9799,17.9800,17.9762,17.9762,800
1466526778,17.9650,17.9750,17.9600,17.9700,4100
1466526914,17.9799,17.9800,17.9600,17.9700,1400
1466526961,17.9850,17.9900,17.9800,17.9800,1000
1466527054,17.9900,17.9900,17.9750,17.9800,3800
1466527139,17.9800,17.9900,17.9800,17.9900,1200
1466527150,17.9850,17.9850,17.9800,17.9800,1000
1466527245,17.9800,17.9800,17.9800,17.9800,300
1466527673,17.9800,17.9800,17.9700,17.9800,400
1466527732,17.9800,17.9800,17.9800,17.9800,200
1466527783,17.9700,17.9750,17.9700,17.9700,2200
1466527855,17.9650,17.9700,17.9650,17.9650,500
1466527862,17.9650,17.9650,17.9650,17.9650,200
1466527978,17.9700,17.9700,17.9600,17.9600,300
1466528019,17.9800,17.9800,17.9700,17.9700,2100
1466528160,17.9875,17.9875,17.9800,17.9800,1600
1466528338,17.9750,17.9850,17.9700,17.9800,7500
1466528342,17.9800,17.9800,17.9700,17.9800,700
1466528473,17.9800,17.9800,17.9700,17.9700,500
1466528569,17.9800,17.9800,17.9800,17.9800,100
1466528589,17.9750,17.9750,17.9750,17.9750,100
1466528642,17.9700,17.9750,17.9700,17.9700,4100
1466528772,17.9800,17.9800,17.9700,17.9700,1400
1466528965,17.9900,17.9900,17.9800,17.9800,2000
1466529051,17.9700,17.9870,17.9700,17.9870,3700
1466529060,17.9800,17.9800,17.9750,17.9750,2700
1466529192,17.9850,17.9900,17.9800,17.9800,5300
1466529298,18.0000,18.0000,17.9900,17.9900,2800
1466529375,18.0000,18.0000,17.9900,18.0000,1400
1466529478,18.0000,18.0000,18.0000,18.0000,100
1466529525,18.0000,18.0000,18.0000,18.0000,100
1466529620,17.9999,18.0000,17.9800,17.9900,6400
1466529671,18.0000,18.0000,17.9900,17.9910,900
1466529883,17.9900,17.9950,17.9900,17.9900,1300
1466529917,17.9850,17.9850,17.9850,17.9850,300
1466530002,17.9850,17.9850,17.9850,17.9850,100
1466530070,17.9900,17.9900,17.9800,17.9800,300
1466530130,17.9900,17.9900,17.9900,17.9900,100
1466530168,18.0000,18.0000,17.9900,17.9900,900
1466530238,17.9900,17.9950,17.9900,17.9950,1800
1466530275,17.9950,17.9950,17.9900,17.9900,400
1466530334,18.0000,18.0000,17.9927,17.9927,1800
1466530410,18.0100,18.0100,18.0100,18.0100,300
1466530497,18.0000,18.0050,17.9950,18.0000,2400
1466530545,17.9900,17.9900,17.9900,17.9900,200
1466530572,17.9900,17.9900,17.9800,17.9900,2500
1466530693,17.9800,17.9800,17.9800,17.9800,900
1466530753,17.9800,17.9900,17.9800,17.9800,1400
1466530897,17.9800,17.9800,17.9800,17.9800,200
1466530929,17.9900,17.9900,17.9900,17.9900,600
1466531087,17.9900,17.9900,17.9850,17.9850,600
1466531170,17.9800,17.9850,17.9700,17.9800,8200
1466531221,17.9800,17.9800,17.9800,17.9800,100
1466531311,17.9800,17.9800,17.9750,17.9750,900
1466531398,17.9800,17.9850,17.9750,17.9800,1900
1466531428,17.9839,17.9850,17.9800,17.9800,600
1466531486,17.9900,17.9900,17.9800,17.9800,900
1466531578,17.9900,17.9900,17.9900,17.9900,200
1466531631,17.9900,17.9900,17.9900,17.9900,200
1466531656,17.9800,17.9800,17.9800,17.9800,100
1466531757,17.9900,17.9900,17.9800,17.9800,1100
1466531819,18.0000,18.0000,17.9900,17.9900,1000
1466531830,18.0000,18.0000,18.0000,18.0000,800
1466531901,18.0100,18.0100,18.0100,18.0100,100
1466531999,18.0000,18.0100,18.0000,18.0100,600
1466532026,18.0050,18.0100,18.0050,18.0100,300
1466532062,18.0050,18.0100,18.0050,18.0100,300
1466532174,18.0100,18.0100,18.0100,18.0100,100
1466532195,18.0100,18.0100,18.0100,18.0100,100
1466532249,18.0100,18.0100,18.0100,18.0100,1200
1466532333,18.0100,18.0150,18.0050,18.0150,5200
1466532386,18.0010,18.0100,18.0010,18.0100,500
1466532462,18.0100,18.0100,18.0100,18.0100,100
1466532537,18.0200,18.0200,18.0100,18.0100,700
1466532601,18.0200,18.0200,18.0200,18.0200,1200
1466532711,18.0300,18.0300,18.0300,18.0300,100
1466532752,18.0300,18.0300,18.0250,18.0300,1000
1466532828,18.0300,18.0300,18.0300,18.0300,200
1466532842,18.0400,18.0400,18.0300,18.0300,900
1466532926,18.0350,18.0350,18.0350,18.0350,100
1466533021,18.0400,18.0400,18.0400,18.0400,100
1466533111,18.0350,18.0350,18.0350,18.0350,200
1466533248,18.0399,18.0400,18.0350,18.0350,400
1466533303,18.0400,18.0400,18.0400,18.0400,200
1466533333,18.0300,18.0300,18.0250,18.0300,2600
1466533430,18.0250,18.0300,18.0200,18.0300,1100
1466533491,18.0350,18.0400,18.0200,18.0200,2200
1466533551,18.0350,18.0350,18.0350,18.0350,100
1466533609,18.0350,18.0350,18.0350,18.0350,300
1466533621,18.0350,18.0350,18.0300,18.0300,2400
1466533727,18.0400,18.0400,18.0400,18.0400,100
1466533779,18.0350,18.0400,18.0300,18.0400,800
1466533800,18.0400,18.0400,18.0350,18.0399,600
1466533903,18.0400,18.0400,18.0300,18.0300,6500
1466533978,18.0600,18.0600,18.0400,18.0400,7400
1466534005,18.0600,18.0600,18.0600,18.0600,1100
1466534075,18.0600,18.0600,18.0550,18.0600,500
1466534157,18.0800,18.0800,18.0500,18.0500,1800
1466534204,18.0865,18.0900,18.0800,18.0800,700
1466534271,18.0900,18.1000,18.0900,18.0900,700
1466534305,18.0999,18.1000,18.0999,18.1000,500
1466534350,18.1000,18.1000,18.1000,18.1000,100
1466534459,18.1000,18.1000,18.1000,18.1000,300
1466534501,18.0800,18.0950,18.0800,18.0950,6300
1466534567,18.0700,18.0750,18.0600,18.0700,3600
1466534604,18.0670,18.0670,18.0670,18.0670,100
1466534695,18.0700,18.0700,18.0700,18.0700,300
1466534724,18.0600,18.0700,18.0600,18.0700,500
1466534768,18.0700,18.0700,18.0600,18.0661,3300
1466534843,18.0800,18.0800,18.0800,18.0800,200
1466534935,18.0800,18.0800,18.0800,18.0800,200
1466534950,18.0800,18.0850,18.0800,18.0800,2400
1466535008,18.0800,18.0800,18.0750,18.0800,2100
1466535070,18.0900,18.0900,18.0900,18.0900,200
1466535157,18.0900,18.0900,18.0900,18.0900,200
1466535268,18.0900,18.0900,18.0800,18.0800,400
1466535310,18.0800,18.0900,18.0800,18.0900,1800
1466535406,18.0900,18.0900,18.0900,18.0900,100
1466535449,18.0850,18.0900,18.0850,18.0900,300
1466535487,18.0900,18.0900,18.0800,18.0900,500
1466535589,18.0650,18.0850,18.0650,18.0800,6200
1466535601,18.0699,18.0700,18.0699,18.0700,500
1466535714,18.0700,18.0700,18.0699,18.0699,300
1466535723,18.0600,18.0700,18.0600,18.0690,300
1466535819,18.0700,18.0700,18.0650,18.0650,500
1466535847,18.0400,18.0700,18.0400,18.0700,5200
1466535947,18.0500,18.0500,18.0400,18.0500,1200
1466536017,18.0500,18.0500,18.0400,18.0400,1400
1466536065,18.0500,18.0500,18.0450,18.0500,2000
1466536138,18.0350,18.0500,18.0350,18.0500,9300
1466536140,18.0500,18.0500,18.0350,18.0350,2700
1466536253,18.0500,18.0500,18.0500,18.0500,2900
1466536315,18.0600,18.0600,18.0530,18.0600,1300
1466536320,18.0600,18.0600,18.0600,18.0600,600
1466536405,18.0675,18.0675,18.0600,18.0600,1300
1466536487,18.0647,18.0647,18.0600,18.0600,600
1466536544,18.0700,18.0700,18.0650,18.0700,1500
1466536619,18.0800,18.0800,18.0650,18.0700,1600
1466536629,18.0750,18.0800,18.0750,18.0775,400
1466536737,18.0800,18.0800,18.0700,18.0700,700
1466536740,18.0800,18.0800,18.0750,18.0750,1300
1466536854,18.0700,18.0794,18.0600,18.0750,4000
1466536901,18.0700,18.0700,18.0600,18.0650,600
1466536975,18.0600,18.0600,18.0500,18.0600,3900
1466536982,18.0650,18.0650,18.0500,18.0600,2500
1466537070,18.0608,18.0700,18.0608,18.0700,900
1466537156,18.0700,18.0700,18.0600,18.0650,1800
1466537216,18.0700,18.0800,18.0700,18.0800,1700
1466537230,18.0800,18.0800,18.0750,18.0750,300
1466537287,18.0800,18.0800,18.0800,18.0800,500
1466537393,18.0750,18.0800,18.0700,18.0750,3100
1466537401,18.0800,18.0800,18.0700,18.0700,800
1466537518,18.0800,18.0800,18.0700,18.0750,2100
1466537570,18.0800,18.0800,18.0731,18.0731,800
1466537584,18.0600,18.0800,18.0550,18.0800,9600
1466537756,18.0700,18.0700,18.0650,18.0650,5500
1466537774,18.0700,18.0700,18.0650,18.0650,700
1466537823,18.0600,18.0750,18.0600,18.0700,4800
1466537882,18.0650,18.0700,18.0650,18.0700,1000
1466537943,18.0700,18.0700,18.0600,18.0650,400
1466538050,18.0600,18.0650,18.0600,18.0641,5700
1466538060,18.0450,18.0550,18.0400,18.0500,4400
1466538129,18.0400,18.0450,18.0350,18.0400,3600
1466538206,18.0400,18.0400,18.0350,18.0400,600
1466538297,18.0400,18.0400,18.0300,18.0350,1600
1466538307,18.0400,18.0400,18.0300,18.0400,2600
1466538360,18.0500,18.0600,18.0300,18.0350,9000
1466538422,18.0600,18.0600,18.0550,18.0600,2400
1466538509,18.0599,18.0600,18.0599,18.0600,200
1466538544,18.0550,18.0600,18.0500,18.0550,7600
1466538601,18.0500,18.0600,18.0500,18.0550,3100
1466538717,18.0550,18.0600,18.0550,18.0550,7700
1466538775,18.0600,18.0600,18.0590,18.0590,1200
1466538839,18.0600,18.0600,18.0500,18.0550,3400
1466538841,18.0600,18.0600,18.0500,18.0600,4200
1466538902,18.0450,18.0600,18.0400,18.0600,35400
1466538963,18.0400,18.0500,18.0400,18.0400,6300
1466539020,18.0465,18.0500,18.0400,18.0450,11600
1466539083,18.0400,18.0500,18.0400,18.0450,6400
1466539199,18.0400,18.0450,18.0300,18.0400,29100
1466539200,18.0400,18.0400,18.0400,18.0400,100
