uri:/instrument/1.0/PX/chartdata;type=quote;range=1d/csv
ticker:px
Company-Name:Praxair, Inc. Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:117.1100
Timestamp:1469799000,1469822400
labels:1469800800,1469804400,1469808000,1469811600,1469815200,1469818800,1469822400
values:Timestamp,close,high,low,open,volume
close:115.5500,116.7400
high:115.6100,116.8400
low:115.5200,116.7150
open:115.5300,116.8400
volume:0,420900
1469799167,116.4500,116.4700,116.4500,116.4700,13800
1469799189,116.6800,116.8400,116.4450,116.8400,1500
1469799251,116.5900,116.7300,116.5900,116.6700,1800
1469799332,116.4650,116.4650,116.2600,116.4600,1600
1469799460,116.3550,116.3700,116.3550,116.3600,1200
1469799508,116.4450,116.4450,116.3200,116.3950,1500
1469799547,116.3200,116.5400,116.3200,116.5400,2300
1469799640,116.2800,116.3000,116.2800,116.3000,300
1469799662,116.2800,116.2800,116.2800,116.2800,700
1469799755,116.2300,116.2300,116.1900,116.1900,600
1469799781,116.3400,116.3500,116.2900,116.2900,2200
1469799841,116.3800,116.4200,116.3000,116.3000,2100
1469799917,116.4000,116.5000,116.4000,116.5000,2100
1469800015,116.2000,116.3800,116.1300,116.3800,2100
1469800065,116.0100,116.1800,116.0100,116.1000,2200
1469800095,116.0500,116.2100,115.9550,116.0500,4100
1469800170,116.0100,116.0100,116.0100,116.0100,800
1469800224,115.9700,116.0200,115.9700,116.0200,1700
1469800309,116.0600,116.0600,116.0200,116.0300,700
1469800370,116.0200,116.0200,116.0100,116.0100,1600
1469800408,115.9900,116.0400,115.9800,116.0100,2000
1469800498,115.8900,115.9800,115.8900,115.9600,4000
1469800507,115.8700,115.9300,115.8700,115.8700,1600
1469800576,115.8100,115.8100,115.8100,115.8100,900
1469800650,115.8400,115.8900,115.8400,115.8900,400
1469800736,115.9250,115.9250,115.9250,115.9250,100
1469800767,116.0100,116.0100,115.9579,115.9700,3300
1469800857,115.9900,116.1010,115.9900,116.0500,2700
1469800861,116.0100,116.0500,115.9700,115.9800,3100
1469800978,115.8800,115.9800,115.8800,115.9800,2800
1469800980,115.8500,115.9100,115.8500,115.8750,4300
1469801042,115.9300,115.9500,115.8600,115.8600,700
1469801107,115.8600,115.9300,115.8600,115.9300,3900
1469801218,115.8500,115.8700,115.8500,115.8700,1300
1469801277,115.8500,115.9000,115.8500,115.8900,1800
1469801280,115.8100,115.8300,115.8100,115.8300,600
1469801353,115.8300,115.8800,115.8300,115.8800,800
1469801411,115.7900,115.8550,115.7500,115.8400,3000
1469801475,115.6800,115.7700,115.6800,115.7700,1000
1469801580,115.8950,115.8950,115.6950,115.6950,4400
1469801657,116.1100,116.1100,115.9300,115.9500,1100
1469801709,116.0300,116.1400,116.0300,116.0900,1800
1469801813,115.9700,116.0600,115.9700,116.0600,1000
1469801822,115.9600,115.9600,115.9500,115.9500,300
1469801880,116.0300,116.0300,115.9350,115.9800,1400
1469801971,115.9510,115.9510,115.9510,115.9510,1000
1469802009,115.9300,115.9600,115.9300,115.9600,400
1469802088,115.8800,115.9300,115.8700,115.9300,3500
1469802140,115.9100,115.9600,115.9100,115.9300,600
1469802184,116.0300,116.0300,115.9300,115.9500,1300
1469802252,116.0500,116.0500,116.0150,116.0150,3500
1469802319,115.9400,115.9600,115.9100,115.9300,1800
1469802408,115.8900,115.9170,115.8800,115.9170,1300
1469802447,115.8000,115.8600,115.8000,115.8600,1500
1469802492,115.7100,115.7700,115.6900,115.7700,1200
1469802549,115.6900,115.7298,115.6700,115.7100,2100
1469802657,115.6900,115.6900,115.6900,115.6900,100
1469802708,115.6100,115.6900,115.6100,115.6700,1400
1469802773,115.6150,115.6500,115.5750,115.6500,2600
1469802784,115.5800,115.6200,115.5800,115.6200,300
1469802842,115.5500,115.6100,115.5200,115.5800,1800
1469802905,115.6800,115.6800,115.5300,115.5300,2200
1469802968,115.7900,115.8200,115.7300,115.7400,1200
1469803050,115.8500,115.8500,115.8500,115.8500,300
1469803087,115.8100,115.8700,115.8100,115.8300,2000
1469803142,115.8400,115.8400,115.7900,115.8100,1000
1469803259,115.8900,115.8900,115.8300,115.8400,2600
1469803261,115.9550,115.9700,115.8700,115.8800,1300
1469803338,116.0000,116.0000,115.9500,115.9800,500
1469803439,115.9900,116.0100,115.9500,116.0000,7700
1469803442,116.0200,116.0700,116.0000,116.0000,900
1469803545,116.0100,116.0100,116.0100,116.0100,400
1469803560,116.0000,116.0400,116.0000,116.0100,2300
1469803679,115.9600,115.9900,115.9500,115.9900,1000
1469803730,115.9900,116.0199,115.9200,115.9400,3300
1469803752,116.0100,116.0100,116.0100,116.0100,800
1469803827,116.1200,116.1200,116.0500,116.0700,600
1469803861,116.0500,116.1400,116.0500,116.1400,1700
1469803958,116.0300,116.0400,116.0300,116.0400,500
1469803999,116.0150,116.0200,116.0100,116.0200,400
1469804081,116.0100,116.0100,116.0100,116.0100,300
1469804133,116.0300,116.0600,116.0300,116.0600,600
1469804209,115.9950,116.0300,115.9800,116.0300,1200
1469804277,116.0200,116.0450,115.9400,115.9800,4100
1469804288,116.0100,116.0200,116.0100,116.0200,700
1469804402,116.0600,116.0600,116.0500,116.0500,300
1469804494,116.1500,116.1700,116.1200,116.1350,1300
1469804554,116.1745,116.1745,116.1700,116.1700,400
1469804624,116.1900,116.2000,116.1800,116.2000,800
1469804644,116.1300,116.1800,116.1300,116.1800,1700
1469804737,116.2100,116.2100,116.1600,116.1600,800
1469804760,116.1900,116.2500,116.1900,116.2200,1800
1469804823,116.2000,116.2300,116.1800,116.2300,500
1469804884,116.2300,116.2300,116.2300,116.2300,500
1469804995,116.1800,116.1900,116.1700,116.1800,1400
1469805002,116.2200,116.2200,116.1700,116.2000,1300
1469805115,116.2100,116.2300,116.2100,116.2200,2100
1469805177,116.2300,116.2300,116.2100,116.2300,1500
1469805224,116.2600,116.3000,116.2600,116.3000,300
1469805247,116.3600,116.4100,116.3500,116.3500,1700
1469805329,116.3400,116.3500,116.3300,116.3500,1500
1469805416,116.4400,116.4400,116.3500,116.3500,1200
1469805470,116.4200,116.4700,116.4200,116.4700,1900
1469805480,116.4400,116.4400,116.4000,116.4200,1200
1469805579,116.3800,116.4400,116.3800,116.4400,1800
