uri:/instrument/1.0/RF/chartdata;type=quote;range=1d/csv
ticker:rf
Company-Name:Regions Financial Corporation C
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:8.2500
Timestamp:1467984600,1468008000
labels:1467986400,1467990000,1467993600,1467997200,1468000800,1468004400,1468008000
values:Timestamp,close,high,low,open,volume
close:8.3800,8.5250
high:8.3900,8.5300
low:8.3700,8.5150
open:8.3799,8.5300
volume:200,566100
1467984619,8.4200,8.4200,8.4200,8.4200,18600
1467984719,8.4370,8.4500,8.4350,8.4404,321800
1467984777,8.4100,8.4600,8.4000,8.4450,117500
1467984839,8.4400,8.4400,8.4100,8.4150,77400
1467984896,8.4200,8.4500,8.4200,8.4300,100900
1467984959,8.4100,8.4350,8.3901,8.4300,334500
1467985018,8.4350,8.4500,8.4100,8.4150,104300
1467985079,8.4400,8.4400,8.4150,8.4350,55300
1467985138,8.4350,8.4400,8.4200,8.4400,93400
1467985141,8.4250,8.4400,8.4200,8.4350,210700
1467985259,8.4400,8.4400,8.4200,8.4250,123900
1467985318,8.4700,8.4700,8.4300,8.4400,107800
1467985378,8.4900,8.4900,8.4600,8.4700,173100
1467985439,8.5200,8.5250,8.4850,8.4900,442600
1467985440,8.5139,8.5300,8.5100,8.5200,482400
1467985556,8.5000,8.5200,8.4900,8.5200,168600
1467985618,8.4870,8.5100,8.4800,8.4900,347000
1467985678,8.4800,8.4900,8.4700,8.4850,195000
1467985736,8.4800,8.4900,8.4800,8.4900,67000
1467985799,8.4900,8.4950,8.4800,8.4900,58800
1467985807,8.5000,8.5038,8.4950,8.5000,48400
1467985919,8.5000,8.5200,8.5000,8.5000,74100
1467985979,8.5050,8.5100,8.4950,8.5100,82000
1467986039,8.5100,8.5100,8.5000,8.5001,4700
1467986099,8.5040,8.5150,8.5000,8.5010,81700
1467986100,8.5000,8.5100,8.4900,8.5000,34500
1467986164,8.4850,8.5000,8.4800,8.4900,21900
1467986278,8.4800,8.4900,8.4738,8.4800,16800
1467986338,8.4900,8.4950,8.4800,8.4800,58600
1467986341,8.4950,8.5000,8.4850,8.4950,41600
1467986401,8.5030,8.5100,8.5000,8.5000,24100
1467986467,8.5150,8.5200,8.5000,8.5000,28700
1467986579,8.5250,8.5300,8.5150,8.5200,59700
1467986635,8.5100,8.5300,8.5100,8.5300,42700
1467986640,8.5100,8.5200,8.5100,8.5101,19100
1467986758,8.5100,8.5200,8.5050,8.5100,62500
1467986761,8.5150,8.5200,8.5100,8.5100,3600
1467986823,8.5150,8.5200,8.5100,8.5100,44200
1467986939,8.4900,8.5200,8.4850,8.5200,181700
1467986998,8.5000,8.5000,8.4850,8.4850,38500
1467987059,8.4900,8.5000,8.4900,8.5000,7100
1467987119,8.5000,8.5000,8.4900,8.4900,37100
1467987122,8.4800,8.4950,8.4800,8.4900,67200
1467987239,8.4800,8.4900,8.4800,8.4899,24100
1467987298,8.4850,8.4850,8.4600,8.4800,135600
1467987345,8.4800,8.4900,8.4750,8.4900,52700
1467987419,8.4600,8.4800,8.4600,8.4750,42800
1467987479,8.4600,8.4700,8.4600,8.4600,13600
1467987538,8.4300,8.4650,8.4300,8.4600,146100
1467987599,8.4150,8.4300,8.4100,8.4300,35600
1467987656,8.3900,8.4100,8.3900,8.4100,87100
1467987717,8.3800,8.3999,8.3800,8.3900,31700
1467987779,8.3800,8.3900,8.3700,8.3800,43100
1467987781,8.3900,8.3950,8.3750,8.3799,351000
1467987899,8.4200,8.4200,8.3900,8.3900,131000
1467987946,8.4150,8.4300,8.4150,8.4200,57500
1467988019,8.4250,8.4300,8.4135,8.4135,22200
1467988079,8.4200,8.4300,8.4200,8.4300,20900
1467988139,8.4400,8.4500,8.4200,8.4200,61300
1467988195,8.4550,8.4600,8.4450,8.4450,40100
1467988257,8.4500,8.4700,8.4500,8.4550,88100
1467988317,8.4500,8.4699,8.4500,8.4550,160000
1467988372,8.4450,8.4600,8.4400,8.4500,23500
1467988436,8.4300,8.4400,8.4300,8.4400,38700
1467988499,8.4200,8.4300,8.4200,8.4300,32300
1467988500,8.4350,8.4350,8.4200,8.4200,34400
1467988619,8.4500,8.4500,8.4300,8.4301,22600
1467988674,8.4250,8.4450,8.4250,8.4450,39500
1467988681,8.4400,8.4400,8.4250,8.4250,31000
1467988746,8.4300,8.4400,8.4250,8.4400,25400
1467988859,8.4450,8.4500,8.4200,8.4200,44500
1467988919,8.4500,8.4550,8.4450,8.4450,29700
1467988979,8.4400,8.4500,8.4400,8.4500,35200
1467988980,8.4400,8.4499,8.4400,8.4400,7600
1467989086,8.4450,8.4500,8.4325,8.4400,40600
1467989156,8.4550,8.4600,8.4400,8.4400,16700
1467989174,8.4400,8.4550,8.4400,8.4500,56100
1467989273,8.4400,8.4500,8.4400,8.4500,30700
1467989329,8.4450,8.4500,8.4400,8.4400,7000
1467989341,8.4400,8.4450,8.4400,8.4450,6500
1467989426,8.4500,8.4550,8.4450,8.4450,47000
1467989509,8.4500,8.4550,8.4400,8.4500,27600
1467989579,8.4500,8.4500,8.4400,8.4400,17100
1467989581,8.4500,8.4500,8.4435,8.4500,15600
1467989697,8.4500,8.4600,8.4450,8.4500,23600
1467989750,8.4400,8.4500,8.4400,8.4500,16200
1467989817,8.4500,8.4500,8.4350,8.4400,61100
1467989879,8.4500,8.4600,8.4400,8.4500,82900
1467989920,8.4400,8.4500,8.4400,8.4500,17800
1467989995,8.4500,8.4500,8.4400,8.4400,17000
1467990055,8.4500,8.4550,8.4500,8.4500,64100
1467990116,8.4549,8.4550,8.4500,8.4500,1700
1467990173,8.4500,8.4600,8.4500,8.4500,31500
1467990223,8.4550,8.4550,8.4500,8.4500,6700
1467990295,8.4550,8.4550,8.4500,8.4500,8500
1467990359,8.4700,8.4700,8.4500,8.4550,53600
1467990360,8.4650,8.4700,8.4600,8.4668,104600
1467990478,8.4700,8.4700,8.4600,8.4600,34300
1467990531,8.4800,8.4800,8.4650,8.4700,30500
1467990579,8.4650,8.4800,8.4600,8.4700,107600
1467990657,8.4800,8.4800,8.4638,8.4700,54300
1467990719,8.4750,8.4800,8.4750,8.4800,11300
1467990720,8.4800,8.4800,8.4750,8.4750,14300
1467990785,8.4800,8.4800,8.4750,8.4800,13000
1467990842,8.4750,8.4800,8.4700,8.4750,12200
1467990958,8.4800,8.4800,8.4701,8.4740,18100
1467990960,8.4850,8.4850,8.4700,8.4800,102200
1467991078,8.4900,8.4900,8.4800,8.4850,52600
1467991134,8.4900,8.4900,8.4850,8.4900,2100
1467991199,8.5050,8.5100,8.4850,8.4850,145800
1467991259,8.4950,8.5050,8.4950,8.5050,68700
1467991308,8.5050,8.5100,8.4900,8.4900,43400
1467991379,8.5001,8.5050,8.5000,8.5000,12900
1467991434,8.5050,8.5050,8.5000,8.5000,31500
1467991499,8.5000,8.5050,8.5000,8.5000,123300
1467991555,8.5100,8.5100,8.5050,8.5050,25700
1467991619,8.5200,8.5200,8.5050,8.5100,58700
1467991665,8.5100,8.5200,8.5100,8.5200,11900
1467991734,8.5150,8.5200,8.5100,8.5100,15500
1467991798,8.5050,8.5200,8.5050,8.5200,58700
1467991856,8.5100,8.5100,8.5000,8.5050,31300
