uri:/instrument/1.0/SNA/chartdata;type=quote;range=1d/csv
ticker:sna
Company-Name:Snap-On Incorporated Common Sto
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:161.4000
Timestamp:1468330200,1468353600
labels:1468332000,1468335600,1468339200,1468342800,1468346400,1468350000,1468353600
values:Timestamp,close,high,low,open,volume
close:161.0300,162.7000
high:161.1900,162.7200
low:161.0300,162.7000
open:161.1000,162.7200
volume:100,27400
1468330825,162.0400,162.0600,162.0300,162.0600,6600
1468330909,161.8300,161.8300,161.8300,161.8300,100
1468330998,162.2800,162.2800,161.9700,161.9700,1200
1468331081,162.2350,162.2350,162.2350,162.2350,500
1468331144,162.2859,162.2859,162.2859,162.2859,500
1468331271,162.3000,162.3100,162.3000,162.3000,400
1468331395,162.1750,162.3100,162.1000,162.1000,3200
1468331420,162.2000,162.3000,162.1201,162.3000,1700
1468331512,162.3100,162.3100,162.2250,162.2250,400
1468331559,162.2700,162.2700,162.2700,162.2700,100
1468331703,162.1300,162.2200,162.1000,162.1400,1700
1468332145,162.1250,162.1250,162.0000,162.0000,400
1468332187,162.0100,162.0100,162.0100,162.0100,100
1468332267,162.1300,162.1300,162.1300,162.1300,300
1468332473,162.1100,162.1100,162.1100,162.1100,200
1468332612,162.0600,162.0600,161.9995,161.9995,1100
1468333137,161.7500,161.7600,161.7500,161.7600,300
1468333150,161.7500,161.7500,161.7500,161.7500,500
1468333296,161.5974,161.7600,161.5200,161.7600,800
1468333373,161.6700,161.6700,161.6700,161.6700,100
1468333636,161.6250,161.7800,161.5000,161.5000,5900
1468333701,161.7200,161.8200,161.7200,161.7700,1000
1468333762,161.6400,161.8650,161.6400,161.8000,1500
1468333850,161.6500,161.6500,161.5700,161.5700,300
1468333892,161.5700,161.6550,161.5700,161.6550,600
1468333964,161.3800,161.5800,161.3800,161.5700,3200
1468334018,161.2600,161.3795,161.2600,161.3795,1300
1468334087,161.2700,161.2700,161.2700,161.2700,100
1468334132,161.2500,161.2700,161.2500,161.2700,400
1468334279,161.1900,161.2750,161.1900,161.2750,2300
1468334336,161.1100,161.1900,161.0700,161.1900,6000
1468334398,161.0950,161.2950,161.0500,161.1300,10500
1468334400,161.1700,161.2900,161.0950,161.1000,5900
1468334502,161.2250,161.3200,161.2200,161.2200,2100
1468334565,161.2400,161.3000,161.1500,161.2550,5600
1468334580,161.1400,161.3050,161.1300,161.1800,4400
1468334644,161.0300,161.1900,161.0300,161.1450,7200
1468334747,161.4995,161.5000,161.1000,161.1000,11300
1468334771,161.4200,161.4250,161.2100,161.4250,4400
1468334824,161.3500,161.5000,161.3500,161.3900,3500
1468334901,161.4500,161.5000,161.4430,161.4700,4400
1468334963,161.5000,161.5000,161.4500,161.4500,1300
1468335002,161.4405,161.4900,161.4405,161.4900,200
1468335092,161.4900,161.5000,161.4650,161.4900,3100
1468335146,161.4900,161.5000,161.3700,161.3700,7000
1468335186,161.4800,161.5000,161.4800,161.5000,1400
1468335240,161.4000,161.4000,161.4000,161.4000,100
1468335389,161.2500,161.2900,161.2500,161.2900,3000
1468335491,161.3200,161.3200,161.3200,161.3200,1000
1468335589,161.4400,161.4400,161.3500,161.3500,1000
1468335600,161.3700,161.3900,161.3300,161.3900,2000
1468335821,161.4000,161.4000,161.4000,161.4000,100
1468335849,161.3500,161.3800,161.3400,161.3800,3100
1468335902,161.4800,161.4800,161.3000,161.3100,3400
1468336022,161.3700,161.5000,161.3700,161.4900,2500
1468336136,161.4199,161.4199,161.4199,161.4199,200
1468336180,161.3400,161.3500,161.2500,161.3450,1100
1468336235,161.3800,161.3800,161.3600,161.3800,400
1468336278,161.4100,161.4100,161.4100,161.4100,100
1468336339,161.3500,161.3945,161.3500,161.3945,700
1468336603,161.3700,161.3700,161.3600,161.3600,1300
1468336838,161.3600,161.3700,161.3600,161.3700,500
1468336869,161.4100,161.4100,161.4100,161.4100,100
1468337045,161.4500,161.4500,161.3785,161.3785,300
1468337138,161.7200,161.7200,161.5600,161.5600,3400
1468337177,161.7519,161.7519,161.7396,161.7396,200
1468337245,161.8800,161.8800,161.8800,161.8800,300
1468337634,161.8000,161.8000,161.8000,161.8000,700
1468337729,161.7100,161.7500,161.7100,161.7500,600
1468337833,161.7500,161.7500,161.7500,161.7500,600
1468338217,161.8500,161.8500,161.8500,161.8500,100
1468338267,161.8050,161.8050,161.8050,161.8050,100
1468338553,161.8000,161.8583,161.8000,161.8583,1400
1468338938,161.8200,161.8200,161.8200,161.8200,400
1468339057,161.8750,161.9700,161.8400,161.9600,1500
1468339196,161.9100,161.9100,161.9000,161.9000,10200
1468339256,162.1100,162.1100,161.8855,161.9100,1800
1468339305,162.1100,162.1100,162.0900,162.0900,600
1468339322,162.0200,162.1100,161.9900,162.1100,1300
1468339390,162.0400,162.0400,162.0400,162.0400,300
1468339586,162.0600,162.0600,162.0000,162.0000,500
1468339679,162.1100,162.1100,162.1100,162.1100,500
1468339682,162.2500,162.2500,162.1480,162.1480,1500
1468339792,162.2900,162.2900,162.2900,162.2900,200
1468339899,162.1900,162.2400,162.1900,162.2400,600
1468340045,162.2800,162.2800,162.1500,162.1500,1200
1468340116,162.2191,162.2191,162.1501,162.1501,400
1468340178,162.2125,162.2125,162.2125,162.2125,100
1468340318,162.3300,162.3300,162.3100,162.3100,600
1468340418,162.3595,162.3595,162.3595,162.3595,200
1468340576,162.2601,162.2601,162.2601,162.2601,400
1468340623,162.2300,162.2600,162.2300,162.2600,600
1468340653,162.3099,162.3099,162.2000,162.2000,400
1468340857,162.3200,162.3200,162.3200,162.3200,100
1468340911,162.2800,162.2800,162.2800,162.2800,800
1468340966,162.2600,162.2600,162.2600,162.2600,100
1468341129,162.3900,162.4300,162.3900,162.3900,1700
1468341210,162.2900,162.2900,162.2900,162.2900,200
1468341413,162.2200,162.2400,162.2200,162.2400,300
1468341424,162.1700,162.1900,162.1700,162.1900,300
1468341849,162.1650,162.1650,162.1600,162.1600,200
1468342006,162.1000,162.1000,162.0900,162.1000,500
1468342059,162.0900,162.0900,162.0500,162.0500,300
1468342122,162.1600,162.1600,162.0200,162.0400,2400
1468342142,162.1800,162.1800,162.1200,162.1200,400
1468342489,162.1500,162.1500,162.1401,162.1401,300
1468342600,162.1520,162.1520,162.1520,162.1520,200
1468342765,162.1600,162.1600,162.1600,162.1600,200
1468342916,162.1500,162.1500,162.1500,162.1500,100
1468342950,162.1500,162.1500,162.1500,162.1500,1300
1468343437,162.0400,162.0400,162.0400,162.0400,300
1468343502,162.1600,162.1600,162.1300,162.1300,500
1468343533,162.2100,162.2100,162.1550,162.2100,400
1468343646,162.1600,162.1600,162.1600,162.1600,100
1468343755,162.2300,162.2300,162.2000,162.2000,500
1468343878,162.2900,162.2900,162.2200,162.2400,600
1468343882,162.2400,162.3800,162.2400,162.3400,2300
1468344009,162.2795,162.2795,162.2000,162.2000,400
1468344193,162.2300,162.2300,162.1700,162.1700,400
1468344347,162.2700,162.2700,162.2700,162.2700,700
1468344605,162.3000,162.3000,162.2800,162.2800,400
1468344719,162.3100,162.3100,162.3100,162.3100,500
1468344731,162.2800,162.2800,162.2800,162.2800,200
1468344987,162.2200,162.2200,162.2200,162.2200,300
1468345092,162.2000,162.2000,162.2000,162.2000,200
1468345307,162.2450,162.3000,162.2450,162.3000,300
1468345327,162.2500,162.2500,162.2500,162.2500,200
1468345402,162.1800,162.2600,162.1800,162.2600,600
1468345612,162.1900,162.1900,162.1900,162.1900,400
1468345646,162.3000,162.3000,162.2000,162.2500,1800
1468345680,162.2200,162.3400,162.2200,162.2900,1700
1468346096,162.4300,162.4300,162.2400,162.2400,21900
1468346109,162.4100,162.4200,162.3300,162.3300,2600
1468346195,162.2100,162.2600,162.2100,162.2600,200
1468346265,162.1600,162.1600,162.1600,162.1600,300
1468346349,162.1300,162.1500,162.1300,162.1500,2100
1468346601,162.2400,162.2400,162.2400,162.2400,200
1468346666,162.3400,162.3400,162.3200,162.3200,300
1468346767,162.4800,162.4800,162.4300,162.4300,500
1468346877,162.2800,162.3900,162.2800,162.3900,1700
1468346883,162.3700,162.3700,162.2891,162.3400,1100
1468347006,162.4500,162.4500,162.4300,162.4300,300
1468347118,162.3900,162.3900,162.3900,162.3900,100
1468347152,162.3800,162.3800,162.3800,162.3800,100
1468347249,162.4250,162.4250,162.4250,162.4250,2800
1468347473,162.5300,162.5300,162.5300,162.5300,200
1468347522,162.5100,162.5100,162.5100,162.5100,100
1468347540,162.5600,162.5600,162.5200,162.5200,1800
1468347601,162.4900,162.5600,162.4000,162.5600,2900
1468347909,162.5500,162.5500,162.5500,162.5500,1000
1468348056,162.5500,162.5500,162.5500,162.5500,200
1468348155,162.5000,162.5000,162.5000,162.5000,900
1468348305,162.5329,162.5329,162.5329,162.5329,100
1468348401,162.5300,162.5300,162.5100,162.5200,1200
1468348453,162.4700,162.5100,162.4700,162.5100,500
1468348562,162.4489,162.4489,162.4489,162.4489,100
1468348632,162.4700,162.4700,162.4700,162.4700,100
1468348745,162.5100,162.5100,162.5100,162.5100,600
1468348883,162.5800,162.5800,162.5800,162.5800,500
1468349051,162.6085,162.6085,162.5550,162.5550,700
1468349349,162.4800,162.5500,162.4800,162.5500,1300
1468349421,162.5400,162.5400,162.5400,162.5400,100
1468349506,162.6700,162.7000,162.5600,162.5600,9700
1468349525,162.5800,162.5800,162.5800,162.5800,300
1468349622,162.5400,162.5500,162.5400,162.5500,300
1468349707,162.5800,162.5800,162.5500,162.5600,1000
1468349789,162.4900,162.4900,162.4900,162.4900,800
1468349909,162.5300,162.5600,162.5300,162.5500,1100
1468350057,162.6600,162.6600,162.6600,162.6600,1800
1468350212,162.5800,162.6400,162.5800,162.6400,1500
1468350326,162.5500,162.5500,162.5400,162.5500,800
1468350468,162.5400,162.5400,162.5400,162.5400,100
