uri:/instrument/1.0/SPG/chartdata;type=quote;range=1d/csv
ticker:spg
Company-Name:Simon Property Group, Inc. Comm
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:206.5000
Timestamp:1467034200,1467057600
labels:1467036000,1467039600,1467043200,1467046800,1467050400,1467054000,1467057600
values:Timestamp,close,high,low,open,volume
close:203.9000,208.1143
high:204.0200,208.1143
low:203.8800,208.0300
open:203.9700,208.0400
volume:100,150800
1467034242,204.7700,204.9800,204.6900,204.9400,20600
1467034391,205.6300,205.6300,205.5500,205.5500,2200
1467034485,206.0100,206.0100,205.8100,205.8100,1000
1467034520,206.3600,206.3600,206.3600,206.3600,4400
1467034610,206.2000,206.2000,205.8100,206.0100,1100
1467034649,206.0300,206.1050,205.9200,205.9400,3200
1467034703,205.7400,206.1300,205.7400,206.1000,4000
1467034770,205.8700,205.8700,205.7200,205.7250,7800
1467034868,205.2000,205.3400,205.1200,205.1200,3800
1467034979,205.2000,205.5600,204.9600,205.2300,7100
1467034981,205.4100,205.6850,205.1300,205.6850,11000
1467035097,205.6700,205.7000,205.5500,205.6300,4400
1467035158,205.9600,206.1400,205.5750,205.6800,10700
1467035217,206.0800,206.0900,206.0100,206.0100,5400
1467035224,205.9432,206.2200,205.7100,205.9550,2000
1467035323,206.0200,206.0550,206.0200,206.0550,600
1467035343,205.6500,206.0100,205.5600,205.8850,34000
1467035423,205.4700,205.6000,205.4400,205.6000,2100
1467035494,205.3700,205.6700,205.3700,205.6200,2000
1467035530,205.6900,205.6900,205.4400,205.4400,1500
1467035597,205.7000,205.8000,205.6900,205.6900,3300
1467035652,205.7200,205.7900,205.6600,205.7900,3800
1467035741,205.8700,205.8700,205.8700,205.8700,400
1467035761,205.8000,205.9100,205.7900,205.9100,1800
1467035871,205.9100,206.0550,205.9100,206.0300,2700
1467035944,205.7550,205.8650,205.7000,205.8100,11900
1467036040,205.9800,205.9800,205.7400,205.8000,2800
1467036099,205.8500,205.8900,205.8200,205.8200,800
1467036128,205.8055,205.8650,205.8055,205.8650,2000
1467036186,205.7000,205.8200,205.7000,205.8000,3400
1467036280,205.5950,205.6150,205.5100,205.6150,4600
1467036303,205.6400,205.6400,205.5100,205.5100,2100
1467036363,205.6400,205.6400,205.4150,205.5100,6100
1467036492,205.4300,205.4300,205.4300,205.4300,2000
1467036597,205.5000,205.5000,205.4500,205.4500,900
1467036606,205.4600,205.4900,205.4600,205.4900,1000
1467036729,205.3978,205.3978,205.3750,205.3750,1300
1467036837,205.2800,205.2800,205.2100,205.2100,2600
1467036897,205.0900,205.2600,205.0900,205.2600,2600
1467036903,205.0975,205.2050,205.0400,205.0400,1600
1467036999,204.9100,205.0200,204.9000,205.0200,2500
1467037058,204.8700,204.9000,204.8700,204.9000,600
1467037094,204.7300,204.8250,204.6900,204.8250,2600
1467037143,204.6100,204.6100,204.5200,204.5200,3600
1467037225,204.5600,204.6800,204.4700,204.5700,2800
1467037300,204.5900,204.6400,204.5600,204.6400,6300
1467037322,204.5500,204.6200,204.5500,204.5700,5900
1467037415,204.5000,204.5000,204.5000,204.5000,2700
1467037505,204.4400,204.4400,204.3100,204.3600,2400
1467037617,204.7000,204.7500,204.4900,204.4900,6400
1467037634,204.5100,204.5150,204.5100,204.5150,1700
1467037702,204.4300,204.4300,204.4300,204.4300,400
1467037748,204.2300,204.4800,204.1500,204.4800,3600
1467037859,203.9000,204.0700,203.9000,204.0700,400
1467037861,203.9400,204.0200,203.8800,204.0100,5500
1467037922,204.2300,204.2300,203.9700,203.9700,7500
1467038039,204.1500,204.1900,204.0800,204.1900,3200
1467038043,204.0050,204.1500,204.0050,204.0800,9100
1467038159,204.2100,204.2100,204.0900,204.0900,2100
1467038172,204.1000,204.2000,204.0300,204.1300,6100
1467038221,204.2200,204.2200,204.1400,204.1900,1800
1467038300,204.3799,204.3799,204.2500,204.2500,1600
1467038363,204.2300,204.3600,204.2200,204.3150,10100
1467038402,204.4800,204.4800,204.2500,204.2500,4300
1467038463,204.4000,204.4900,204.4000,204.4500,4200
1467038523,204.4700,204.4700,204.2400,204.3600,7600
1467038583,204.8300,204.8800,204.5100,204.5100,9200
1467038664,204.9300,205.0150,204.8700,204.9000,4000
1467038703,204.9300,204.9500,204.8900,204.8900,5800
1467038826,204.6900,204.6900,204.6000,204.6300,3400
1467038939,204.6250,204.6700,204.6000,204.6000,4300
1467038946,204.5500,204.6400,204.4900,204.6400,900
1467039002,204.6300,204.6300,204.5200,204.6000,4400
1467039100,204.4500,204.4500,204.4100,204.4100,1500
1467039132,204.2100,204.3700,204.2100,204.3700,4400
1467039224,204.3250,204.3250,204.3250,204.3250,800
1467039271,204.5000,204.5000,204.4100,204.4800,1600
1467039308,204.4700,204.4700,204.3950,204.4700,7000
1467039372,204.4250,204.5000,204.3500,204.4600,3500
1467039451,204.4500,204.4500,204.3200,204.4100,5200
1467039481,204.3950,204.3950,204.3400,204.3650,1800
1467039541,204.3200,204.4000,204.2800,204.2800,4700
1467039622,204.5700,204.5700,204.2500,204.2500,7700
1467039686,204.5750,204.5750,204.5300,204.5300,1000
1467039732,204.7300,204.7400,204.6800,204.6800,1600
1467039785,204.8100,204.8100,204.8100,204.8100,800
1467039897,204.8700,204.8700,204.7500,204.8000,9200
1467039901,204.7500,204.8700,204.7500,204.8600,1900
1467039964,204.8800,204.8800,204.7500,204.8000,6500
1467040075,204.8800,204.9000,204.8800,204.9000,500
1467040085,204.7400,204.8700,204.6000,204.8700,4100
1467040141,204.8100,204.8900,204.7210,204.7210,3200
1467040231,204.8400,204.9100,204.8350,204.8350,1800
1467040263,204.8000,204.8500,204.7600,204.8400,1500
1467040336,204.6400,204.7500,204.5700,204.7100,7300
1467040420,204.6100,204.7600,204.6100,204.7600,1300
1467040448,204.6300,204.7600,204.6200,204.6800,5500
1467040598,204.6700,204.6700,204.6100,204.6100,1600
1467040627,204.6700,204.6800,204.6700,204.6800,500
1467040717,204.8300,204.8300,204.6400,204.6800,4300
1467040789,204.6400,204.7750,204.6400,204.7200,2100
1467040813,204.8000,204.8000,204.5900,204.5900,3100
1467040871,204.7900,204.7900,204.6100,204.6100,700
1467041034,204.6300,204.6550,204.5100,204.6000,4300
1467041069,204.6900,204.6900,204.6900,204.6900,800
1467041145,204.6700,204.7000,204.5400,204.7000,900
1467041164,204.8800,204.8800,204.6715,204.6715,2400
1467041254,205.0800,205.0800,204.9900,204.9900,1300
1467041288,205.1000,205.1000,205.1000,205.1000,100
1467041355,205.2300,205.2500,205.1800,205.2100,4800
1467041431,205.1900,205.2600,205.1900,205.2600,1800
1467041524,205.4200,205.4200,205.2300,205.3200,3200
1467041594,205.2250,205.3200,205.2000,205.2600,3000
1467041644,205.2200,205.3400,205.2200,205.2400,1600
1467041708,205.1600,205.2450,205.0600,205.0600,1900
1467041762,205.2500,205.3000,205.2500,205.2700,1600
1467041913,205.3350,205.3600,205.3350,205.3600,3500
1467041954,205.2500,205.3600,205.1700,205.2600,8600
1467042009,205.1200,205.2200,205.1200,205.2200,1300
1467042100,205.0000,205.1500,205.0000,205.1500,2600
1467042179,205.1700,205.1700,205.0500,205.0500,3200
1467042180,205.1450,205.2000,205.1400,205.1900,7500
1467042241,205.1100,205.1900,205.1000,205.1900,1700
1467042358,205.3000,205.4300,205.1300,205.1750,9900
1467042361,205.2800,205.4000,205.2000,205.3000,3000
1467042430,205.7000,205.7700,205.4700,205.5000,3700
1467042511,205.7600,205.7600,205.5900,205.5900,1000
1467042553,206.0400,206.0700,205.6700,205.6700,8300
1467042600,205.9850,206.1200,205.9850,206.0300,2200
1467042664,206.0900,206.1200,205.9400,205.9400,3500
1467042734,205.9950,206.1200,205.9300,206.0700,2700
1467042838,206.1400,206.1400,205.9950,206.0600,8100
