uri:/instrument/1.0/SPLS/chartdata;type=quote;range=1d/csv
ticker:spls
Company-Name:Staples, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:9.1100
Timestamp:1469539800,1469563200
labels:1469541600,1469545200,1469548800,1469552400,1469556000,1469559600,1469563200
values:Timestamp,close,high,low,open,volume
close:9.0900,9.2750
high:9.0900,9.2900
low:9.0800,9.2700
open:9.0800,9.2750
volume:0,491800
1469539821,9.1100,9.1100,9.1000,9.1000,70900
1469539866,9.0900,9.0900,9.0800,9.0800,12100
1469539975,9.1200,9.1200,9.0900,9.0957,7600
1469539983,9.1100,9.1100,9.1000,9.1100,1800
1469540079,9.1300,9.1300,9.1050,9.1100,5900
1469540148,9.1550,9.1550,9.1400,9.1400,5600
1469540161,9.1500,9.1500,9.1500,9.1500,100
1469540260,9.1500,9.1501,9.1500,9.1501,1200
1469540327,9.1400,9.1500,9.1300,9.1500,15200
1469540391,9.1440,9.1500,9.1440,9.1500,7900
1469540401,9.1700,9.1700,9.1500,9.1500,16400
1469540496,9.1600,9.1700,9.1600,9.1700,18400
1469540564,9.1900,9.1900,9.1800,9.1800,6900
1469540627,9.1900,9.1900,9.1800,9.1850,12600
1469540692,9.2100,9.2100,9.1800,9.1875,16700
1469540757,9.1950,9.2200,9.1900,9.2100,22200
1469540817,9.1800,9.1900,9.1800,9.1900,5100
1469540875,9.1900,9.2100,9.1800,9.1800,41600
1469540933,9.2100,9.2100,9.1900,9.1900,30000
1469540998,9.2200,9.2200,9.2000,9.2100,10900
1469541051,9.2500,9.2500,9.2300,9.2300,41800
1469541066,9.2500,9.2500,9.2500,9.2500,1200
1469541121,9.2300,9.2450,9.2300,9.2400,18400
1469541220,9.2300,9.2400,9.2300,9.2400,18800
1469541286,9.2200,9.2200,9.2200,9.2200,200
1469541308,9.2200,9.2300,9.2200,9.2250,18000
1469541373,9.2300,9.2350,9.2250,9.2250,4500
1469541474,9.2350,9.2350,9.2300,9.2300,900
1469541513,9.2500,9.2500,9.2350,9.2350,13100
1469541541,9.2500,9.2500,9.2470,9.2470,5100
1469541652,9.2500,9.2500,9.2400,9.2450,3200
1469541665,9.2400,9.2500,9.2400,9.2400,1600
1469541742,9.2350,9.2400,9.2350,9.2400,8500
1469541825,9.2300,9.2300,9.2250,9.2250,4800
1469541885,9.2300,9.2300,9.2300,9.2300,600
1469541936,9.2250,9.2300,9.2250,9.2300,6500
1469542078,9.2300,9.2300,9.2200,9.2200,4900
1469542098,9.2200,9.2250,9.2199,9.2240,17200
1469542258,9.2300,9.2300,9.2200,9.2300,22100
1469542322,9.2200,9.2300,9.2200,9.2246,2900
1469542410,9.2200,9.2250,9.2150,9.2200,8800
1469542482,9.2350,9.2350,9.2200,9.2200,16200
1469542537,9.2350,9.2500,9.2300,9.2350,20200
1469542613,9.2400,9.2500,9.2400,9.2400,10800
1469542665,9.2450,9.2450,9.2400,9.2400,3400
1469542732,9.2400,9.2450,9.2400,9.2400,700
1469542781,9.2450,9.2500,9.2400,9.2400,1800
1469542847,9.2700,9.2700,9.2450,9.2450,12800
1469542894,9.2700,9.2700,9.2650,9.2700,900
1469542931,9.2700,9.2700,9.2600,9.2600,4400
1469543016,9.2500,9.2700,9.2500,9.2700,8800
1469543097,9.2656,9.2700,9.2500,9.2600,11600
1469543100,9.2650,9.2700,9.2650,9.2700,600
1469543164,9.2600,9.2650,9.2600,9.2650,3100
1469543262,9.2650,9.2659,9.2650,9.2650,1200
1469543284,9.2600,9.2700,9.2600,9.2600,2700
1469543393,9.2750,9.2900,9.2600,9.2650,24100
1469543455,9.2700,9.2800,9.2700,9.2750,5600
1469543465,9.2700,9.2750,9.2700,9.2750,7700
1469543528,9.2600,9.2656,9.2550,9.2600,14200
1469543580,9.2600,9.2644,9.2600,9.2600,1400
1469543694,9.2600,9.2600,9.2600,9.2600,400
1469543726,9.2600,9.2700,9.2600,9.2650,1100
1469543798,9.2600,9.2659,9.2600,9.2600,1700
1469543929,9.2600,9.2677,9.2600,9.2650,3500
1469543948,9.2700,9.2700,9.2600,9.2600,900
1469544014,9.2650,9.2650,9.2650,9.2650,700
1469544118,9.2650,9.2650,9.2650,9.2650,200
1469544158,9.2650,9.2650,9.2650,9.2650,200
1469544230,9.2700,9.2700,9.2600,9.2699,1700
1469544299,9.2600,9.2700,9.2600,9.2650,9000
1469544352,9.2700,9.2700,9.2700,9.2700,2100
1469544417,9.2650,9.2700,9.2650,9.2700,900
1469544468,9.2650,9.2700,9.2647,9.2650,6200
1469544506,9.2699,9.2700,9.2600,9.2700,1900
1469544597,9.2650,9.2700,9.2650,9.2664,1500
1469544602,9.2500,9.2700,9.2500,9.2700,13700
1469544696,9.2500,9.2500,9.2500,9.2500,300
1469544731,9.2500,9.2550,9.2500,9.2500,2400
1469544804,9.2500,9.2550,9.2500,9.2500,900
1469544852,9.2300,9.2400,9.2300,9.2400,24400
1469544940,9.2300,9.2350,9.2300,9.2350,800
1469544972,9.2143,9.2200,9.2100,9.2200,10300
1469545068,9.2300,9.2300,9.2200,9.2200,21600
1469545138,9.2201,9.2300,9.2200,9.2250,3200
1469545153,9.1900,9.2200,9.1900,9.2200,15300
1469545224,9.1911,9.1911,9.1911,9.1911,500
1469545312,9.1900,9.2100,9.1900,9.2050,44600
1469545370,9.1900,9.1940,9.1900,9.1900,1100
1469545428,9.1900,9.1900,9.1900,9.1900,600
1469545465,9.1947,9.1950,9.1947,9.1950,1100
1469545538,9.1900,9.1950,9.1900,9.1950,800
1469545572,9.1900,9.1950,9.1900,9.1900,2700
1469545673,9.1900,9.2000,9.1900,9.1950,6700
1469545736,9.1900,9.1950,9.1900,9.1900,4000
1469545799,9.2000,9.2000,9.1900,9.1950,5400
1469545809,9.2050,9.2050,9.2000,9.2000,3100
1469545915,9.2050,9.2082,9.2000,9.2000,2200
1469545943,9.1950,9.1950,9.1900,9.1900,800
1469546033,9.2000,9.2000,9.1950,9.2000,2800
1469546095,9.2050,9.2100,9.2000,9.2000,8000
1469546106,9.2100,9.2100,9.2000,9.2100,3900
1469546215,9.2000,9.2100,9.2000,9.2100,4100
1469546274,9.2000,9.2090,9.2000,9.2000,3300
1469546339,9.2000,9.2050,9.2000,9.2000,1400
1469546398,9.2000,9.2090,9.2000,9.2000,2400
1469546457,9.2000,9.2050,9.2000,9.2000,12400
1469546505,9.1800,9.1900,9.1800,9.1900,4000
