uri:/instrument/1.0/SWK/chartdata;type=quote;range=1d/csv
ticker:swk
Company-Name:Stanley Black & Decker, Inc. Co
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:114.0700
Timestamp:1466602200,1466625600
labels:1466604000,1466607600,1466611200,1466614800,1466618400,1466622000,1466625600
values:Timestamp,close,high,low,open,volume
close:113.5200,114.3300
high:113.5700,114.3600
low:113.5200,114.2915
open:113.5300,114.3400
volume:100,16500
1466602208,113.9201,114.1200,113.9200,113.9200,13100
1466602318,113.8600,113.9400,113.8600,113.9400,800
1466602352,113.7500,113.7500,113.7500,113.7500,100
1466602413,113.7850,113.8700,113.7400,113.7400,900
1466602468,113.6500,113.7850,113.6500,113.6600,500
1466602508,113.7603,113.7603,113.6600,113.6700,1400
1466602601,113.7620,113.7900,113.6900,113.7650,1800
1466602644,113.8300,113.8500,113.8000,113.8200,3100
1466602686,113.8000,113.8500,113.8000,113.8500,500
1466602768,113.8775,113.9000,113.8405,113.9000,400
1466602859,114.1500,114.1500,113.8600,113.8900,2200
1466602946,114.0500,114.0500,114.0500,114.0500,800
1466603007,113.9700,114.1100,113.9700,114.0500,800
1466603079,113.9500,114.0000,113.9500,114.0000,500
1466603103,113.9800,113.9850,113.9400,113.9700,1600
1466603219,114.0300,114.0300,113.9700,113.9800,1600
1466603235,113.9800,113.9940,113.9800,113.9940,600
1466603321,113.9500,113.9900,113.9500,113.9500,600
1466603373,113.9600,113.9600,113.9500,113.9500,200
1466603421,114.0900,114.0900,114.0150,114.0200,1900
1466603505,114.0900,114.1200,114.0800,114.0900,2700
1466603558,114.0649,114.0649,114.0500,114.0500,300
1466603580,114.0400,114.0400,113.9900,114.0300,400
1466603669,113.9900,114.0000,113.9800,114.0000,3000
1466603749,113.9450,113.9800,113.9100,113.9700,3400
1466603819,113.9300,113.9800,113.9300,113.9500,5700
1466603823,114.0700,114.0995,113.9600,113.9600,2900
1466603889,114.0700,114.0900,114.0600,114.0900,1400
1466603986,114.0000,114.0000,114.0000,114.0000,100
1466604045,113.9800,114.0310,113.9716,114.0310,4800
1466604063,113.8700,114.0000,113.8700,113.9900,1500
1466604129,113.8900,113.8900,113.8400,113.8400,2100
1466604226,113.9300,113.9700,113.9300,113.9700,300
1466604254,113.9000,113.9750,113.8800,113.9750,2300
1466604328,113.9100,113.9100,113.8900,113.8900,1200
1466604430,113.9400,113.9400,113.9150,113.9275,500
1466604484,113.9000,113.9300,113.8600,113.8900,2900
1466604599,113.9000,113.9400,113.8700,113.9400,3000
1466604602,113.8900,113.9600,113.8900,113.9400,1100
1466604773,113.8400,113.9100,113.8400,113.8900,1800
1466604827,113.8800,113.8900,113.8800,113.8800,500
1466604860,113.8700,113.8700,113.8400,113.8400,400
1466604954,113.9500,113.9500,113.9200,113.9200,1900
1466605018,113.9600,114.0300,113.9500,113.9500,5300
1466605078,114.0800,114.0900,113.9600,113.9600,4200
1466605081,114.1700,114.1700,114.0438,114.0900,2900
1466605140,114.1200,114.1900,114.0000,114.1700,8400
1466605235,114.1300,114.1500,114.1200,114.1300,1800
1466605317,114.1200,114.1500,114.1150,114.1400,2100
1466605321,114.1500,114.2200,114.1200,114.1600,4000
1466605395,114.1500,114.1500,114.1000,114.1200,1800
1466605442,114.1300,114.1400,114.1100,114.1300,1200
1466605502,114.1500,114.1700,114.1250,114.1250,1100
1466605591,114.1475,114.1600,114.1115,114.1115,900
1466605627,114.1500,114.1700,114.1400,114.1700,900
1466605710,114.2250,114.2250,114.2050,114.2100,700
1466605797,114.2915,114.3500,114.2915,114.3400,300
1466605800,114.1850,114.2700,114.1850,114.2600,1800
1466605912,114.2264,114.2264,114.1800,114.1800,700
1466605920,114.2100,114.2100,114.2100,114.2100,200
1466605995,114.1350,114.1700,114.1200,114.1600,1400
1466606097,114.1300,114.1350,114.0900,114.1100,1700
1466606133,114.1900,114.1900,114.1250,114.1250,1500
1466606164,114.2300,114.2300,114.1700,114.2000,1000
1466606223,114.1900,114.1900,114.1500,114.1700,700
1466606345,114.2000,114.2300,114.1600,114.2200,800
1466606410,114.1700,114.1700,114.1700,114.1700,200
1466606471,114.1700,114.2100,114.1700,114.2100,500
1466606578,114.2300,114.2300,114.1900,114.1900,700
1466606600,114.2450,114.2450,114.2100,114.2100,400
1466606660,114.2200,114.2400,114.2000,114.2300,1500
1466606709,114.1100,114.2000,114.1100,114.2000,500
1466606767,114.2000,114.2000,114.1300,114.2000,900
1466606875,114.2700,114.2750,114.2300,114.2300,1400
1466606930,114.2300,114.2540,114.2300,114.2540,600
1466606986,114.1600,114.2200,114.1550,114.2100,1300
1466607000,114.2400,114.2400,114.1350,114.1400,1500
1466607100,114.2300,114.2300,114.2300,114.2300,200
1466607175,114.1900,114.2400,114.1900,114.2400,1500
1466607180,114.2000,114.2100,114.2000,114.2000,1200
1466607254,114.2200,114.2300,114.2200,114.2200,600
1466607359,114.2700,114.2700,114.2500,114.2600,400
1466607366,114.3300,114.3300,114.2400,114.2500,1300
1466607429,114.2900,114.3600,114.2900,114.3300,3800
1466607538,114.2950,114.3000,114.2800,114.2800,500
1466607553,114.2100,114.2600,114.2100,114.2600,700
1466607609,114.2900,114.2900,114.2600,114.2700,1000
1466607726,114.2200,114.2200,114.2200,114.2200,800
1466607803,114.2100,114.2600,114.2100,114.2200,700
1466607906,114.2200,114.2500,114.2100,114.2200,2500
1466607987,114.2500,114.2500,114.2500,114.2500,100
1466608077,114.1800,114.2300,114.1800,114.2100,16500
1466608126,114.1300,114.1300,114.1300,114.1300,300
1466608147,114.1500,114.1700,114.1500,114.1600,700
1466608200,114.1400,114.1800,114.1300,114.1500,1500
1466608291,114.1200,114.1200,114.1200,114.1200,100
1466608341,114.1200,114.1600,114.1200,114.1500,1100
1466608459,114.1300,114.1300,114.1300,114.1300,300
1466608500,114.1148,114.1500,114.0600,114.1500,1300
1466608569,114.1050,114.1400,114.0500,114.0500,1000
1466608654,114.1700,114.1700,114.1700,114.1700,600
1466608689,114.1100,114.1600,114.1100,114.1600,900
1466608773,114.0900,114.0900,114.0900,114.0900,200
1466608835,114.1000,114.1000,114.1000,114.1000,100
1466608861,114.1475,114.1500,114.1000,114.1400,800
1466608926,114.1500,114.1600,114.1500,114.1600,500
1466608985,114.1400,114.1900,114.1400,114.1900,1000
1466609046,114.0900,114.0900,114.0900,114.0900,200
1466609109,114.0950,114.0950,114.0950,114.0950,100
1466609195,114.1300,114.1300,114.1300,114.1300,200
1466609221,114.1600,114.1600,114.1000,114.1000,1100
1466609299,114.1600,114.1600,114.1400,114.1400,200
1466609349,114.1800,114.1800,114.1800,114.1800,300
1466609400,113.9400,114.1600,113.9400,114.1500,1900
1466609572,113.9100,113.9100,113.9000,113.9000,600
1466609585,113.8650,113.8900,113.8350,113.8900,2600
1466609684,113.8600,113.8600,113.8500,113.8500,500
1466609737,113.8400,113.8700,113.8400,113.8600,600
1466609800,113.9500,113.9500,113.9500,113.9500,100
1466609828,113.9590,113.9590,113.9450,113.9450,600
1466609897,113.9262,113.9500,113.9262,113.9400,1300
1466610039,113.9600,113.9600,113.9300,113.9300,1400
1466610127,113.9300,113.9600,113.8900,113.9600,1700
1466610186,113.9484,113.9484,113.9484,113.9484,100
1466610282,113.9800,114.0100,113.9700,113.9700,1000
1466610352,113.8850,113.9700,113.8850,113.9600,500
1466610362,113.9300,113.9300,113.9250,113.9250,400
1466610533,113.9800,113.9800,113.9600,113.9600,500
1466610580,113.9800,114.0100,113.9600,113.9600,1300
1466610606,113.9780,113.9800,113.9780,113.9800,200
1466610705,113.9700,113.9700,113.9700,113.9700,100
1466610803,113.9800,113.9800,113.9500,113.9500,1100
1466610869,114.0300,114.0500,113.9900,113.9900,1400
1466610942,114.0250,114.0250,114.0250,114.0250,200
1466611030,114.0600,114.0600,114.0600,114.0600,400
1466611130,114.0300,114.0600,114.0300,114.0400,1200
1466611219,114.0000,114.0300,114.0000,114.0300,900
1466611264,113.9900,114.0200,113.9900,114.0200,400
1466611326,113.9675,114.0000,113.9675,114.0000,200
1466611381,113.9650,113.9650,113.9650,113.9650,500
1466611478,114.0000,114.0000,114.0000,114.0000,200
1466611545,113.9100,113.9900,113.9100,113.9800,1400
1466611566,113.9700,113.9700,113.9500,113.9500,1000
1466611666,113.9730,114.0000,113.9400,114.0000,2900
1466611687,113.9900,113.9900,113.9900,113.9900,500
1466611759,114.0100,114.0100,113.9900,113.9900,1000
1466611802,114.0200,114.0200,114.0200,114.0200,200
1466611897,114.0500,114.0500,114.0300,114.0300,500
1466612036,114.0600,114.0600,114.0450,114.0500,800
1466612041,114.0575,114.0600,114.0500,114.0600,700
1466612153,114.0900,114.1000,114.0800,114.1000,400
1466612178,114.1000,114.1000,114.1000,114.1000,400
1466612264,114.1500,114.1500,114.1250,114.1250,400
1466612285,114.0100,114.1100,114.0100,114.1000,1900
1466612341,114.0350,114.0350,113.9950,113.9950,900
1466612480,114.0100,114.0300,114.0100,114.0200,1400
1466612576,113.9700,114.0100,113.9600,114.0100,700
1466612594,113.9100,113.9250,113.8900,113.9250,400
1466612651,113.8400,113.8650,113.8300,113.8650,700
1466612743,113.7700,113.8000,113.7700,113.7700,600
1466612819,113.8300,113.8300,113.7900,113.7900,2200
1466612834,113.8600,113.8600,113.8000,113.8000,800
1466612938,113.8400,113.8600,113.8300,113.8600,1700
1466612948,113.8600,113.8600,113.8300,113.8500,2000
1466613012,113.8600,113.8700,113.8600,113.8600,2200
1466613100,113.8800,113.8800,113.8800,113.8800,300
1466613127,113.9100,113.9100,113.8900,113.8900,500
1466613254,113.9300,113.9300,113.9300,113.9300,500
1466613311,113.9600,113.9600,113.9400,113.9400,2800
1466613366,114.0000,114.0000,113.9600,113.9600,700
1466613448,114.0100,114.0100,114.0000,114.0100,2300
1466613482,113.9900,114.0150,113.9900,114.0100,1000
1466613563,113.9900,114.0100,113.9700,113.9700,1600
1466613606,113.9800,113.9900,113.9800,113.9900,1100
1466613775,113.9500,113.9600,113.9200,113.9500,1000
1466613780,113.9200,113.9500,113.9100,113.9500,1700
1466613861,113.8900,113.9100,113.8900,113.8900,900
1466613921,113.8500,113.8750,113.8400,113.8750,800
1466613972,113.9000,113.9000,113.8500,113.8500,2100
1466614073,113.8400,113.8900,113.8100,113.8800,1600
1466614089,113.8500,113.8600,113.8300,113.8500,2000
1466614199,113.8900,113.8900,113.8600,113.8600,900
1466614238,113.9200,113.9200,113.9000,113.9000,800
1466614294,113.9400,113.9400,113.9400,113.9400,100
1466614376,113.8600,113.9400,113.8300,113.9400,7000
1466614386,113.9000,113.9000,113.8800,113.8800,400
1466614478,113.8400,113.9000,113.7500,113.8900,7900
1466614620,113.8300,113.8300,113.8000,113.8275,300
1466614730,113.8900,113.8900,113.8500,113.8500,1800
1466614760,113.9200,113.9200,113.8800,113.8800,300
1466614802,113.7900,113.8800,113.7900,113.8700,1500
1466614914,113.7900,113.8300,113.7900,113.8200,1000
1466614930,113.7400,113.7400,113.7400,113.7400,100
1466615009,113.7300,113.7300,113.7300,113.7300,300
1466615041,113.7600,113.7900,113.7600,113.7800,900
1466615120,113.7900,113.8300,113.7900,113.8200,300
1466615165,113.8000,113.8200,113.8000,113.8200,1100
1466615234,113.7200,113.7950,113.7200,113.7800,1100
1466615398,113.6900,113.6900,113.6800,113.6800,400
1466615438,113.6400,113.6500,113.6100,113.6500,1000
1466615498,113.6400,113.6400,113.6150,113.6400,1400
1466615591,113.6000,113.6100,113.5900,113.5900,1100
1466615682,113.6600,113.6600,113.6200,113.6200,300
1466615756,113.6900,113.6900,113.6800,113.6900,700
1466615769,113.6600,113.6800,113.6600,113.6800,200
1466615856,113.6800,113.6800,113.6000,113.6500,3600
1466615882,113.6500,113.6800,113.6500,113.6800,1200
1466615940,113.6700,113.6700,113.6400,113.6400,2400
1466616132,113.6000,113.6200,113.6000,113.6200,1700
1466616230,113.5900,113.5900,113.5900,113.5900,100
1466616250,113.6000,113.6000,113.5800,113.6000,700
1466616330,113.6350,113.6500,113.5950,113.6000,1800
1466616393,113.6400,113.6500,113.6200,113.6400,900
1466616438,113.6200,113.6400,113.6200,113.6350,800
1466616519,113.6475,113.6700,113.6200,113.6200,1300
1466616542,113.6600,113.6600,113.6600,113.6600,100
1466616699,113.6800,113.6800,113.6800,113.6800,100
1466616758,113.7100,113.7100,113.6700,113.6800,900
1466616784,113.6800,113.7200,113.6800,113.7100,1400
1466616886,113.6800,113.6900,113.6800,113.6800,900
1466616915,113.6600,113.6600,113.6600,113.6600,100
1466616973,113.6400,113.6500,113.6400,113.6500,400
1466617134,113.7300,113.7300,113.6650,113.6650,1900
1466617157,113.7300,113.7300,113.7300,113.7300,400
1466617268,113.7150,113.7300,113.7150,113.7300,200
1466617379,113.7200,113.7200,113.7150,113.7150,200
1466617381,113.7200,113.7200,113.7010,113.7010,1000
1466617448,113.7600,113.7700,113.7400,113.7400,800
1466617518,113.7700,113.7700,113.7500,113.7500,1100
1466617608,113.7700,113.7900,113.7700,113.7900,200
1466617674,113.7900,113.7900,113.7900,113.7900,100
1466617690,113.7600,113.7900,113.7600,113.7817,1800
1466617769,113.7200,113.7200,113.7200,113.7200,400
1466617835,113.7700,113.7700,113.7500,113.7500,600
1466617865,113.7600,113.7600,113.7600,113.7600,100
1466617952,113.7550,113.7700,113.7500,113.7600,1900
1466618062,113.7800,113.7800,113.7700,113.7700,800
1466618156,113.7800,113.7800,113.7700,113.7800,300
1466618171,113.7701,113.7800,113.7701,113.7800,200
1466618231,113.7600,113.7800,113.7600,113.7700,1500
1466618403,113.7100,113.7400,113.7100,113.7300,1900
1466618510,113.7350,113.7350,113.7100,113.7100,1500
1466618537,113.7100,113.7100,113.7100,113.7100,100
1466618620,113.7700,113.7700,113.7400,113.7600,800
