uri:/instrument/1.0/SWKS/chartdata;type=quote;range=1d/csv
ticker:swks
Company-Name:Skyworks Solutions, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:65.9400
Timestamp:1470749400,1470772800
labels:1470751200,1470754800,1470758400,1470762000,1470765600,1470769200,1470772800
values:Timestamp,close,high,low,open,volume
close:66.4700,67.5550
high:66.4700,67.6400
low:66.4000,67.5010
open:66.4100,67.5600
volume:100,75100
1470749414,66.4700,66.4700,66.4000,66.4100,64700
1470749511,66.8500,66.8500,66.5400,66.5400,9300
1470749523,67.2000,67.2000,66.7400,66.8200,11700
1470749636,67.0200,67.2000,66.9100,67.2000,7700
1470749695,67.1110,67.1200,67.0000,67.0200,4600
1470749759,67.0700,67.1200,66.8200,67.0806,18400
1470749767,66.8960,67.0900,66.8960,67.0400,12000
1470749820,67.0500,67.1000,66.9500,66.9500,6200
1470749937,67.1250,67.1500,66.9900,67.0000,8800
1470749998,67.1000,67.1500,67.0600,67.1010,10400
1470750057,67.1020,67.1100,66.9800,67.1100,16400
1470750062,67.2500,67.2500,67.0700,67.0800,11900
1470750120,67.1300,67.2790,67.1300,67.2600,11300
1470750184,67.3700,67.3979,67.1700,67.1700,12700
1470750243,67.2400,67.4500,67.2100,67.4000,12300
1470750300,67.3400,67.3500,67.2600,67.2600,7400
1470750360,67.2700,67.4150,67.2700,67.3800,9400
1470750420,67.4000,67.4000,67.2600,67.2600,6700
1470750482,67.3950,67.4200,67.3400,67.4100,6700
1470750541,67.4500,67.4800,67.3900,67.3900,6200
1470750610,67.5300,67.5400,67.4400,67.4800,25300
1470750661,67.5400,67.5600,67.4700,67.5500,18700
1470750776,67.5550,67.6400,67.5010,67.5600,6400
1470750781,67.3700,67.5500,67.3500,67.5500,4600
1470750896,67.3600,67.3600,67.2410,67.3300,4300
1470750955,67.3100,67.3750,67.2600,67.3750,4000
1470751005,67.1410,67.3200,67.1400,67.3200,5100
1470751021,67.1400,67.1900,67.0976,67.1650,4000
1470751110,67.1600,67.2100,67.1600,67.2100,1400
1470751149,67.1000,67.2000,67.0800,67.1800,1900
1470751258,67.0800,67.1800,67.0800,67.1300,7900
1470751261,66.9110,67.0900,66.8500,67.0800,13000
1470751322,67.0800,67.1000,66.9010,66.9100,3700
1470751380,67.1100,67.1200,67.1100,67.1200,4600
1470751457,67.0800,67.1154,67.0700,67.1100,2500
1470751509,66.9700,67.0900,66.9700,67.0856,3500
1470751599,67.0100,67.0348,67.0100,67.0200,1200
1470751622,67.0800,67.0800,67.0000,67.0125,1700
1470751709,66.9800,67.0700,66.9800,67.0700,2100
1470751755,66.9400,66.9600,66.9000,66.9600,2100
1470751854,67.0100,67.0150,66.9650,66.9800,3500
1470751911,66.8700,66.9900,66.8700,66.9900,1700
1470751923,66.8200,66.8900,66.8100,66.8900,2200
1470751981,66.7700,66.8200,66.7700,66.7800,8500
1470752047,66.7900,66.8500,66.7500,66.8400,7100
1470752157,66.7800,66.7900,66.7600,66.7800,1800
1470752160,66.8250,66.8250,66.7700,66.7800,2900
1470752225,66.8300,66.8500,66.8000,66.8300,5300
1470752296,66.8259,66.8259,66.7900,66.8100,3400
1470752393,66.7750,66.8190,66.7600,66.8190,1400
1470752400,66.7500,66.7700,66.7200,66.7500,2100
1470752514,66.7700,66.7800,66.7300,66.7500,1300
1470752575,66.6210,66.7500,66.6210,66.7450,7500
1470752629,66.6800,66.6900,66.6310,66.6500,3400
1470752691,66.7390,66.7390,66.6800,66.6900,2000
1470752700,66.7210,66.7700,66.7210,66.7400,2300
1470752776,66.7400,66.7600,66.7400,66.7400,1700
1470752879,66.7876,66.8100,66.7876,66.8000,1500
1470752881,66.7200,66.7800,66.7200,66.7800,3100
1470752999,66.7300,66.7300,66.7300,66.7300,100
1470753006,66.7000,66.7300,66.6910,66.7300,2400
1470753064,66.6700,66.7200,66.6700,66.6900,3400
1470753123,66.6700,66.7000,66.6600,66.6845,5000
1470753185,66.7000,66.7300,66.6800,66.6900,3100
1470753256,66.7500,66.7500,66.7300,66.7400,700
1470753335,66.7344,66.7500,66.7344,66.7500,700
1470753362,66.7700,66.8200,66.7500,66.7500,4000
1470753453,66.7400,66.7500,66.7400,66.7500,2700
1470753489,66.8300,66.8300,66.7700,66.7700,3100
1470753543,66.8100,66.8400,66.8100,66.8390,900
1470753600,66.8100,66.8200,66.7824,66.7824,1500
1470753664,66.7900,66.8030,66.7900,66.8000,500
1470753731,66.7700,66.8100,66.7600,66.8000,5500
1470753793,66.7900,66.7900,66.7900,66.7900,200
1470753845,66.8200,66.8200,66.7800,66.7900,2700
1470753954,66.8300,66.8300,66.8050,66.8100,2000
1470753972,66.8400,66.8590,66.8400,66.8400,1500
1470754074,66.8400,66.8500,66.8400,66.8500,500
1470754080,66.8600,66.8800,66.8300,66.8500,3700
1470754196,66.9300,66.9400,66.8600,66.8700,3000
1470754206,66.8900,66.9400,66.8900,66.9400,1000
1470754262,66.8100,66.8700,66.8100,66.8700,4500
1470754324,66.7990,66.8000,66.7500,66.8000,3700
1470754437,66.6800,66.7800,66.6800,66.7800,3700
1470754499,66.6426,66.6950,66.6400,66.6950,2500
1470754504,66.7050,66.7050,66.6400,66.6600,4100
1470754571,66.6650,66.7000,66.6600,66.7000,1000
1470754623,66.6800,66.7000,66.6600,66.6700,2500
1470754701,66.6800,66.6800,66.6400,66.6700,2200
1470754742,66.6400,66.6800,66.6400,66.6700,2000
1470754821,66.7000,66.7100,66.6500,66.6500,2600
1470754862,66.7490,66.7499,66.7000,66.7000,2500
1470754969,66.6900,66.7400,66.6900,66.7400,2900
1470754981,66.6600,66.6900,66.6400,66.6900,2500
1470755092,66.6500,66.6800,66.6500,66.6500,2600
1470755104,66.6900,66.6900,66.6310,66.6790,2700
1470755169,66.6650,66.6800,66.6650,66.6700,1400
1470755224,66.6950,66.7050,66.6950,66.7000,1300
1470755280,66.7100,66.7100,66.7000,66.7100,900
1470755350,66.6800,66.7090,66.6700,66.7000,1400
1470755404,66.6590,66.6700,66.6590,66.6700,700
1470755494,66.6200,66.6413,66.6200,66.6413,400
1470755579,66.6400,66.6400,66.5700,66.6200,6100
1470755586,66.6500,66.6500,66.6200,66.6495,2000
1470755691,66.6490,66.6490,66.6301,66.6301,1600
1470755759,66.6790,66.6800,66.6500,66.6500,3300
1470755763,66.6500,66.6800,66.6500,66.6800,900
1470755823,66.6500,66.6690,66.6300,66.6690,1900
1470755912,66.6500,66.6500,66.6300,66.6490,1100
1470755942,66.6600,66.6760,66.6500,66.6700,1500
1470756007,66.6600,66.6690,66.6500,66.6690,1700
1470756115,66.6600,66.6600,66.6400,66.6500,900
1470756128,66.6800,66.6800,66.6500,66.6700,3400
1470756182,66.7200,66.7300,66.6900,66.6900,2600
1470756255,66.6999,66.7250,66.6900,66.7250,2100
