uri:/instrument/1.0/UPS/chartdata;type=quote;range=1d/csv
ticker:ups
Company-Name:United Parcel Service, Inc. Com
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:108.7900
Timestamp:1470663000,1470686400
labels:1470664800,1470668400,1470672000,1470675600,1470679200,1470682800,1470686400
values:Timestamp,close,high,low,open,volume
close:108.5600,109.4100
high:108.5800,109.4100
low:108.5600,109.3500
open:108.5700,109.3900
volume:100,101900
1470663085,109.1900,109.2300,109.1500,109.1500,41100
1470663148,109.1000,109.1400,109.1000,109.1200,3300
1470663186,109.1600,109.2000,109.1000,109.1900,4300
1470663249,109.2000,109.2200,109.1300,109.1600,1200
1470663303,109.3600,109.3600,109.2100,109.2100,8000
1470663360,109.3000,109.3400,109.2900,109.3300,2000
1470663478,109.2800,109.3300,109.2500,109.3100,9600
1470663528,109.4100,109.4100,109.2800,109.3000,7400
1470663545,109.3600,109.4100,109.3100,109.3500,7000
1470663621,109.2900,109.2900,109.2900,109.2900,9200
1470663718,109.2000,109.2300,109.1900,109.2300,4200
1470663721,109.2200,109.2200,109.1900,109.2000,7100
1470663780,109.2600,109.2800,109.2300,109.2300,9500
1470663842,109.2600,109.3300,109.2500,109.2600,8600
1470663953,109.3400,109.3600,109.2700,109.2800,6900
1470663998,109.3420,109.3600,109.3400,109.3400,1500
1470664028,109.4000,109.4070,109.3500,109.3600,11500
1470664084,109.3800,109.4100,109.3400,109.3900,9200
1470664199,109.2900,109.4000,109.2800,109.3900,6500
1470664201,109.2900,109.3000,109.2900,109.2900,5000
1470664319,109.2400,109.3000,109.2100,109.2900,14100
1470664323,109.1950,109.2800,109.1900,109.2700,8800
1470664386,109.1900,109.2200,109.1800,109.2000,11500
1470664460,109.1500,109.2250,109.1500,109.2200,7500
1470664501,109.1800,109.1900,109.1500,109.1699,4200
1470664618,109.1500,109.1900,109.1300,109.1800,11200
1470664679,109.1800,109.2200,109.1300,109.1500,14800
1470664739,109.2100,109.2200,109.1700,109.1800,9900
1470664742,109.3000,109.3100,109.2200,109.2200,7900
1470664803,109.3400,109.3600,109.3200,109.3400,14400
1470664908,109.2800,109.3600,109.2600,109.3500,9200
1470664975,109.1900,109.2600,109.1800,109.2600,8800
1470665036,109.0900,109.2000,109.0500,109.2000,13200
1470665098,109.0100,109.1000,109.0000,109.0950,16100
1470665159,109.0200,109.0200,108.9910,109.0050,12200
1470665209,108.9800,109.0300,108.9700,109.0150,7900
1470665221,108.9800,108.9800,108.9150,108.9800,17100
1470665304,108.9800,108.9899,108.9600,108.9899,4400
1470665341,109.0300,109.0400,108.9700,108.9900,5800
1470665402,109.0500,109.0700,109.0300,109.0550,6800
1470665515,109.0150,109.0700,109.0100,109.0600,9300
1470665575,108.9900,109.0400,108.9900,109.0200,7100
1470665638,108.9900,109.0000,108.9750,108.9800,4500
1470665698,109.0100,109.0100,108.9900,108.9900,5300
1470665759,108.9400,109.0100,108.9400,109.0050,8000
1470665760,108.9150,108.9500,108.9150,108.9500,5400
1470665821,108.8600,108.9100,108.8600,108.9100,7500
1470665927,108.8850,108.8900,108.8600,108.8700,5900
1470665997,108.9000,108.9200,108.8750,108.8800,7100
1470666034,108.8900,108.9000,108.8900,108.9000,4100
1470666064,108.8100,108.8400,108.8000,108.8400,8600
1470666179,108.8050,108.8100,108.7750,108.8100,7200
1470666189,108.8200,108.8200,108.7910,108.8000,8400
1470666278,108.8499,108.8499,108.8499,108.8499,400
1470666352,108.9200,108.9300,108.8350,108.8350,14100
1470666362,108.9200,108.9399,108.9200,108.9300,2500
1470666477,108.9400,108.9400,108.9150,108.9150,2000
1470666515,108.9550,108.9700,108.9390,108.9400,5000
1470666547,108.9300,108.9700,108.9200,108.9600,6300
1470666603,108.9200,108.9200,108.9000,108.9100,3700
1470666674,108.9650,108.9700,108.9300,108.9300,5200
1470666752,109.0500,109.0500,108.9700,108.9700,4400
1470666790,109.0800,109.0800,109.0600,109.0600,3300
1470666899,109.0700,109.0900,109.0500,109.0800,5500
1470666906,108.9300,109.0549,108.9300,109.0500,7100
1470666970,108.9001,108.9200,108.9000,108.9200,1500
1470667022,108.9100,108.9100,108.8700,108.9000,4100
1470667127,108.9100,108.9200,108.9000,108.9000,2400
1470667143,108.9499,108.9499,108.9000,108.9100,6400
1470667259,108.9700,108.9800,108.9600,108.9700,5700
1470667319,108.9700,108.9700,108.9600,108.9600,1500
1470667373,108.9510,108.9800,108.9500,108.9800,4200
1470667437,109.0100,109.0100,108.9500,108.9500,3900
1470667446,109.0400,109.0500,109.0200,109.0200,4000
1470667505,109.0100,109.0450,109.0100,109.0400,2800
1470667564,109.0100,109.0300,108.9800,108.9900,5600
1470667659,109.0034,109.0100,109.0000,109.0100,1500
1470667734,108.9700,109.0000,108.9500,109.0000,4000
1470667750,108.9900,108.9900,108.9700,108.9800,1500
1470667807,109.0200,109.0200,108.9934,108.9934,4300
1470667870,108.9600,108.9800,108.9400,108.9800,5600
1470667931,108.9600,108.9600,108.9453,108.9600,3300
1470667993,108.9800,108.9800,108.9500,108.9500,2600
1470668042,108.9900,109.0200,108.9900,108.9900,3900
1470668153,109.0000,109.0000,108.9900,108.9900,900
1470668166,109.0000,109.0100,108.9900,109.0000,4000
