uri:/instrument/1.0/UTX/chartdata;type=quote;range=1d/csv
ticker:utx
Company-Name:United Technologies Corporation
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:105.8500
Timestamp:1469194200,1469217600
labels:1469196000,1469199600,1469203200,1469206800,1469210400,1469214000,1469217600
values:Timestamp,close,high,low,open,volume
close:104.5200,105.1900
high:104.6100,105.2000
low:104.5000,105.1600
open:104.5600,105.1900
volume:100,103100
1469194244,104.7400,104.7400,104.5000,104.5890,82700
1469194318,104.6500,104.7600,104.6100,104.6200,1600
1469194378,104.5600,104.7300,104.5600,104.7000,15700
1469194439,104.5855,104.6100,104.5000,104.5600,32400
1469194497,104.6500,104.6600,104.5400,104.6100,8800
1469194504,104.6040,104.6400,104.5400,104.6100,12500
1469194561,104.6700,104.6700,104.5300,104.6100,38400
1469194621,104.5200,104.6600,104.5100,104.6500,9600
1469194685,104.6900,104.7100,104.5600,104.6000,7400
1469194795,104.6100,104.6900,104.6100,104.6900,15200
1469194854,104.6700,104.6900,104.6200,104.6300,8900
1469194917,104.6500,104.7300,104.6400,104.6900,13200
1469194978,104.7300,104.7300,104.6800,104.6800,2500
1469194981,104.7525,104.7900,104.7150,104.7150,11400
1469195097,104.8300,104.8300,104.7500,104.7525,9400
1469195100,104.8800,104.8800,104.8100,104.8300,21100
1469195160,104.9100,104.9300,104.8550,104.8600,12100
1469195220,104.9250,104.9500,104.8850,104.9100,34000
1469195336,104.9800,104.9800,104.9200,104.9250,10600
1469195341,105.0100,105.0500,104.9500,104.9700,11900
1469195455,105.0300,105.0900,105.0200,105.0200,21300
1469195517,105.0200,105.0500,105.0200,105.0200,6100
1469195579,104.9000,105.0100,104.8800,105.0000,34000
1469195635,104.8600,104.9200,104.7800,104.9100,23600
1469195699,104.8000,104.8900,104.7800,104.8500,23600
1469195758,104.7100,104.8100,104.6900,104.7800,8300
1469195815,104.5800,104.7050,104.5700,104.7050,19800
1469195823,104.6800,104.7300,104.5900,104.5900,21100
1469195883,104.6300,104.7100,104.6300,104.6900,8000
1469195940,104.6300,104.6500,104.5900,104.6300,6600
1469196002,104.6900,104.6900,104.6100,104.6500,10600
1469196060,104.8700,104.8900,104.6900,104.6900,9100
1469196121,104.9400,104.9600,104.8500,104.8650,7000
1469196184,104.9200,104.9500,104.9200,104.9300,6400
1469196299,104.9100,104.9300,104.8800,104.9300,5200
1469196302,104.8900,104.9300,104.8900,104.9100,9800
1469196371,104.8900,104.8990,104.8700,104.8990,2300
1469196429,104.8650,104.8900,104.8581,104.8700,4600
1469196484,104.9000,104.9000,104.8600,104.8600,6800
1469196540,104.8700,104.9000,104.8500,104.9000,7100
1469196600,104.8400,104.8700,104.8100,104.8600,7200
1469196662,104.8400,104.8460,104.8100,104.8300,8700
1469196779,104.8700,104.8700,104.8300,104.8400,10800
1469196782,104.8700,104.9000,104.8700,104.8800,3800
1469196841,104.8800,104.8900,104.8499,104.8600,12700
1469196902,104.8800,104.8800,104.8381,104.8700,15400
1469197017,104.8500,104.8750,104.8300,104.8750,9000
1469197021,104.8200,104.8500,104.8100,104.8500,10100
1469197139,104.8500,104.8500,104.7900,104.8200,9500
1469197140,104.8500,104.8700,104.8500,104.8500,18400
1469197203,104.8700,104.8800,104.8200,104.8350,11800
1469197260,104.8800,104.9000,104.8650,104.8700,10200
1469197323,104.8849,104.8900,104.8700,104.8890,4600
1469197386,104.9000,104.9200,104.8900,104.9000,15700
1469197499,104.9000,104.9000,104.8700,104.8800,5900
1469197500,104.9000,104.9200,104.8900,104.9000,11200
1469197619,104.9100,104.9300,104.8900,104.9000,27500
1469197678,104.9500,104.9500,104.9100,104.9100,3500
1469197739,105.0000,105.0000,104.9400,104.9500,7400
1469197797,105.0600,105.0600,105.0000,105.0000,3000
1469197800,105.0500,105.0800,105.0400,105.0600,8000
1469197917,104.9800,105.0300,104.9300,105.0300,5600
1469197979,104.9950,105.0000,104.9800,104.9900,3300
1469197980,105.0100,105.0100,104.9950,105.0000,4000
1469198099,105.0410,105.0500,105.0000,105.0000,7800
1469198101,105.0600,105.0600,105.0300,105.0400,4600
1469198163,105.0200,105.0500,105.0200,105.0500,3800
1469198278,104.9800,105.0150,104.9800,105.0100,2300
1469198280,104.9800,104.9900,104.9500,104.9800,6500
1469198341,104.9900,105.0000,104.9670,104.9800,11600
1469198403,105.0000,105.0000,104.9700,104.9900,34900
1469198481,104.9900,105.0090,104.9800,105.0000,3500
1469198544,104.9600,104.9700,104.9600,104.9600,2200
1469198638,104.9200,104.9800,104.9100,104.9500,8900
1469198640,104.9000,104.9300,104.8900,104.9100,9800
1469198756,104.9020,104.9325,104.9000,104.9200,7000
1469198818,104.8950,104.9100,104.8500,104.8900,10800
1469198823,104.9100,104.9300,104.8900,104.8900,2700
1469198896,104.9600,104.9700,104.9400,104.9500,4500
1469198943,105.0000,105.0000,104.9690,104.9690,5700
1469199057,105.0700,105.0700,104.9900,105.0000,4700
1469199113,105.1200,105.1700,105.0700,105.0700,19500
1469199179,105.0910,105.1400,105.0900,105.1200,4800
1469199224,105.1050,105.1100,105.0900,105.0900,2100
1469199244,105.0900,105.1000,105.0900,105.1000,2800
1469199327,105.1000,105.1000,105.0900,105.0950,1700
1469199368,105.0700,105.1000,105.0700,105.1000,6300
1469199420,105.0400,105.0750,105.0300,105.0750,5700
1469199534,105.0500,105.0700,105.0500,105.0600,2500
1469199545,105.0500,105.0700,105.0400,105.0400,2300
1469199657,105.0900,105.0900,105.0600,105.0600,3000
1469199660,105.0600,105.0900,105.0500,105.0900,6500
1469199723,105.0320,105.0700,105.0200,105.0545,7000
1469199791,105.0300,105.0600,105.0300,105.0463,1800
1469199897,105.0100,105.0200,104.9900,105.0200,4300
1469199959,104.9600,105.0000,104.9600,105.0000,2000
1469199960,104.9600,104.9600,104.9000,104.9600,10900
1469200079,104.9600,104.9600,104.9400,104.9400,2600
1469200087,104.9300,104.9500,104.9300,104.9500,3200
1469200199,104.9100,104.9300,104.9000,104.9300,2500
1469200201,104.8800,104.9300,104.8800,104.9100,5600
1469200272,104.8900,104.9100,104.8800,104.8850,3800
1469200321,104.8700,104.9000,104.8700,104.9000,23000
1469200381,104.8320,104.8641,104.8200,104.8641,7700
1469200451,104.7900,104.8400,104.7900,104.8304,5400
1469200552,104.7700,104.7900,104.7600,104.7800,8700
1469200612,104.7400,104.7790,104.7400,104.7750,6300
1469200620,104.7200,104.7500,104.7200,104.7500,6400
