uri:/instrument/1.0/WHR/chartdata;type=quote;range=1d/csv
ticker:whr
Company-Name:Whirlpool Corporation Common St
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:189.5600
Timestamp:1470663000,1470686400
labels:1470664800,1470668400,1470672000,1470675600,1470679200,1470682800,1470686400
values:Timestamp,close,high,low,open,volume
close:188.7500,190.1400
high:188.7600,190.5900
low:188.6700,190.1400
open:188.7100,190.5900
volume:100,7500
1470663187,190.1400,190.5900,190.1400,190.5900,7500
1470663249,190.0000,190.0000,189.9400,189.9500,800
1470663302,189.9300,190.0600,189.9200,189.9200,2100
1470663379,189.8000,189.8000,189.8000,189.8000,800
1470663446,189.8500,189.8500,189.6900,189.6900,3300
1470663510,189.8700,189.8900,189.7500,189.8300,3300
1470663550,189.6300,189.7300,189.6300,189.7000,2000
1470663624,189.6000,189.6000,189.4500,189.5700,3300
1470663661,189.5300,189.7600,189.5300,189.6000,2600
1470663768,189.7800,189.7800,189.6300,189.6300,4300
1470663793,189.8900,189.8900,189.6800,189.8800,1100
1470663898,189.6800,189.6900,189.6800,189.6900,500
1470663929,189.6700,189.8700,189.6700,189.7800,5700
1470664082,189.3000,189.4800,189.1600,189.4200,1000
1470664152,189.2500,189.2900,189.0350,189.2100,6700
1470664208,189.3700,189.3700,189.3500,189.3500,200
1470664330,189.1520,189.1520,188.8900,189.1100,6000
1470664383,189.2200,189.2200,189.0900,189.0900,300
1470664459,189.0800,189.1400,188.9400,189.1400,2300
1470664565,189.1600,189.2700,189.1500,189.2200,3200
1470664743,188.8300,189.0800,188.7650,189.0200,3900
1470664810,189.0500,189.0700,189.0100,189.0300,1200
1470664893,188.7800,188.7800,188.7800,188.7800,1000
1470664950,188.8500,188.9800,188.8500,188.9800,200
1470665026,189.0050,189.0300,188.9900,188.9900,2200
1470665052,189.2200,189.3400,189.1450,189.1450,2200
1470665114,189.2900,189.2900,189.2200,189.2200,200
1470665161,189.3500,189.3800,189.2500,189.2900,4000
1470665264,189.3400,189.3400,189.3400,189.3400,400
1470665290,189.3800,189.3800,189.3800,189.3800,200
1470665387,189.3200,189.5300,189.3200,189.4900,1600
1470665403,189.1100,189.3200,189.1100,189.3200,1200
1470665510,188.8400,188.9800,188.8400,188.9800,1000
1470665560,188.8200,188.8500,188.8200,188.8500,300
1470665582,188.7900,188.8000,188.7900,188.8000,600
1470665648,188.8900,188.8900,188.7400,188.7400,1400
1470665714,188.9600,188.9600,188.9400,188.9400,1800
1470665765,189.3400,189.3700,189.0000,189.0000,4000
1470665826,189.2650,189.2650,189.2600,189.2600,600
1470665960,188.9600,189.1900,188.9600,189.1900,1300
1470666040,188.7800,188.7800,188.7800,188.7800,100
1470666103,188.8900,188.8900,188.8900,188.8900,100
1470666151,188.7600,188.7600,188.7600,188.7600,100
1470666278,188.7650,188.7800,188.7100,188.7100,1100
1470666330,188.8200,188.8300,188.8100,188.8100,1900
1470666422,188.9200,188.9200,188.9200,188.9200,100
1470666482,189.0350,189.0350,188.9400,188.9500,1900
1470666585,188.8800,188.8800,188.8800,188.8800,100
1470666626,188.7500,188.8300,188.7500,188.8000,900
1470666689,188.8400,189.0300,188.8400,188.8400,2400
1470666746,188.9000,188.9300,188.9000,188.9300,400
1470666806,188.9000,188.9300,188.9000,188.9300,600
1470666978,188.9000,188.9000,188.9000,188.9000,100
1470667033,188.8700,188.9100,188.8700,188.9100,1100
1470667150,188.9000,188.9000,188.6700,188.7600,3100
1470667231,188.8600,188.8700,188.8600,188.8700,200
1470667293,188.9400,188.9400,188.9400,188.9400,100
1470667326,189.0100,189.0600,189.0100,189.0200,1300
1470667495,189.1900,189.1900,189.1100,189.1100,900
1470667505,189.1800,189.1800,189.1000,189.1500,1300
1470667634,188.9800,189.1900,188.9700,189.1900,700
1470667812,188.8700,188.9900,188.8700,188.9900,800
1470667926,188.8800,188.8800,188.8800,188.8800,100
1470668017,188.8600,188.8700,188.8600,188.8600,1300
1470668065,188.9886,188.9886,188.9886,188.9886,300
1470668131,189.0500,189.0500,189.0200,189.0200,300
1470668217,189.1000,189.1100,189.0650,189.1000,900
1470668232,188.9300,189.0600,188.9300,189.0600,1000
1470668301,189.0800,189.0800,189.0300,189.0300,1200
1470668403,189.2900,189.2900,189.1000,189.1000,1700
1470668515,189.5100,189.5100,189.3400,189.3400,1200
1470668524,189.3500,189.5100,189.3300,189.5100,1000
1470668583,189.5750,189.5950,189.3700,189.3700,3700
1470668654,189.5700,189.5900,189.5700,189.5800,600
1470668735,189.6300,189.6300,189.6000,189.6000,200
1470668767,189.7100,189.7600,189.6200,189.7000,6400
1470668873,189.6800,189.7050,189.6800,189.7050,700
1470668880,189.6400,189.7600,189.6400,189.7600,2600
1470668941,189.6300,189.6500,189.6300,189.6300,800
1470669007,189.5000,189.6900,189.5000,189.6900,1100
1470669156,189.6300,189.6300,189.6300,189.6300,100
1470669197,189.5611,189.5611,189.5611,189.5611,100
1470669284,189.5200,189.5650,189.5200,189.5400,1100
1470669317,189.4600,189.5300,189.4600,189.5300,1500
1470669439,189.5000,189.5200,189.4700,189.4700,1100
1470669495,189.5200,189.5200,189.5200,189.5200,700
1470669540,189.5000,189.5000,189.4600,189.4900,1500
1470669605,189.4000,189.4000,189.4000,189.4000,100
1470669670,189.3708,189.3708,189.3708,189.3708,200
1470669733,189.3600,189.4100,189.3600,189.4100,800
1470669796,189.3200,189.3200,189.3200,189.3200,200
1470669897,189.3290,189.3290,189.2300,189.2800,1400
1470669925,189.3800,189.3800,189.3500,189.3500,600
1470669962,189.5400,189.6050,189.4900,189.4900,3800
1470670100,189.5300,189.5300,189.4700,189.4700,300
1470670150,189.3241,189.4300,189.3241,189.4300,500
1470670262,189.5100,189.5100,189.4900,189.4900,800
1470670460,189.5300,189.5700,189.5250,189.5700,600
1470670520,189.4400,189.4400,189.4300,189.4400,900
1470670630,189.5300,189.5300,189.4400,189.4600,1000
1470670908,189.4700,189.5800,189.4700,189.5800,2200
1470671065,189.4300,189.4800,189.4300,189.4800,700
1470671129,189.5050,189.5400,189.5050,189.5300,1500
1470671271,189.5900,189.5900,189.5700,189.5700,300
1470671316,189.4900,189.5300,189.4800,189.5300,2600
1470671390,189.3900,189.5100,189.3900,189.4500,700
1470671406,189.5000,189.5000,189.3400,189.3400,1200
1470671514,189.5700,189.5700,189.5000,189.5200,2000
1470671526,189.5300,189.6200,189.5200,189.6200,1700
1470671672,189.4500,189.5100,189.4500,189.4900,1200
1470671754,189.4500,189.4500,189.4400,189.4400,400
1470671765,189.5000,189.5000,189.4900,189.4900,500
1470672179,189.5650,189.5900,189.5300,189.5900,1200
1470672180,189.6000,189.6000,189.6000,189.6000,100
1470672292,189.5100,189.5500,189.5000,189.5500,1700
1470672355,189.5600,189.5600,189.5400,189.5400,900
1470672387,189.5800,189.5800,189.5600,189.5600,400
1470672473,189.5100,189.5300,189.5100,189.5300,500
1470672511,189.4200,189.4700,189.4200,189.4700,1100
1470672648,189.2700,189.2700,189.2700,189.2700,100
1470672784,189.2700,189.2700,189.2700,189.2700,200
1470672887,189.2600,189.3000,189.2600,189.3000,500
1470672921,189.3285,189.3285,189.3285,189.3285,500
1470672979,189.4000,189.4000,189.3500,189.3500,1200
1470673038,189.5300,189.5300,189.4310,189.4400,1000
1470673150,189.4100,189.4500,189.4100,189.4500,900
1470673454,189.3000,189.3000,189.3000,189.3000,200
1470673513,189.3400,189.4400,189.3400,189.3900,1400
1470673614,189.3300,189.4000,189.3200,189.3300,4100
1470673655,189.4400,189.4500,189.3800,189.4500,1100
1470673703,189.4900,189.5100,189.4900,189.5100,1100
1470673776,189.4950,189.4950,189.4950,189.4950,100
1470673881,189.5100,189.5100,189.5100,189.5100,100
1470673977,189.4900,189.4900,189.4900,189.4900,200
1470674044,189.5200,189.5200,189.5000,189.5000,1300
1470674206,189.6000,189.6100,189.6000,189.6000,800
1470674292,189.5850,189.5950,189.5600,189.5600,1200
1470674451,189.5500,189.5500,189.5500,189.5500,100
1470674470,189.5800,189.5800,189.5800,189.5800,100
1470674527,189.5600,189.6000,189.5600,189.5600,600
1470674639,189.5099,189.5500,189.5000,189.5500,1600
1470674697,189.3701,189.4200,189.3700,189.3700,300
1470674740,189.5000,189.5000,189.4800,189.4800,600
1470674768,189.5450,189.5500,189.4400,189.4400,1700
1470674903,189.5500,189.5500,189.5500,189.5500,100
1470674956,189.6300,189.6300,189.6300,189.6300,400
1470675036,189.6510,189.6510,189.6150,189.6150,200
1470675066,189.6600,189.6600,189.6600,189.6600,100
1470675171,189.5300,189.6000,189.5300,189.6000,1000
1470675219,189.5000,189.5900,189.5000,189.5300,1200
1470675279,189.5300,189.5300,189.5200,189.5200,1000
1470675305,189.5200,189.5200,189.5200,189.5200,100
1470675364,189.5300,189.5700,189.5200,189.5402,1600
1470675446,189.5500,189.6100,189.5200,189.5300,1600
1470675491,189.5800,189.6000,189.5600,189.5600,600
1470675587,189.6700,189.6700,189.6200,189.6200,900
1470675623,189.5800,189.6200,189.5700,189.6100,1300
1470675839,189.7100,189.7100,189.5300,189.5300,1800
1470675841,189.7415,189.7600,189.7415,189.7600,400
1470675916,189.8000,189.8000,189.7900,189.8000,400
1470676112,189.5900,189.7300,189.5400,189.7300,2700
1470676193,189.6800,189.6800,189.5700,189.6300,900
1470676216,189.6200,189.6200,189.6200,189.6200,100
1470676267,189.5400,189.5900,189.4200,189.5900,2500
1470676485,189.5750,189.5750,189.5750,189.5750,100
1470676552,189.6200,189.6200,189.5800,189.5900,1200
