uri:/instrument/1.0/XRX/chartdata;type=quote;range=1d/csv
ticker:xrx
Company-Name:Xerox Corporation Common Stock
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:9.6700
Timestamp:1468416600,1468440000
labels:1468418400,1468422000,1468425600,1468429200,1468432800,1468436400,1468440000
values:Timestamp,close,high,low,open,volume
close:9.4500,9.7000
high:9.4600,9.7000
low:9.4400,9.7000
open:9.4500,9.7000
volume:100,212200
1468416638,9.7000,9.7000,9.7000,9.7000,77300
1468416671,9.6500,9.6900,9.6500,9.6900,43400
1468416758,9.6799,9.6799,9.6600,9.6600,3900
1468416839,9.6400,9.6800,9.6400,9.6800,10700
1468416898,9.6500,9.6551,9.6500,9.6500,9900
1468416959,9.6650,9.6700,9.6501,9.6501,5300
1468416961,9.6600,9.6800,9.6600,9.6700,12800
1468417075,9.6700,9.6800,9.6600,9.6600,38400
1468417126,9.6700,9.6900,9.6600,9.6601,55800
1468417199,9.6500,9.6700,9.6500,9.6700,21200
1468417203,9.6450,9.6550,9.6450,9.6500,27900
1468417318,9.6300,9.6500,9.6250,9.6500,19200
1468417379,9.6250,9.6400,9.6150,9.6300,93700
1468417439,9.6100,9.6400,9.6100,9.6250,119500
1468417441,9.6200,9.6300,9.6100,9.6100,96900
1468417559,9.6200,9.6300,9.6150,9.6300,20500
1468417595,9.6150,9.6200,9.6100,9.6200,1400
1468417621,9.5800,9.6000,9.5800,9.6000,14900
1468417727,9.5800,9.5838,9.5800,9.5800,3900
1468417797,9.5550,9.5860,9.5500,9.5850,11200
1468417856,9.5000,9.5550,9.5000,9.5500,212200
1468417909,9.4610,9.5100,9.4610,9.5100,102700
1468417979,9.4500,9.4600,9.4500,9.4600,20400
1468418037,9.4600,9.4600,9.4400,9.4500,46300
1468418044,9.4650,9.4800,9.4550,9.4550,78900
1468418157,9.4850,9.4900,9.4700,9.4750,28300
1468418217,9.4750,9.4800,9.4750,9.4750,35600
1468418279,9.4936,9.5000,9.4750,9.4750,37500
1468418339,9.4936,9.5100,9.4900,9.5000,23500
1468418344,9.5200,9.5200,9.4950,9.4950,33900
1468418458,9.5150,9.5200,9.5130,9.5150,5500
1468418518,9.5400,9.5400,9.5150,9.5150,31500
1468418576,9.5400,9.5400,9.5350,9.5350,3600
1468418639,9.5400,9.5400,9.5350,9.5400,13200
1468418641,9.5210,9.5450,9.5200,9.5350,57600
1468418758,9.5250,9.5300,9.5200,9.5300,3500
1468418760,9.5150,9.5250,9.5100,9.5250,8900
1468418878,9.5100,9.5150,9.5100,9.5150,1300
1468418939,9.5200,9.5200,9.5100,9.5150,15600
1468418946,9.5350,9.5400,9.5139,9.5150,22800
1468419003,9.5450,9.5550,9.5350,9.5350,34400
1468419109,9.5450,9.5450,9.5400,9.5450,800
